,neg,neu,pos
ive had it for a few months now and im impressed with the performance great for gaming very smooth very high frame rates also very good for video editing and rendering its high performance 8 cores 16 threads chew through everything quickly and with ease,0.003000000026077032,0.013000000268220901,0.984000027179718
upgraded from intel 4690k to this it was a huge step up delivery was quick as usual happy with my purchase,0.003000000026077032,0.013000000268220901,0.984000027179718
its great and fast and all that good stuff ,0.004000000189989805,0.012000000104308128,0.9829999804496765
so got this some time back an its great upgraded from a ryzen 1700 to this ryzen 5800x an i can say big improvements in gaming an mostly vr gaming for fps that mainly use cpu,0.003000000026077032,0.01600000075995922,0.9810000061988831
really great performer it bring to table significant improvement of performance over my old 3600x easier to oc and lover temps easy oc 47ghz on 13125v great cpu worth every buck i spend on it very good product im very happy with it also very fast delivery overal product and seller 5 stars,0.004999999888241291,0.014000000432133675,0.9810000061988831
"very good processor and a big upgrade from my i7 8700k

also temps are amazing even when playing games or idling with normally a 12 idle and 4060 when playing games which is pretty good and this is a decently cheap processor so i would recommend d",0.004000000189989805,0.017000000923871994,0.9789999723434448
fantastic performance able to stream easily with little effect thermals have been fine for me so far with no overheating issues,0.003000000026077032,0.017999999225139618,0.9789999723434448
just works very happy,0.007000000216066837,0.01600000075995922,0.9769999980926514
great cpu used with the fuma 2 and temps are fine,0.004000000189989805,0.020999999716877937,0.9750000238418579
it runs amazingly with amd 6700xt no bottlenecks so everything runs buttery smoth i have also switched to windows 11 which helped a lot too but it still have hickups overally i am verry happy how this performs,0.006000000052154064,0.019999999552965164,0.9739999771118164
amazon eu sold this for £307 and its an absolute bargain extremely capable chip runs cool unde my h115i under gaming and no higher than 80c under extended stress tests pbo lets it boost up to 5ghz too lovely,0.004000000189989805,0.02199999988079071,0.9729999899864197
i am very satisfied with the cpu and would buy it again at any time i personally run the cpu on my asus b450 f gaming 2 and have no problems ps i would recommend an aio or a large air cooler i have an arctic aio on it,0.003000000026077032,0.02500000037252903,0.972000002861023
"coming from an i7 6700k this cpu with a gigabyte b550 aorus elite v2 was the perfect upgrade for me just incredible even after 5 months of heavy gaming

i would most certainly reccomend this cpu as an upgrade",0.006000000052154064,0.023000000044703484,0.9710000157356262
the product arrived in perfect condition in a timely manner in the same way it comes completely sealed highly recommended purchase,0.004000000189989805,0.026000000536441803,0.9710000157356262
great cpu for gaming had it professionally installed alongside a water cooled fan as i know these run hot quick delivery from company so all good,0.003000000026077032,0.027000000700354576,0.9700000286102295
a fantastic processor for the money,0.006000000052154064,0.02800000086426735,0.9660000205039978
fast great performance for the price,0.007000000216066837,0.02800000086426735,0.9649999737739563
well amd did say zen 3 is a huge improvement theyre right price is fantastic,0.004999999888241291,0.03200000151991844,0.9639999866485596
superb cpu for gaming and streaming extremely oveclockable,0.004000000189989805,0.032999999821186066,0.9629999995231628
great just remember to update bios p,0.004000000189989805,0.03400000184774399,0.9620000123977661
for the money i wanted to spend this cpu was the best in my opinion for the moneys worth very highly rated and rightfully so its everything you want and need for a mid range pc build the only thing better would be an i9 or ryzen 9,0.00800000037997961,0.03099999949336052,0.9610000252723694
"this processor is insane i changed to this from a 2700x and i have to say it feels like a whole new pc i have a rtx 2080 super and now i finally see what a bottleneck my cpu was with the 5800x i have 20fps more on average in spiderman remasterd thats crazy also in cinebench it has more than 30 performance

what a beast definetly a must buy",0.008999999612569809,0.03099999949336052,0.9599999785423279
great for any type of pc gaming,0.004000000189989805,0.039000000804662704,0.9580000042915344
very good performance,0.00800000037997961,0.03400000184774399,0.9580000042915344
"good for gaming
good for my video editing
good for my wallet
works with cheap b450 amd4 socket motherboard

moving from a ryzen 7 2800x and i can feel the difference immediately and that is a great feat as the 2800x is already one of the best cpu in the last 3 years",0.004999999888241291,0.03799999877810478,0.9570000171661377
way better than a i7 7700k so worth the money,0.006000000052154064,0.03700000047683716,0.9570000171661377
as expected great price too,0.00800000037997961,0.03799999877810478,0.9539999961853027
very fast 8cores with more l3 cache in cpu very good when paired with 6000 series video card,0.004000000189989805,0.041999999433755875,0.9539999961853027
"very cool part took me from an i7 to a gaming heaven
ill spare you the clever crap take a look at yt for yourself the 7 is not only enough here it exceeds all the requirements of current aaa games even with professional software from film and graphics and a number of side processes the 7series operates with ease",0.007000000216066837,0.04100000113248825,0.9520000219345093
brilliant processor excellent performance runs a bit hot get a good cooler,0.008999999612569809,0.04100000113248825,0.949999988079071
my sons happy with his upgrade,0.004000000189989805,0.04800000041723251,0.9480000138282776
extremely good for the money paid deff worth jt,0.007000000216066837,0.05000000074505806,0.9440000057220459
i came from an old i5 from around 2014 with 6gb of ram with this cpu everything i did so far in windows 10 was instant click an icon and its open no delays love this cpu,0.007000000216066837,0.050999999046325684,0.9430000185966492
ordered it on a sunday and as promised it was delivered on time and in perfect condition it works perfectly,0.004999999888241291,0.05299999937415123,0.9419999718666077
took my gaming experience to the next level increased my fps massively,0.004999999888241291,0.054999999701976776,0.9409999847412109
perfect for my gaming and editing needs fast and stable get a good cooler to get the best performance out of this hot boi ,0.00800000037997961,0.050999999046325684,0.9409999847412109
"great chip with fantastic performance but overpriced
upgraded from a ryzen 5 3609x and the performance increase is huge like all ryzen chips it needs fast dual channel memory to deliver the best performance",0.009999999776482582,0.05299999937415123,0.9380000233650208
this cpu is extremely fast and the prices have finally come down make sure you get a good cooler for it,0.007000000216066837,0.05400000140070915,0.9380000233650208
"excellent value for money and plenty of power for my rig
paired with an amd radeon rx 5600 xt
0 bottleneck
would be even better with the rx 6600 xt",0.004000000189989805,0.05900000035762787,0.9369999766349792
upgraded from 3700x to this have to say it improments runs a little on the hotter side but ivae managed to keep it around 65c to 70c most people i have read have been running these chips have had way hotter all in all very happy with it for gaming better fps games really smooth using corsair h100i liquid cooling on this 5800x,0.006000000052154064,0.06199999898672104,0.9309999942779541
very powerful suitable for productivity and gaming kept cool with k620 deepcool,0.004999999888241291,0.06499999761581421,0.9300000071525574
"great cpu
temps for me are perfectly fine using a kraken z63
30ish on idle and 75ish on max load cinebench",0.006000000052154064,0.06700000166893005,0.9279999732971191
great processor and im currently only using a wraith spire cooler waiting on aio with it and the temp maxs at around 7580 which is great compared to some reviews i saw saying it runs too hot,0.014999999664723873,0.06400000303983688,0.9200000166893005
the 5800x was a great value even before the price dropped with the announcement of the 7000 series this thing cant be beat now since it is half the original msrp pick this up,0.013000000268220901,0.06700000166893005,0.9200000166893005
runs cool with aio for users experiencing overheating you can swap up cpu coolers or under volt this processor for lower temps best bang for buck amd am4 processor on the market currently also definitely recommend,0.007000000216066837,0.07800000160932541,0.9160000085830688
increase in minimum frame rate good also everything else,0.004999999888241291,0.0820000022649765,0.9120000004768372
honestly its quite fast and its abit overkill for some builds i think its the perfect processor for a £2000 build,0.01899999938905239,0.07500000298023224,0.906000018119812
"amd 6 cores good value a quick chip for the price
and a good starting point for a first pc
for kids with out a graphics card for light gamingand when added a graphics card rtx 3050 at later time it is quite a capable pc ",0.007000000216066837,0.09300000220537186,0.8999999761581421
i use it mainly for gaming it is a very good processor for this in multitasking it also stands out its point to improve is that it heats up quite a bit without good cooling it had an amd air heatsink and the temperatures were always above 70°c i changed it to a 360mm aio and now they are between 50°c,0.008999999612569809,0.09099999815225601,0.8999999761581421
if you need to extra cores the 5800x is a perfect choice for gaming and productivity in the current cpu market inflated pricing makes this a €500 cpu but performance and thermals are fantastic even when using a 120mm liquid cooler,0.017000000923871994,0.09399999678134918,0.8889999985694885
super cpu for gaming,0.00800000037997961,0.10499999672174454,0.8880000114440918
decided to make a starter pc for the rest of the family to save them using my rather expensive personal pc i knew the cpu is good as i have previously used it and its a workhorse well packaged and fast in terms of processing speeds,0.007000000216066837,0.10700000077486038,0.8859999775886536
"no problem with this purchase at all works like a beast overclocking is easy too but theres no need to as its powerful at 38ghz

just amazing in general",0.01899999938905239,0.0949999988079071,0.8859999775886536
its perfect,0.032999999821186066,0.08100000023841858,0.8849999904632568
big cores decent value much speed pogchamp,0.010999999940395355,0.10700000077486038,0.8809999823570251
first time building a pc from scratch with new parts this is really fast,0.009999999776482582,0.12200000137090683,0.8690000176429749
"great cpu perfect for both gaming and editing
runs a little hot but with the right cooler or slightly under volting the it soon stays at a comfortable 70c using an old h55 aio",0.012000000104308128,0.12200000137090683,0.8650000095367432
saw an increase of over 15 in fps over all games on average from a ryzen 5 3600 to this you wont be disappointed,0.008999999612569809,0.13600000739097595,0.8550000190734863
did not got from this seller but the processor is realy good,0.02199999988079071,0.13099999725818634,0.8479999899864197
"probably the best qualityprice ratio at the moment
its a ryzen so all the possibilities for fiddling are open it is powerful its price is decent and its first quality is to be forgotten once installed
a choice for those seeking peace of mind as well as for those who want to extract the noun marrow from their cpu",0.03200000151991844,0.12600000202655792,0.8420000076293945
the ryzen 7 5800x may be a hothead and must be cooled accordingly 280mm or 360mm aio but it has endless performance especially if you use it with good ddr4 ram with 3600mhz part where the sweet spot is also located and thus performs best a lot of power can be called up,0.019999999552965164,0.13899999856948853,0.8410000205039978
the performance was expected as i did enough research pairing it with my 3070 bought from amazon us no damage to the product and everything was good,0.013000000268220901,0.1509999930858612,0.8360000252723694
"this processor is the fastest which i have used so far but i do not have experience of the capabilities of other cpus currently available the large cooling fan also looks to be well engineered and efficiant
my comments are qualified by the fact i am only a general purpose home pc user",0.020999999716877937,0.1459999978542328,0.8330000042915344
"i had no issues with the seller came as advertised and this cpu has resolved any bottlenecking it was getting before using my dual intel xeon setup

i do recommend it was quite quick on delivery even though i am not a prime member",0.017000000923871994,0.15299999713897705,0.8299999833106995
"a good stone i took it even before the price dropped i play fortnite and cs go without freezes if you need something powerful and not expensive for games then this is the most ideal option
sometimes there are temperature jumps but they say that this is a problem of the 5000 series ",0.024000000208616257,0.16500000655651093,0.8109999895095825
upgraded from r7 2700x software that depends on cpu runs much better esp stellaris,0.014999999664723873,0.17499999701976776,0.8100000023841858
fast cpu games and programs run silky smooth no more lags since i swapped from intel 6700k,0.014000000432133675,0.20600000023841858,0.7799999713897705
arrived on time in order received and works properly,0.007000000216066837,0.21799999475479126,0.7739999890327454
got this for a new pc build while the temps run a bit hot under load 8090 celcius this is normal for this cpu due to its design other than the temps it works great and no issues playing games while having programms running in the background,0.014999999664723873,0.21299999952316284,0.7720000147819519
good cpu for cost,0.03099999949336052,0.23999999463558197,0.7300000190734863
exactly what i wanted,0.029999999329447746,0.25699999928474426,0.7120000123977661
we had one of these before worked well then so this is a up grade super,0.010999999940395355,0.2980000078678131,0.6909999847412109
