,neg,neu,pos
dont forget not only is it exciting that stratton is coming out of the shadows but more importantly it strengthens and solidifies position also for the doubters lue is a big deal another great podcast from george #ufotwitter,0.0020000000949949026,0.01899999938905239,0.9789999723434448
what is great about the ufo field you can interact with a large variety of people including experts and scientists its apolitical endless booksarticlesetc 100s of years of history endless research possibilities its the worlds greatest unsolved mystery #ufotwitter,0.004000000189989805,0.026000000536441803,0.9710000157356262
exciting events to help catalyze the move in consciousness that is manifesting in our midst are happening this year will have one such upcoming event that i am involved with to announce sometime next week #ufotwitter #consciousness,0.0010000000474974513,0.02800000086426735,0.9710000157356262
looking forward to a rare night off tonight no meetings interviews appearances admin prep work etc give me your best netflix disney recommendations #ufotwitter #uaptwitter,0.0020000000949949026,0.04399999976158142,0.9539999961853027
something tells me that the events that have taken place in the last week are going to keep john over at the black vault busy for a good bit youre doing the lords work my friend cant wait to see what you dig up #ufotwitter,0.0020000000949949026,0.050999999046325684,0.9470000267028809
my favorite thing about this navy hovercraft video is how the two brave #seagulls arent scared off by the large craft and noise in their quest to find snacks along the beach #ufotwitter #ufo #birdsoftwitter,0.007000000216066837,0.06199999898672104,0.9309999942779541
one of the best thing about going gym is you start loving pain #akaworldwide #ufotwitter #riptibz #ripaaka #bbclaurak #freetopg,0.00800000037997961,0.07699999958276749,0.9150000214576721
the anti disclosure team you know them has played their hand it was quite nicely done here comes with the response with his upcoming show i believe prodisclosure will win the day #ufotwitter,0.00800000037997961,0.08500000089406967,0.9079999923706055
honestly bringing the airship wave back would be one of the funniest moves the phenomenon ever made #ufotwitter #uaptwitter,0.013000000268220901,0.0989999994635582,0.8880000114440918
omg omg omg ufo aliens dropping from space omg so real i dont have photos please belive me #ufotwitter space aliens,0.01899999938905239,0.11900000274181366,0.8610000014305115
what is one of your favorite books on the topic of ufos uaps that you would highly recommend #ufotwitter #uaptwitter,0.004999999888241291,0.13500000536441803,0.8600000143051147
hi chris just watched your interview with vinnie and katie great stuff i was hoping you could address or explain your statements about public uap hearings happening decemberearly this year what changed any updates #ufotwitter #uaptwitter #ufo #ufos,0.004000000189989805,0.15600000321865082,0.8389999866485596
got my twitter emojis updated and ready for the #ufotwitter alien invasion theyll know im one of the good guys ,0.008999999612569809,0.1809999942779541,0.8109999895095825
super bowl sunday will be more interesting when the third uap lands on the 50 yard line at half time #ufotwitter,0.003000000026077032,0.19099999964237213,0.8059999942779541
good thing tom cruise decided to fly for top gun again its not the plane its the pilot #ufotwitter,0.024000000208616257,0.17000000178813934,0.8050000071525574
in my dream last night i could levitate i could also float and soar by swimming through the air in the dream i referenced a previous dream to learn the technique its wild how real dreams feel and how within a dream you can reference another dream feels real #ufotwitter,0.004000000189989805,0.19300000369548798,0.8019999861717224
do you think we can get ryan seacrest interested in ufos he seems like a pillar of mainstream white noise if we can get him involved i think we will be golden #ufotwitter #uaptwitter #ufo #ufos,0.007000000216066837,0.20600000023841858,0.7870000004768372
welcome to #ufotwitter ,0.004000000189989805,0.21199999749660492,0.7839999794960022
good morning its super bowl sunday i hope dem ufos dont retaliate today dont be a rude boy rihanna is performing at halftime #ufotwitter,0.03999999910593033,0.1889999955892563,0.7720000147819519
turn your eyes to the #heavens your #future and your #destiny are there look up in the sky at night and know that it is full of intelligent life #ufotwitter #spiritualawakening,0.004999999888241291,0.23000000417232513,0.7639999985694885
i respect jungs contribution to the #ufo#et endeavor more than 60 years after his book flying saucers a modern myth of things seen in the skies was published we have been exploring ufos on many levels bernice hill phd jungian analyst 13 #ufotwitter,0.007000000216066837,0.2680000066757202,0.7250000238418579
theres a big chance we may soon find out we are not alone in this uinverse and for some reason i feel like im the only one on the edge of my seat for the big reveal #ufotwitter #alaskaufo #ufo #uap,0.03099999949336052,0.2590000033378601,0.7110000252723694
#ufotwitter discussing the nimitz encounter with with ufo believers is always interesting perhaps the most fascinating aspect is their lack of knowledge about the event youd think theyd know all the details of the tic tacthe crown jewel of ufology but youd be wrong,0.017999999225139618,0.2849999964237213,0.6959999799728394
i appreciate the concept that the trickster aspect of the phenomenon could be our own collective unconscious saying to us there is a deeper reality here than we can measure #ufotwitter from #liminalframes episode 023 ,0.010999999940395355,0.328000009059906,0.6610000133514404
#ufotwitter good afternoon friends how bout them weather balloons huh,0.019999999552965164,0.37700000405311584,0.6029999852180481
gaining more twitter followers is a dark art please help i do read watch a lot of fringe science theory to try cherry pic droplets of useful information from the mountains of gov backed disinformation their cohorts please follow me yes im begging #ufotwitter,0.0729999989271164,0.39899998903274536,0.527999997138977
you know they have high rez pics of the object shot down roll that beautiful bean footage #ufotwitter #pentagon,0.03700000047683716,0.44999998807907104,0.5130000114440918
been quiet lately but well be back on monday most likely running tarkov #ufotwitter #gaming #tarkov #escapefromtarkov #eft #streamer #streaming #smallstreamer #pc #twitch #twitchstreamer #collaboration,0.008999999612569809,0.5559999942779541,0.4350000023841858
what is your favorite ufo art #ufotwitter,0.013000000268220901,0.5609999895095825,0.4259999990463257
okay fine #ufotwitter if you want to see the thing i got then ill share it but you need to verify you can communicate with self encrypted messages then i will agree with you share it,0.017000000923871994,0.5580000281333923,0.42500001192092896
dr of #stanford fame a #scientist who knows the truth remains a #ufo #experiencer with a tale to tell fighting hard for #disclosure he wont let it dwell #ufotwitter #uaptwitter #ufo #ufos #uaps #uap #ufology,0.020999999716877937,0.5690000057220459,0.4099999964237213
the visitors have studied human physiology and #psychology very extensively and they will take advantage of what people want particularly those things that people want but have not been able to gain for themselves such as #peace and order beauty and tranquility #ufotwitter,0.05299999937415123,0.5669999718666077,0.3799999952316284
whats remarkable about the chinese balloon is how quickly it was unremarkable it may have had a short life as a ufo but within days everyone knew what it was the experiences related by pilots like are different by orders of magnitude wake up #ufotwitter,0.05700000002980232,0.5699999928474426,0.37400001287460327
#alaskaufo #alaska is the #1 trend to all of you innocently wandering into #ufotwitter memberships are now open send your blood sample to milkfart you will be contacted in the coming weeks on your cloak color and headmaster,0.009999999776482582,0.6449999809265137,0.34599998593330383
not all heroes wear capes yet again he is defending uap credibility against the onslaught of pseudo debunkers #magicmarik #ufotwitter,0.04100000113248825,0.6190000176429749,0.3400000035762787
an external intelligence that can psychically influence you without revealing itself is the most powerful kind of #alien many wonder why some dont show themselves well because their aims are only made more difficult in so doing cultivate inner awareness #ufotwitter,0.1080000028014183,0.5609999895095825,0.3310000002384186
everyone better keep this same energy for the next ufo sightingballoon or not #ufotwitter #ufosightings #uap #ufo,0.039000000804662704,0.6359999775886536,0.32499998807907104
pay to whats happening up north right now besides the chinese spy balloon last week we have two objects around the size of a car and cylindrical in nature being shot down and reported in both canada and the usi have a feeling its going to be an interesting week #ufotwitter,0.0430000014603138,0.640999972820282,0.3160000145435333
the existence of attip and the tireless efforts by individuals like et al helped inform congress about the reality of the #uap issue lets hope a byproduct of the recent #chinesespyballon fiasco will help inform the wider public #ufotwitter,0.024000000208616257,0.671999990940094,0.30399999022483826
 when will the sky360 cameras be available is there a waiting list im getting ready to put together my own all sky camera but would prefer to be part of the sky360 network #ufotwitter #uaptwitter,0.014999999664723873,0.6930000185966492,0.29100000858306885
well im on read three of skinwalkers at the pentagon i just realized they mention my home area yakima in the book #yakimavalley is a marley woods skinwalker type thing prove me wrong #ufotwitter #uaptwitter i have no doubt what i have been experiencing and continue,0.04500000178813934,0.6729999780654907,0.28200000524520874
hows your weekend going #ufotwitter ,0.006000000052154064,0.7369999885559082,0.25600001215934753
#ufotwitter #ufotable do you read what was the last book you read or let us know your favorite book in the comments,0.010999999940395355,0.7509999871253967,0.23800000548362732
watching one of my kids attempt to ice skate with his friends anyone got any questions got me some time to occupy #ufotwitter,0.013000000268220901,0.7490000128746033,0.23800000548362732
hey #ufotwitter this dark journalist dude on youtube yay or nay,0.019999999552965164,0.7409999966621399,0.23800000548362732
stop caring about aliens the only one you need to worry about is the shell of the man you see in the mirror everyday focus on becoming the best in all realms #ufotwitter,0.3140000104904175,0.4519999921321869,0.23399999737739563
i am a simple man for me its like this belief in ufos before joining #ufotwitter 75 belief in ufos after two months of exposure to #ufotwitter 5 and falling,0.03099999949336052,0.7390000224113464,0.23000000417232513
imagine this you and your buddy just developed some new technology and you wanted to test it out take it out to the crazy remote wilderness in alaskacanada get it airborne only to see the streak of a sidewinder missile #ufotwitter,0.06499999761581421,0.7139999866485596,0.22200000286102295
hey ufos please let us know if the government knows exactly who you guys are because literally i have zero expectations from the government also thanks for visiting been a long time #ufo #ufotwitter,0.2809999883174896,0.5199999809265137,0.19900000095367432
