,neg,neu,pos
this is an excellent price to performance cpu and outperforms the 5800x3d for the price the performance is exceptional and impressive and highly recommend this over any current gen cpu,0.004000000189989805,0.014999999664723873,0.9800000190734863
the amount of power of this processor is incredible and absurd in gaming it is excellent on the desktop it is exceptional and the temperatures with air cooling do not exceed 65°c 100 sure that it is a good value for money option,0.007000000216066837,0.026000000536441803,0.9670000076293945
solid speeds good pricestock was available and install was a breeze,0.006000000052154064,0.028999999165534973,0.9649999737739563
the i5 13600k provides the best performance in its price range,0.004000000189989805,0.052000001072883606,0.9440000057220459
paired the i5 13600k with msi z690a pro ddr4 running pcores 54ghz and ecores 42ghz without any issues efficiency cores are powerful and theyre equivalent to i7 9700k from few years ago scores 25592 in cinebench 23 with all cores and 16507 with e cores disabled simply put amazing cant ask for more this cpu has no competition period,0.00800000037997961,0.08500000089406967,0.9070000052452087
loving the price to performance with the 13600k considering i made the upgrade from a 6700k the technology is leaps and bounds for roughly same valuethere is also no reason to choose an amd5 cpu this year over the 13th gen intel chips maybe a x3d but definitely not the 7000 series of cpus,0.012000000104308128,0.0860000029206276,0.902999997138977
last home assembled pc lasted us about 12 years hopefully this newest setup will last 10 years too yes i spent a little more to have the newest but not the most powerful technology i have left room for upgrades in the future if i ever need to,0.017999999225139618,0.2409999966621399,0.7409999966621399
the cpu is great but i didnt receive the shipment thanks amazon,0.17599999904632568,0.2919999957084656,0.5320000052452087
great cpu but some lga 1700 motherboards have compatibility issues with 13th gen chips so be sure of what you buy,0.25,0.5080000162124634,0.2409999966621399
must buy good cooler for it i have noctua d14 and its hardly enough,0.5860000252723694,0.31700000166893005,0.09700000286102295
its very hot in benchmarks i recommend limiting tdp in the bios settings to 140150,0.6340000033378601,0.34200000762939453,0.024000000208616257
buy a lot of amd never problems 3 times intel 2 bad what a crap brand,0.9190000295639038,0.07000000029802322,0.010999999940395355
