,neg,neu,pos
"i am quite impressed that the 13600k beats an 5900x in production performance
competition is great",0.004999999888241291,0.023000000044703484,0.9729999899864197
honestly last years i512600k was a beast and seeing this new i513600k is even better man thats insane,0.008999999612569809,0.01899999938905239,0.972000002861023
awesome job intel i have to say the 13600k impresses me a heck of a lot more than the 13900k the 13900k may be able to do much better overall but the value proposition on the 13600k is absurdly good was not expecting this level of a generational improvement aside from power and thermals and apparently neither was amd,0.009999999776482582,0.019999999552965164,0.9700000286102295
"great info thank you future buyers must know that the 13600k will max out specs frequencies with 150w

after watching your review of the ak620 2 months ago i bought it for a new build based on the 13600k this is a great combo i also installed a cpu contact frame i dont know if it makes a difference but it was an easy task and the temps look good",0.003000000026077032,0.02800000086426735,0.968999981880188
this is 2600k all over again even better in productivity im all in for 13600k,0.004999999888241291,0.02500000037252903,0.968999981880188
going from an i74790k gtx 970 sc and ddr3 to 13600k 3070 and ddr5 im so excited,0.0020000000949949026,0.029999999329447746,0.9679999947547913
my msi tomahawk ddr4 has been great been using the 12600k for a year just ordered my 13600k,0.004999999888241291,0.02800000086426735,0.9670000076293945
man you are awesome i am upgrading my ryzen 3700x to an 13600k and probably an ddr4 gigabyte board i can use my 32gb ddr4 ram and the 13600k is much faster than my 3700x you have gained a subscriber ,0.004999999888241291,0.028999999165534973,0.9660000205039978
my i512400 getting a score of 12400 in cinebench r23 multicore is already insane to me so the 13600k getting double that is absolutely mindblowing its very tempting to upgrade to the 13600k next summer when hopefully prices will have come down a bit by then,0.004999999888241291,0.03099999949336052,0.9639999866485596
as someone eyeing a 13600k this video is amazing the comparison between different cooler types is something that was seriously needed with the overall narrative of raptor lake runs hot great job and much appreciated,0.007000000216066837,0.028999999165534973,0.9629999995231628
really impressed with how often and how close the 13600k scores near the 5950x thats an i5 vs amds last gen halo crazy,0.003000000026077032,0.03400000184774399,0.9629999995231628
thanks for doing this review another review i had watched yesterday arrived at the same conclusion about 13600k competition is great,0.004999999888241291,0.03200000151991844,0.9629999995231628
gamers nexus is the boys to go to if youre looking to upgrade very detailed and very informative much appreciated im upgrading from i5 9600k to 13600k,0.004000000189989805,0.03799999877810478,0.9580000042915344
really excited for the 13600k i know youre busy but when you get a chance it would be nice to know if the contact frames from the 12th gen still work with the 13th gen and if they give the same temperature reduction as with the 12th gen,0.003000000026077032,0.041999999433755875,0.9539999961853027
i love seeing my 12100f in the charts i was eyeing a 12600k a few months back now that intels the good guy and my h610ma d4 supports 13th gen im looking more towards 13600kf instead long as i can run my ddr4 at 3200mhz we gucci,0.006000000052154064,0.04100000113248825,0.953000009059906
i had ryzen 5 1600 swapped 3 months ago to 12600k and i must say i am still impressed by 13600k and what intel pulled off here 12600k is still a beast even after 13th gen release,0.004999999888241291,0.0430000014603138,0.9520000219345093
i have the 13600kf and for me is the best cpu actually no expensive ddr4 support older chipset support and power enough for all games,0.00800000037997961,0.041999999433755875,0.949999988079071
the 13600k is the best cpu in a lot of generations imo since the 3600 maybe even better since the multithreading is nipping at the r9s heels,0.009999999776482582,0.03999999910593033,0.949999988079071
i feel like the 13600k data supports info that it has a lot of oc headroom which is quite cool,0.004000000189989805,0.04899999871850014,0.9470000267028809
yup definitely upgrading my i5 6600k to the 13600k now what to upgrade my 980ti to hopefully amd shows some good things on nov 3rd,0.0020000000949949026,0.05400000140070915,0.9440000057220459
the 13600k is holding up better in production workloads than i expected which is making me kinda tempted to consider it i think im still going to wait for now but this is definitely a stronger showing from intel than i expected,0.007000000216066837,0.05999999865889549,0.9330000281333923
13600k is a beast beating a 5800x3d 7000 series overall in gaming absolutely torching the 7600x58003dx in production work its only 299 at microcenter crazy good deal,0.010999999940395355,0.0560000017285347,0.9330000281333923
it may be time to upgrade my i76700 soon the 13600k is looking like a pretty good upgrade target,0.004000000189989805,0.07100000232458115,0.925000011920929
these new cpus is making upgrading from my 6850k wicked attractive ill probably wait to see what he 13700k has in store though especially given the 13600k is pretty much on par with the 12900k in gaming,0.006000000052154064,0.07100000232458115,0.9229999780654907
the 13600k is really starting to look like the next 2500k this cpu will almost certainly be more than good enough for aaa games going into the 2030s,0.004999999888241291,0.07500000298023224,0.9190000295639038
coming from an i78700k the i513600k is looking pretty good right now,0.006000000052154064,0.07999999821186066,0.9139999747276306
arg the options are too good now im planning a system upgrade from skylake was thinking of going 7700x but now the 13600k is swaying me since it beats the amd part in almost every test,0.009999999776482582,0.08900000154972076,0.9020000100135803
seems great im running a 3800x with a 3070 right now and id upgrade to the 13600k soon if i wouldnt have to change motherboards guess i have my next upgrade set for when my motherboard dies,0.008999999612569809,0.08900000154972076,0.9020000100135803
the only thing i learned from all this is that the 13600k lineup is going to be an absolute game changer when it comes to value,0.012000000104308128,0.0860000029206276,0.9020000100135803
please do some tests in gaming for 13600k ddr4 vs ddr5 also an igpu tests would be nice great review btw ,0.006000000052154064,0.10000000149011612,0.8939999938011169
intel definitely made a good choice to pack 8 e cores with the 13600k its basically a 14 core 20 thread cpu and thats why it beats the 7600x so easily in the productivity aspect,0.012000000104308128,0.09799999743700027,0.8899999856948853
i think i5 13600k would be much better than my currect i7 3770 planning to upgrade after so many years,0.013000000268220901,0.09799999743700027,0.8889999985694885
"great content the 13600k looks like a great performer

however for the platform comparison it wouldve been fair to add intel with ddr5 too as i would presume many people would buy a new system today with ddr5 instead of ddr4",0.008999999612569809,0.10700000077486038,0.8840000033378601
appreciate the nod of approval to the 13600k considering its efficiency and power for dollar,0.007000000216066837,0.11500000208616257,0.878000020980835
