,neg,neu,pos
ordered some new pc parts building new intel i913900k pretty excited for this upgrade,0.0020000000949949026,0.023000000044703484,0.9760000109672546
today the reviews of the new intel 13th generation cpus will be released 13900k the nerd in me cant wait ,0.0020000000949949026,0.024000000208616257,0.9739999771118164
the 13900k actually exceeded my multicore expectations simply a better chip in every way,0.004999999888241291,0.023000000044703484,0.972000002861023
thanks for your review today on the #13900k anxiously awaiting the #13600k as that is the value buy great for 90 of gamers ,0.003000000026077032,0.024000000208616257,0.972000002861023
ill have hopefully the best 13th gen review live shortly after launch expect stock oc results for the 12900k 13900k and 13600k the focus will be true unbottlenecked performance and value,0.0020000000949949026,0.03200000151991844,0.9660000205039978
oh definitely i agree with you 100 when can we expect your 13900k4090 review soon i hope,0.0020000000949949026,0.03400000184774399,0.9639999866485596
cant wait for all these #13900k builds ,0.004000000189989805,0.032999999821186066,0.9629999995231628
i love nzxt i did them for my first build but im using for my second build with a 13900k and a 4090 i definitely recommend powergpu as they have way more options to choose from and nzxts bld tends to take forever to replenish stock and they dont have as many parts,0.006000000052154064,0.03700000047683716,0.9570000171661377
update 7950x3d will be the best 5800x3d is probably the second best 13900k will probably beat normal 7000 chips marginally,0.004999999888241291,0.04699999839067459,0.9480000138282776
best benchmarks for the sim racers on the web kudos dan now someone get you 13900k by the end of the week and we are completely covered maybe bonus round of 5800x3d 4090 ,0.004000000189989805,0.05299999937415123,0.9430000185966492
the 13900k is looking pretty good,0.004000000189989805,0.05400000140070915,0.9419999718666077
cant wait to see what 13900k can do when tuned as well,0.003000000026077032,0.0560000017285347,0.9409999847412109
ladies and gentleman were back in a cpu war intel 13900k 58999 ryzen 9 7950x 69999 performance to price is extremely interesting this time aroundbenchmarks soon notis on,0.003000000026077032,0.057999998331069946,0.9390000104904175
my 4090 shipped today and my 13900k is shipping on launch day locked in the preorder wz2 should be fun,0.0020000000949949026,0.06700000166893005,0.9309999942779541
yeah i agreei think we are going to get damn close to 90fps with this 4090 13900k combo im itching to try it out i might make it one of my first real performance tests ,0.004999999888241291,0.06700000166893005,0.9279999732971191
13900k vs 12900k is 1 morefps in average in games xd great ,0.006000000052154064,0.07000000029802322,0.9240000247955322
13900k is going to be a beast and cheaper than amds newest offering will likely out preform it in single and multithreaded workloads plus if you already have an alder lake system you can just drop it in if you are talking strickly the newest gen its currently intelnvidia,0.007000000216066837,0.07999999821186066,0.9129999876022339
gonna head to micro center again at like 4am to try to pick up a 13900k d i really hope my faster 2x16 ddr4 kits work with it i think itll beat the 7950x in warzone,0.004999999888241291,0.08299999684095383,0.9110000133514404
lf2 360 13900k is gonna be a beast,0.010999999940395355,0.08500000089406967,0.9049999713897705
i have a feeling 13900k will be better than we think ,0.00800000037997961,0.09099999815225601,0.9010000228881836
13900k x 4090 im going to be unstoppable,0.008999999612569809,0.09399999678134918,0.8970000147819519
finally finished scripting the 13900k review i worked on creating a whole new review format for desktop cpus hopefully you prefer it soon i can focus on serpent canyon,0.004999999888241291,0.10300000011920929,0.8920000195503235
iam very much interested in the uplift from 13900k over the 12900k in gaming and if it can beat the 7700x by more than 5 or not lets see,0.004999999888241291,0.11999999731779099,0.875
personally the 13th gen cpu thats actually going to be interesting is the i3 13100f if it gains the same bump in performance against the 12100f that the 13900k got against the 12900k while keeping the same price then its going to be a 125 behemoth of a budget gaming cpu,0.007000000216066837,0.12200000137090683,0.8709999918937683
not 100 sure yet almost certainly an i913900k when they release 64gb of ram and a couple of m2 ssds as well as my existing bunch of 25 ssds just basically putting together the best machine i can possibly buy tbh,0.008999999612569809,0.1340000033378601,0.8579999804496765
ive already seen a 13900k at 59ghz all p pulling 314w in prime thats miles better than stock,0.014000000432133675,0.1420000046491623,0.843999981880188
yee in the end the 13900k is the better buy because of the lower cost the performance uplift over the 7950x should not be more than 510 so nothing you will feel in the end i think i still would buy the 7950x because the long platform support,0.023000000044703484,0.13300000131130219,0.8429999947547913
for pure gaming the 13900k has better clocks and will give you higher fps for any other workload the 7950x is better,0.014999999664723873,0.14499999582767487,0.8389999866485596
lol i now watched hub review different picture zen4 handily wins mt apps with slower ram on gaming modest win for the 13900k and no issue with zen4s 1lows ddr56000 helps for lower skus not tested zen4 should tiewin 7700x perfs slightly above the 7950x for games,0.009999999776482582,0.1589999943971634,0.8299999833106995
13900k is 569 at micro center 7950x is 699 13900k is currently a much better deal especially if you already have z690,0.008999999612569809,0.16699999570846558,0.8240000009536743
intel shows core i913900k raptor lake cpu to deliver 11 better gaming performance than amd ryzen 9 7950x,0.004000000189989805,0.1720000058412552,0.8240000009536743
7700x is very well positioned and trading blows with 13900k also power consuption wich is way more important in this times than nefore,0.012000000104308128,0.17000000178813934,0.8190000057220459
im more interested in 13900k at 88w cap vs 12900ks and 12900k unlimited power still managed to beat both of them nice one 13900k,0.01899999938905239,0.17000000178813934,0.8109999895095825
hopefully you could update with 13900k thanks,0.007000000216066837,0.18799999356269836,0.8050000071525574
100 agree im just waiting for the tuf gaming to come back in stock at 2959aud hey ive got an interesting video idea for ya tech run a 4090 with cyberpunk on a 3700x or equivalent and then compare that run with a 13900k,0.007000000216066837,0.19099999964237213,0.8019999861717224
well if u can get i9 13900k its best gpu 3070 is fine maybe buy used one for 400€,0.017000000923871994,0.1940000057220459,0.7889999747276306
core i913900k according to the tests of intel itself significantly performs better in games compared to ryzen 9 7950x slides from a recent intel presentation got into the network where it is clearly visible that in most games the intel flagship is faster than the amd,0.007000000216066837,0.210999995470047,0.7820000052452087
in games 13900k will have a huge uplift over 12000k 700mhz gain in ring clock is huge its basically like turning e cores off with 12900k so probably 1020 gain in games,0.009999999776482582,0.20800000429153442,0.7820000052452087
that way you see that even the little brother outperfoms the 12900k the 13900k might be a different story hopefully,0.009999999776482582,0.22200000286102295,0.7689999938011169
