,neg,neu,pos
ranked 2nd best graphics card in august 2022 a power waiting for you packages received in good condition delivery faster than expected ras,0.0020000000949949026,0.023000000044703484,0.9750000238418579
great powerful card good price and quite quiet,0.00800000037997961,0.023000000044703484,0.9700000286102295
"i went from a gtx 1080 to the rx 6900 xt its just happiness in ultra in all recent games it works perfectly i think the map is very quiet the amd interface is super responsive a big plus point compared to nvidia in short very good
thanks to the seller fast and well protected package",0.004999999888241291,0.027000000700354576,0.9679999947547913
went from a rtx 3060 to this beast and i have to say its an insane difference well worth the price as of now,0.006000000052154064,0.032999999821186066,0.9610000252723694
impressive raster performance even taller than a 3090 with rtx in some games it feels a little but the performance is very good,0.004999999888241291,0.03400000184774399,0.9599999785423279
impressive card if you dont care about maxing it out on overclocks great thermal great quality better than my 6900 xt from msi would recommend this 6900xt in particular if you just want the best without overclocking but want high stable frames using on my 240hz 1440p monitor very happy,0.004999999888241291,0.035999998450279236,0.9580000042915344
no doubt the most powerful gpu ive ever owned 4k gaming is now a reality with xfx 6900 x gpu prices are down now get one if your into 4k gaming youll be happy you did,0.006000000052154064,0.039000000804662704,0.9539999961853027
"was bought as birthday gift for son
hes very satisfied with performance of this card",0.004000000189989805,0.04399999976158142,0.953000009059906
its the most expensive part in my pc but totally worth it i play everything on the highest setting and never dip under 200 frames on 99 of my games its great for recording too so my videos quality has gone up,0.009999999776482582,0.039000000804662704,0.9520000219345093
this card is great if you tune it properly out of the box fortunately the amd software makes it easy enough it does everything you need for less than a 3090 its a beast but will take some fine adjustments for the fans and voltage,0.007000000216066837,0.041999999433755875,0.9509999752044678
an impressive card because of its performance and its watt consumption,0.004000000189989805,0.04699999839067459,0.9490000009536743
this card is the value for money but its long its 340mm so make sure itll fit in your case but this has amazing performance compare to the reference version,0.00800000037997961,0.04399999976158142,0.9480000138282776
"the map is beautiful the finish is extra and everything runs at full speed in 4k without noise i have the atomic bomb
i can only advise on the price",0.013000000268220901,0.03999999910593033,0.9470000267028809
no issues whatsoever fantastic service and product,0.01899999938905239,0.04500000178813934,0.9369999766349792
"this 6900xt xfx is a monster of power with cooling at the height of its capacity 295w with performance superior to a 3080ti at an unbeatable value for money my 6700xt looks pale next to the 34cm of its big sister
be careful however with xmp profiles that can cause crashes",0.02500000037252903,0.11699999868869781,0.8579999804496765
very efficient in games the noise is correct the temperatures too great value for money my 750w power supply makes a loud coilwin noise when the card is working at full capacity you would need a 750w of super quality or an 850w,0.02199999988079071,0.13899999856948853,0.8399999737739563
i would give it 5 stars simply because its the best graphics card ive ever owned but im taking 1 star off because of the size it barely fit in my computer case i had to remove one of my case fans to make it fit but other than that its 5 out of 5,0.06599999964237213,0.12300000339746475,0.8109999895095825
this map is not loud the light effects are cool and simple,0.04800000041723251,0.19300000369548798,0.7590000033378601
i held off on building a pc for over a year because of the steep graphics card prices so after seeing the 6900xt drop 100 below the msrp i bit the bullet and started my build it has now been a month of setup testing and gaming and so far everything has been great i would highly recommend this graphics card,0.08399999886751175,0.22100000083446503,0.6949999928474426
"its huge card powerful and equivalent to rtx 3090 it can run any games at highest resolution at 4k with respective frame rates
i purchased it as new but when it arrived the box was open and the sealed was broken i am not sure if it was used or not but i was lucky to buy it under msrp only 899",0.026000000536441803,0.29499998688697815,0.6790000200271606
if you dont want buy a new nvidia card for 2500 pounds but this one you will not disappointed fast and very good card with not so big price,0.06300000101327896,0.26899999380111694,0.6679999828338623
"got this card at 89999 shipped to south africa and couldnt have found a better display mate for my 165hz 1440p dell gaming monitor d
the card is quiet and even under load its hardly audible
the cooler is an understated piece of art never get temps over 71 degrees celcius when benching or gaming
thank you xfx",0.09399999678134918,0.28999999165534973,0.6159999966621399
"not far behind the rtx 3090
excellent 4k gaming performance
cheaper than the rtx 3090
so quite
this is a big heavy card",0.10199999809265137,0.34599998593330383,0.5529999732971191
if you want to game and not spend a ridiculous amount of money on a graphics card this is the way to go made the 3070 ti i had look like childs play can run anything on ultra settings just make sure you have enough fans to cool it or she runs hot,0.09200000017881393,0.4230000078678131,0.48500001430511475
combine a z590p motherboard and an i7 11700k alim rm 850x corsair with corsair h60i watercooling in addition to 6 ventilo artic no heating problems,0.017000000923871994,0.703000009059906,0.2800000011920929
dont let these beauties into the mine anymore one of the best graphics cards,0.5400000214576721,0.22699999809265137,0.2329999953508377
the adhesive is pretty strong and im sure due to the heat it stuck harder to the card than it shouldve take your time peeling it off or it will chip your card even though i was careful it still ripped off 2 pieces ill paint it black to cover it up but its worth noting that you should still be careful,0.4020000100135803,0.5199999809265137,0.07900000363588333
not entirely sure what happen it must of been not properly handled upon place in amazon shipping box the graphic card was all sealed and undamaged inside but more concerned any future damage that i didnt know down the road graphic card is working just fine still testing it out to make sure,0.5249999761581421,0.42100000381469727,0.05400000140070915
i had heard good things from a friend who owns one of these however hes the exception everyone else has confirmed my worst fearsand experience this thing wasnt ready to be release if codmw black screens and your seeing other wierdness then you probably got something poorly implemented,0.7799999713897705,0.18199999630451202,0.03799999877810478
