,neg,neu,pos
great news boris johnson has pulled out theres a first time for everything i suppose,0.007000000216066837,0.04100000113248825,0.9520000219345093
i mean course boris johnsons on holiday in the caribbean there are only about 22 weeks of parliamentary recess a year that he could go in just a great great guy tireless public servant and an excellent candidate for prime minister,0.010999999940395355,0.0729999989271164,0.9160000085830688
david tennant has returned to doctor who and boris johnson has pulled out of the leadership contest this might just be the best 10 minutes of my life,0.013000000268220901,0.12600000202655792,0.8610000014305115
i heard that the resort in the dominican republic where boris johnson stayed cost £2000 a night thats a really good message to send out to people who are struggling to pay their bills at the moment it really shows that you care for the wellbeing of the country,0.032999999821186066,0.1809999942779541,0.7860000133514404
i spoke to boris johnson yesterday he was wearing speaking in and remained this is a man ready to lead our country,0.008999999612569809,0.29499998688697815,0.6959999799728394
whats amazing to me is how grown men and women including people like cleverly really dorries and zahawi fall for it boris johnson will never change and his show pony performance these past three days shows it,0.07100000232458115,0.2540000081062317,0.6740000247955322
 boris johnson will stand hes the answer jacob reesmogg hes the one who will lead us to victory nadhim zahawi the boss is back nadine dorries perhaps now well hear a lot less from these and others who were taken in once again by the deception and lies,0.03500000014901161,0.3610000014305115,0.6039999723434448
very welcome and sensible judgement call by boris johnson the country was heading for a constitutional crisis instead rishi sunak can now with hard but necessary decisions begin to restore britains economic credibility and good governance,0.07800000160932541,0.3269999921321869,0.5950000286102295
labour politicians phew thank goodness boris johnson is pm and not jeremy corbyn also labour politicians what do you lefties mean you wont vote labour you want the tories in,0.21299999952316284,0.28700000047683716,0.49900001287460327
boris johnson announces he will not run for conservative leader and uk prime minister sky news finally some good news,0.057999998331069946,0.503000020980835,0.4390000104904175
sir roger gale mp absolutely skewering boris johnson on bbc news refreshing to listen to a tory still holding on to his self esteem i detest what the tories have done to the country but i have to applaud the mans honesty rare indeed,0.28700000047683716,0.31299999356269836,0.39899998903274536
when nadhim zahawi resigned from boris johnsons government in july he wrote in his resignation letter the country deserves a government that is not only stable but which acts with integrity he is now backing boris johnson to be prime minister again,0.03400000184774399,0.5699999928474426,0.3959999978542328
boris johnson with strong girlfriend at a different school energy with his claim of support from mps,0.023000000044703484,0.6240000128746033,0.35199999809265137
strongly suspect that liz truss will be helping boris johnson no doubt in my mind that rishi helped spook the markets with the low tax pro growth plan,0.04800000041723251,0.6349999904632568,0.31700000166893005
for the avoidance of doubt a boris johnson return is the best case scenario for anyone hoping for a labour landslide at the next election objections to the notion are born of genuine patriotism concern for the national interest,0.09399999678134918,0.5889999866485596,0.31700000166893005
the mp for uxbridge has been on ten holidays so far this year and hasnt been near westminster since july hes been quite happy to continue drawing his salary as their mp however how do his constituents feel about boris johnson,0.08299999684095383,0.6520000100135803,0.26499998569488525
boris johnson claims he has the support of 100 mps to put himself forward to become leader of the tory party those mps include keir starmer ian blackford ed davey caroline lucas,0.014000000432133675,0.7429999709129333,0.24300000071525574
david tennant comes back as doctor who and boris johnson drops out brilliant evening for nerds who hate the tories,0.3659999966621399,0.4059999883174896,0.2280000001192093
boris johnson supporters have claimed that he now has 100 backers the same source also confirmed that he has an invisibility cloak and a magic carpet,0.014999999664723873,0.7720000147819519,0.21299999952316284
boris johnson promised 40 imaginary hospitals staffed by 50000 imaginary nurses as well as 250000 imaginary extra homes and if hes nominated by 100 imaginary tory mps well see if he can deliver on those promises,0.19200000166893005,0.5989999771118164,0.20900000631809235
david cameron theresa may boris johnson have benefited from the £115000 annual allowance for former prime ministers they are millionaires make millions from selling their soul to corporations liz truss could be booted out will collect this vast sum too gravy train,0.19699999690055847,0.6150000095367432,0.18799999356269836
lest we forget boris johnson still the mp for uxbridge and south ruislip has been on holiday since 7th july 107 days oh apart from a quick jaunt to the usa to do a speech for £135000 i feel certain this revelation will end him your welcome #awsomepowerofamurphytweet,0.1509999930858612,0.6639999747276306,0.1850000023841858
i love halloween as much as the next person but bringing boris johnson back from the dead to kill all the old people again over winter is a bit much,0.5099999904632568,0.3109999895095825,0.17900000512599945
i firmly believe there are well over 100 mps rooting for boris johnson to become prime minister i just suspect the majority of them are from the other parties,0.22300000488758087,0.6029999852180481,0.17399999499320984
possible that boris johnsons 102 supporters now swing behind penny mordaunt because of the longstanding feud between johnsonites and sunakites so contest isnt over yet but sunak the favourite tonight,0.039000000804662704,0.8080000281333923,0.15299999713897705
boris johnson has escaped from elba has landed in cornwall and is marching on london,0.01899999938905239,0.8299999833106995,0.1509999930858612
dear i live in your constituency and i always vote i own and run a business i just wanted to let you know that if boris johnson a known liar and person unfit to hold high office is reappointed as pm i will work tirelessly to make sure you lose your seat,0.3449999988079071,0.5099999904632568,0.14499999582767487
boris johnson drops out of the race to be conservative party leader good no going backwards,0.2930000126361847,0.5640000104904175,0.14300000667572021
breaking boris johnson says he has a closer relationship to his 100 imaginary backers than he does to his 100 real children x,0.09700000286102295,0.7689999938011169,0.1340000033378601
new team sunak source on boris johnson not standing we are not taking anything for granted rishi will be continuing to talk to colleagues tomorrow morning before nomination papers go in and discussing how best to unite the party and take the country forward,0.07599999755620956,0.7940000295639038,0.12999999523162842
james cleverly announces support for boris johnson proving yet again that names can be very deceiving,0.2329999953508377,0.6399999856948853,0.12700000405311584
thread heres a handy list of tory mps who said boris johnson had to go in july and are now saying he should be pm its been quite the journey for some,0.10100000351667404,0.777999997138977,0.12200000137090683
dear i live in your constituency i always vote as does my husband i just wanted to let you know that if boris johnson a known liar person unfit to hold high office is reappointed as pm i will work tirelessly to make sure you lose your seat #generalelection,0.4230000078678131,0.45899999141693115,0.11900000274181366
breaking rishi sunak and boris johnson have struck a deal if johnson wins the leadership race sunak will resume his old role as chancellor and if sunak wins johnson will resume his old role of shagging waitresses and flying off to the caribbean x,0.017999999225139618,0.8740000128746033,0.10700000077486038
god i love scottish folks the bbc just threw up an image of boris johnson rishi sunak and penny mordaunt as potential prime minister candidates and my wife shouts look at this shower of twats ,0.75,0.14399999380111694,0.10599999874830246
#boris johnson drops out and #davidtennant is back as the #doctor think thats enough for one evening dont you,0.1120000034570694,0.7879999876022339,0.10100000351667404
boris johnson has pulled out now that is news,0.210999995470047,0.6930000185966492,0.09600000083446503
boris johnson i believe i am well placed to deliver a conservative election victory in 2024 in the last days i have sadly come to the conclusion that this would simply not be the right thing to do you cant govern effectively unless you have a united party in parliament,0.4970000088214874,0.4099999964237213,0.09399999678134918
boris johnson has decided not to run ha ha and am laughing at all those who attacked me for saying that hes not going to get a hundred votes ha ha,0.5690000057220459,0.3449999988079071,0.0860000029206276
for the record boris johnson was on a caribbean holiday during the most volatile time in politics his party i can remember he didnt give a jot as it wasnt about him once it is about him returning hes come home to look after number one himself as he always does,0.3499999940395355,0.5659999847412109,0.08399999886751175
