,neg,neu,pos
building in this case was a very relaxing process and the thermals were amazing,0.004000000189989805,0.009999999776482582,0.9860000014305115
really easy to build in awesome air flow and looks amazing,0.004000000189989805,0.009999999776482582,0.9860000014305115
amazing case super easy and fun to build in great airflow construction feels great great cable management definitely recommend this case,0.004999999888241291,0.008999999612569809,0.9850000143051147
this is an amzing case i bought it due to needing better airflow and let me tell you i got it the case is wonderful to build in with many quality of life improvements over cheaper cases and it looks so cool would definately buy again,0.006000000052154064,0.010999999940395355,0.9829999804496765
very good case i am very satisfied with it,0.004000000189989805,0.012000000104308128,0.9829999804496765
perfect case amazing cable management space incredible airflow just all around the best case ever,0.006000000052154064,0.013000000268220901,0.9810000061988831
awesome case really well made bit on the heavy side but well worth it,0.004999999888241291,0.014000000432133675,0.9810000061988831
aesthetically very beautiful house and also at an excellent functional level,0.004000000189989805,0.014999999664723873,0.9810000061988831
awesome case easy to mount to plenty of room easy to open up and looks good,0.004999999888241291,0.014999999664723873,0.9810000061988831
there is a reason this is the bestrated case on amazon its because its really good,0.006000000052154064,0.014999999664723873,0.9800000190734863
its a really nice case to build in for not too much money cable management features are great and the temps are good too also pretty easy to clean the dust filters which is nice would definitely recommend,0.004999999888241291,0.017000000923871994,0.9789999723434448
great case easy to build in with super airflow,0.006000000052154064,0.014999999664723873,0.9789999723434448
it looks very good as well,0.004000000189989805,0.017000000923871994,0.9789999723434448
for the price this is an awesome value case great airflow plenty of space in the back and basement for cable management very easy case to build in great radiator support just buy it already,0.004999999888241291,0.017000000923871994,0.9779999852180481
wanted an icue case forever and finally took the chance to buy one super easy to build in great io and really spacious cable management for new builders highly recommend this,0.004000000189989805,0.017999999225139618,0.9779999852180481
"the quality of the case and the ease of building in it such a great value for money loads of space inside and great airflow the running temperatures under load stay really low
would highly recommend this to anyone",0.006000000052154064,0.01600000075995922,0.9779999852180481
"this case is really easy to build in i built my brother a pc in this case and liked it so much i bought one for myself when i came to upgrade
lots of nice cable management opportunities and plenty of space too
i also think that it looks amazing
cant recommend strongly enough",0.004999999888241291,0.017999999225139618,0.9769999980926514
i love this pc case i bought it for my prebuilt as the case it came with was very cheap and had poor airflow this case was very easy to use for a first time pc builder and it has amazing airflow i paid around £60 for this and it has exceeded my expectations in quality i would definitely recommend this case to friends as well as corsair as a whole,0.004999999888241291,0.017000000923871994,0.9769999980926514
"tickets all the boxes
the build is amazing and strong definitely recommend",0.0020000000949949026,0.019999999552965164,0.9769999980926514
"chose this for my first pc build was great good cable management options mounting points airflow etc
was a breeze to build in would highly recommend",0.004000000189989805,0.01899999938905239,0.9769999980926514
fantastic case love it,0.00800000037997961,0.014999999664723873,0.9769999980926514
great for airflow and looks stunning,0.004999999888241291,0.017999999225139618,0.9760000109672546
best case ive ever built in with two 140mm fans at the front the case has the best airflow in any case ive used and also the lowest noise,0.004999999888241291,0.01899999938905239,0.9760000109672546
