,neg,neu,pos
using on my rog strix scar really nice product came perfectly on time and in perfect condition works superfast and really satisfied with the purchase a worthy product and awesome seller,0.004000000189989805,0.012000000104308128,0.984000027179718
great ssd super fast read and write speeds and perfect for my new pc build,0.003000000026077032,0.014000000432133675,0.9829999804496765
it was a great purchase at a great price well pleased,0.006000000052154064,0.013000000268220901,0.9810000061988831
great product installed easily into my dell inspiron 7786 breathed new life into my laptop after the hdd failed now the laptop is running faster than ever and gaming with bethesda skyrim is flawless at highest resolution exceptionally pleased with performance,0.006000000052154064,0.014999999664723873,0.9779999852180481
these drives are just amazing i have both a p5 500gb and 1tb as boot drives in two different systems and they are phenomenal,0.004000000189989805,0.017999999225139618,0.9779999852180481
easy to install and its already in my pc working great so far and its fast,0.003000000026077032,0.017999999225139618,0.9779999852180481
liked everything about it used it in a gaming laptop to upgrade ssd,0.003000000026077032,0.019999999552965164,0.9769999980926514
it worked so good for my msi ge72vr 6rf apache pro thanks,0.003000000026077032,0.02199999988079071,0.9750000238418579
"received very fast and very good quality and work very fast
thank you very much",0.007000000216066837,0.01899999938905239,0.9739999771118164
i installed it as a primary disk and it works very well it is speedy it starts windows with great speed and above all excellent quality the disk management software must be improved i recommend it for nongaming computers,0.004000000189989805,0.020999999716877937,0.9739999771118164
i bought the 512 gb version works great installed windows 10 pretty fast,0.003000000026077032,0.024000000208616257,0.9739999771118164
my gaming pc works pretty fast with it so im happy,0.003000000026077032,0.024000000208616257,0.9729999899864197
excellent memory from crucial works wonders on my macbook,0.004000000189989805,0.024000000208616257,0.972000002861023
superfast boot time games load much faster i can see some improvement in fps also,0.003000000026077032,0.027000000700354576,0.9700000286102295
fast easy to install and performs great,0.007000000216066837,0.023000000044703484,0.9700000286102295
i like this ssd because its faster than others on market i recommend it,0.004000000189989805,0.02800000086426735,0.9679999947547913
great ssd installed in my dell 5570 without issue cloned the hdd to my new ssd with the recommended software download with ease,0.004000000189989805,0.028999999165534973,0.9670000076293945
"i benchmarked this thing and it outperforms even more expensive drives that i bought using ryzen pcs 2 5 very happy with the performance with i had bought the 1tb on prime day

if in doubt about whether this is a real review just go to speedtest1213080ct500p5ssd8 on the userbenchmark site under ssds",0.006000000052154064,0.029999999329447746,0.9639999866485596
"been using the ssd as my boot drive on an imac for the past year and this has been absolutely amazing
superb speeds on par if not superior than the samsung or wd being fractions cheaper
well done crucial great deal",0.006000000052154064,0.03099999949336052,0.9629999995231628
my pc started running much faster thank you,0.004999999888241291,0.03200000151991844,0.9629999995231628
"nice quick cost effective drive
use it as my boot drive in my new build
not missed a beat so far
easy to install and very quick",0.004999999888241291,0.032999999821186066,0.9610000252723694
we use crucial hard drives and memory all the time they are very reliable and come with software that makes upgrading your system a piece of cake you wont be disappointed,0.004999999888241291,0.03500000014901161,0.9599999785423279
easu to install fast sdd very good to boost your computer io operations,0.004000000189989805,0.035999998450279236,0.9599999785423279
as bootable device is perfect less than 5 sec paired with the rest of components in photo 2 great speeds and response 100 compatible with asus tuf h470 pro wifi because its a nvme drive you dont have to sacrifice the sata port which shares bandwith im very happy with it you have to be very careful when you make service with the io shield for m2,0.006000000052154064,0.03700000047683716,0.9570000171661377
best of all i personally will recommend everyone for crucial brand ssds,0.004999999888241291,0.03999999910593033,0.9549999833106995
good quality and performance from this ssd p5 500gb i advise you to buy it if you want a computerlaptop with better performance and it came after 1 day,0.004000000189989805,0.0430000014603138,0.9520000219345093
perfect for gaming,0.006000000052154064,0.041999999433755875,0.9509999752044678
i installed this nvme m2500 on my laptop on 30th jan 2021 the boot up speed transfer and crystaldisk numbers are outstanding i just followed and used the softwares mentioned on crucial website itself the speed amazed me a lot i will update if i face any bad experiences in future,0.007000000216066837,0.041999999433755875,0.949999988079071
best speed in this price category 1110 in value for money,0.004000000189989805,0.04600000008940697,0.9490000009536743
the install part is also pretty easy too,0.004000000189989805,0.05000000074505806,0.9459999799728394
amazon prime did me right,0.006000000052154064,0.05000000074505806,0.9440000057220459
extremely easy install and instant performance be sure to use their software for cloning your old hdd to transfer everything to the new one extremely easy to use software,0.004000000189989805,0.061000000685453415,0.9350000023841858
quick works well in laptop or pc no problem,0.004999999888241291,0.061000000685453415,0.9340000152587891
works as expected arrived quickly,0.004999999888241291,0.061000000685453415,0.9340000152587891
"read write speed is very good for this price and longlife time
recommended",0.007000000216066837,0.05900000035762787,0.9340000152587891
been using this as my main boot drive for my gaming pc for quite a while now ive been having no issues with this drive whatsoever im planning on buying more of these in the future for me its always crucialmicron sk hynix and samsung for ssds,0.004000000189989805,0.06599999964237213,0.9300000071525574
this drive was very easy to install and clone my previous hd in my laptop,0.004000000189989805,0.06599999964237213,0.9300000071525574
this ssd is better then other companies in this price range upto 6500 it has maximum speed which is show in pic,0.006000000052154064,0.07000000029802322,0.9240000247955322
bought one worked so well that i bought a second very fast transfer speeds for files and games alike certainly about on par with samsung 970 evos without testing of course,0.006000000052154064,0.07699999958276749,0.9179999828338623
this was a good price easy to install and a trusted brand cant go wrong there,0.008999999612569809,0.07199999690055847,0.9179999828338623
i installed p5 500gb in my asus strix laptop working perfectly and súper speed recommend,0.004000000189989805,0.07999999821186066,0.9150000214576721
excellent drive the drive on my moms laptop died i replaced it with this and its working perfectly,0.01899999938905239,0.0689999982714653,0.9120000004768372
one of the best priceperformance ssd with actual discount,0.007000000216066837,0.0820000022649765,0.9110000133514404
crucial aka micron boise id makes very good reliable and fast ram and ssds of all kinds,0.004999999888241291,0.08900000154972076,0.906000018119812
very good,0.01899999938905239,0.09300000220537186,0.8880000114440918
