,neg,neu,pos
fantastic monitor best in gaming class,0.004000000189989805,0.008999999612569809,0.9879999756813049
this is really the best monitor ive been able to use so far it is suitable for office applications as i use it for working from home and studying perfect for gaming as well as privately,0.003000000026077032,0.009999999776482582,0.9879999756813049
it has very good colors and is perfect for gaming and watching videos its the best monitor,0.003000000026077032,0.010999999940395355,0.9860000014305115
very nice screen what a pleasure to play in 1440p and 120hz delivery was expected within 1 month i received it after 2 weeks no dead pixels no light leaks i am extremely satisfied with my purchase that i recommend of course,0.003000000026077032,0.012000000104308128,0.9850000143051147
this monitor is amazing as it has an ips panel this means that colours will be very accurate it is gsync compatible and works by eliminating tearing in games the 165hz is also a nice boost over 144hz overall i am very happy with this monitor and would recommend it to anyone,0.003000000026077032,0.013000000268220901,0.984000027179718
very pleased with this dell monitor crisp image quality and easy to set upfast delivery and with hdmi cables included thanks,0.003000000026077032,0.014000000432133675,0.9829999804496765
unbelievably good for just under £300 i cant recommend this product enough,0.006000000052154064,0.012000000104308128,0.9819999933242798
absolutely cool colors top no backlight bleeding mega satisfied clear purchase recommendation d,0.004999999888241291,0.014000000432133675,0.9810000061988831
everything is awsome with this one 2k is amazing step from full hd 165 hz is more than enough,0.004000000189989805,0.01600000075995922,0.9789999723434448
the quality is a major upgrade to what i had before video games look amazing in 2k and play smoothly the colors also are amazing for movie nights and large resolution is decent enough to do creative work and work with many tabs at once,0.004000000189989805,0.017999999225139618,0.9779999852180481
literally after switching from a tn panel 1080p monitor this monitor seemed out of this world the quality of colours and the display quality is just fantastic great monitor,0.006000000052154064,0.01600000075995922,0.9779999852180481
super clear and great picture perfect for gaming working and image editing i have had some wqhd monitors by now and i have to say its the best priceperformance for about 350€ a real bargainadjustability optics subtle gamer no plastic bomber ips 165 hz 1 ms 2560 x 1440 easy to use,0.004000000189989805,0.017999999225139618,0.9779999852180481
an excellent screen that perfectly meets my needs i use this screen for both work and play and this screen is perfect i love its sleek design its thin edges the joystick to navigate the menu no problem with scrolling no visual artifact qhd resolution at the top at stake the fluidity of 144hz is a treat fully satisfied with this screen,0.004999999888241291,0.017000000923871994,0.9779999852180481
a really great screen that could only use a little more brightness but otherwise fully meets my wishes absolute buy recommendation at the price,0.006000000052154064,0.01899999938905239,0.9760000109672546
bought for my husband who loves it said it made a huge difference,0.004000000189989805,0.02199999988079071,0.9739999771118164
very nice monitor at a very nice price,0.004999999888241291,0.019999999552965164,0.9739999771118164
i like dell monitors and if id go 1440p165 hz then this would be the go to choice for both ergonomics colour and gaming perfect all rounder usb ports are also really nice to have,0.003000000026077032,0.023000000044703484,0.9739999771118164
£250 quite a nice bargain for a 1440p 165hz ips panel monitor aesthetically looks great too nice but not obtrusive blue led on the back screen size is perfect for desktop use if you are umming and erring over whether to go 32inch or 27inch i definitely recommend 27inch especially for 1440pabsolutely worth the £250 spent very happy,0.004000000189989805,0.024000000208616257,0.9729999899864197
im completely satisfied with the monitor everything works great and didnt have dead pixels,0.006000000052154064,0.020999999716877937,0.9729999899864197
i went from a 1080p va panel to this and wow the different was unreal the picture quality is amazing playing xbox series x at 2k 120fps backlight bleed is barely noticeable on my panel would deff recommend,0.007000000216066837,0.020999999716877937,0.972000002861023
extraordinary ips monitor great text quality rare in this technology very little bleeding may vary depending on the unit excellent color quality slightly oversaturated i prefer it elegant and beautifully finished highly recommended,0.007000000216066837,0.023000000044703484,0.9710000157356262
quality article 5 stars i recommend it without a doubt,0.00800000037997961,0.020999999716877937,0.9710000157356262
everything was great,0.007000000216066837,0.020999999716877937,0.9710000157356262
this dell is great for gaming and for typical using also 1010 from amateur like me,0.003000000026077032,0.027000000700354576,0.9700000286102295
im very satisfied crisp colors black is black no bright spots on the edges and the 165 hz is mega for gaming perfectly harmonizes with my rtx 3080 with gsync,0.003000000026077032,0.02800000086426735,0.968999981880188
