,neg,neu,pos
elon musk is the best thing that has ever happened to twitter,0.00800000037997961,0.019999999552965164,0.972000002861023
elon musk is a remarkable person,0.009999999776482582,0.04899999871850014,0.9419999718666077
thanks elon musk im back now,0.010999999940395355,0.09700000286102295,0.8920000195503235
im so glad elon owns twitter because now its a free town square no more silencing people elon musk is like batman billionaire genius,0.023000000044703484,0.08900000154972076,0.8880000114440918
id like to congratulate everybody at twitter being promoted to elon musks babysitter,0.00800000037997961,0.10599999874830246,0.8859999775886536
anyone else notice since elon musks twitter takeover the feed is so much better ,0.00800000037997961,0.1379999965429306,0.8539999723434448
dear lord youve taken my favorite comedian mitch hedberg my favorite girl boss queen elizabeth and my favorite basketball player bill russell i just wanted to let you know my favorite billionaire is elon musk,0.019999999552965164,0.14900000393390656,0.8309999704360962
breaking economists have confirmed elon musk could have solved world hunger for just 6 billion and given me the change this would have been much better because there would be no more world hunger elon musk wouldnt own twitter and id have 38 billion x,0.035999998450279236,0.1469999998807907,0.8180000185966492
twitter the greatest discussion platform in the modern world has been taken over by someone who believes in freedom of speech as long as there is no incitement to violence elon musks acquisition could not have come at a more opportune time,0.017999999225139618,0.17100000381469727,0.8109999895095825
i was talking to someone who doesnt use twitter yesterday who was saying how brilliant it is that elon musk has taken over because hell stop cancel culture and reinstate donald trump and today david icke has been banned and i am laughing my head off ,0.05299999937415123,0.1420000046491623,0.8050000071525574
i looked on nbcnewscom a couple of hours ago and the pelosi story was right at the top with several stories about it all accurate none twisted even had a story about elon musk tweeting conspiracy about the attack good job nbc news boo to nytimes and cnn coverage,0.012000000104308128,0.20600000023841858,0.7820000052452087
elon musk is in romania as a pure coincidence he books the bran castle every year for halloween just saying this so you dont put your expectations too high for the x day surely it will be an amazing event with crazy reveals but elon is too high profile for elrond for now,0.017000000923871994,0.2150000035762787,0.7689999938011169
elon musk is going to be the worlds first multitrillionaire,0.017000000923871994,0.22300000488758087,0.7599999904632568
elon musk is an engineering marvel so much fit into such a thin skin,0.03999999910593033,0.2240000069141388,0.7360000014305115
elon musk is every bit as funny as youd expect a halfengineer halfaccountant to be,0.05999999865889549,0.21199999749660492,0.7279999852180481
8 steps to elon musk success 1 exercise 2 eat well 3 drink water 4 learn 5 network 6 prioritise sleep 7 set goals 8 be consistent boom ,0.008999999612569809,0.2680000066757202,0.7229999899864197
elon musk has something really special planned for dogecoin,0.00800000037997961,0.27300000190734863,0.718999981880188
i defeated devin nunes in court happy to spend some time with elon musk on this topic only if joins me,0.02199999988079071,0.2770000100135803,0.7009999752044678
a ton of new advertisers are vying for space to advertise on twitter now that elon musk own it elon is on path to make this platform turn its first profit in over a decade,0.014999999664723873,0.29499998688697815,0.6899999976158142
elon musk could actually have a tremendously positive impact on this election if he lifts the shadow ban on conservative accounts,0.026000000536441803,0.31700000166893005,0.6570000052452087
elon musk welcome to mars take off ur helmets lol the air is super safe to breathe everyone on mars dies immediately elon musk deletes tweet,0.08799999952316284,0.25999999046325684,0.6520000100135803
it just struck me elon musk could put #dogecoin on the actual moon at some point haha,0.007000000216066837,0.34200000762939453,0.6510000228881836
elon musk has officially broken the social media monopoly,0.013000000268220901,0.3400000035762787,0.6470000147819519
i wonder if elon musk fact checking and handing hillary clinton a massive ratio will make her think twice in the future about trying to push their false narratives probably not but it was pretty awesome lmao,0.11299999803304672,0.26499998569488525,0.621999979019165
now that elon musk is in charge we can say whatever we want without worrying about being canceled the elder scrolls online is better than morrowind,0.08399999886751175,0.33000001311302185,0.5860000252723694
elon musk has the left going crazy just grab some popcorn and enjoy,0.05700000002980232,0.3580000102519989,0.5849999785423279
elon musk has already implemented birdwatch a fact checker ran by twitter users that will stop the spread of fake news by the media and even the president of the united states this is huge before elections,0.03099999949336052,0.41200000047683716,0.5569999814033508
i am not afraid to stand up to elon musk whos with me,0.03700000047683716,0.4359999895095825,0.5270000100135803
elon musk officially bought twitter for 44 billion dollars beating the next highest offer of zero dollars musk sent an open letter to advertisers saying he doesnt want twitter to become a freeforall hellscape because thats his plan for mars #weekendupdate,0.07100000232458115,0.5049999952316284,0.42399999499320984
elon musk has changed his bio name to chief twit ill agree with him on this one,0.026000000536441803,0.5619999766349792,0.41100001335144043
we must pass the great filter elon musk,0.03999999910593033,0.5569999814033508,0.4020000100135803
elon musk clicked the upgrade button on earth,0.03500000014901161,0.5870000123977661,0.3779999911785126
big elon musk will soon get rid of the 280character limit on twitter if not he may expand the character which means you will be able to write more on twitter without creating threads,0.0560000017285347,0.5720000267028809,0.3720000088214874
elon musk could be trolling to distract and exhaust people focus on the election amplify candidates that need our help spread the positive news about early voting get out the vote happy halloween ,0.12700000405311584,0.5040000081062317,0.36899998784065247
elon musk owning twitter is better for trump than trump being on twitter,0.08100000023841858,0.5720000267028809,0.3479999899864197
