,neg,neu,pos
elon really gets me thinking outside the box thanks for your analysis andy love this series,0.004000000189989805,0.023000000044703484,0.9729999899864197
i think what mr elon musk is accomplishing is pure gold ,0.013000000268220901,0.1080000028014183,0.8790000081062317
when something is important enough you do it even if the odds are not in your favor elon musk,0.023000000044703484,0.26499998569488525,0.7120000123977661
elon musk probably enjoys trolling the wokies the little twitter battles are fun to watch,0.04800000041723251,0.2840000092983246,0.6679999828338623
aoc is hot for elon,0.03799999877810478,0.5090000033378601,0.45399999618530273
i am 65 but i plan to name any future baby boy of mine elon,0.028999999165534973,0.7509999871253967,0.2199999988079071
elon wreaking aoc was hilarious heres hoping she makes a fool out of herself more,0.4410000145435333,0.3409999907016754,0.21799999475479126
i think im one of the 3 or 4 people on earth who opened a twitter account as a result of elon musk buying it ,0.11299999803304672,0.7459999918937683,0.14100000262260437
i wouldnt doubt if aoc and elon musk get it on,0.06199999898672104,0.8230000138282776,0.11500000208616257
any book of elon musk from childhood to till now,0.03999999910593033,0.8479999899864197,0.1120000034570694
"you still think musk is your hero

whenever the people need a hero we shall provide him
 albert pike",0.2759999930858612,0.6129999756813049,0.1120000034570694
i think elon is keeping yoel around because he knows where the bodies are buried elon will let him stay until hes gotten all the info hes after,0.028999999165534973,0.8759999871253967,0.0949999988079071
which book do you recomend elon musk4 hour work weekatomic habits or deep work,0.028999999165534973,0.8840000033378601,0.08699999749660492
bitch better have my money elon musk,0.640999972820282,0.2800000011920929,0.07900000363588333
elon is great at trolling and wrecking people,0.6700000166893005,0.25600001215934753,0.07400000095367432
now pay the 8 lmao go elon,0.5419999957084656,0.39100000262260437,0.06700000166893005
you could say elon is just taxing the rich ,0.29499998688697815,0.640999972820282,0.06400000303983688
dont have a twitter account real at least but i will be a 8 twitter person under elon,0.25600001215934753,0.6880000233650208,0.05700000002980232
"interesting that elon left this as the 1fact checker for twitter
who fact checks him
just saying ",0.24699999392032623,0.7160000205039978,0.03700000047683716
did you see the other response tweet from elon to aoc it was that she sells sweaters that say aoc for 58 a piece aocommie,0.04500000178813934,0.9240000247955322,0.03099999949336052
elon musk is not the first africanamerican jimmy kimmel insulted,0.5220000147819519,0.453000009059906,0.02500000037252903
you know aoc isnt going to give up that blue check mark shell pay elon that 8 ,0.47099998593330383,0.5049999952316284,0.024000000208616257
if im not mistaken trevor noah and elon musk are both from the same countrysouth africa does that make this another example of africanamerican on africanamerican violence,0.34599998593330383,0.6349999904632568,0.01899999938905239
"elon garbage day
0⃣ nooo",0.8889999985694885,0.09799999743700027,0.013000000268220901
elon is not a good guy,0.8949999809265137,0.0949999988079071,0.009999999776482582
