,neg,neu,pos
harry kane thats a sexy goal and i love you and i never doubted you xx,0.004999999888241291,0.01600000075995922,0.9789999723434448
harry kane has been brilliant so far #engfra,0.003000000026077032,0.020999999716877937,0.9760000109672546
its coming home ladsss lets go ingerland harry kane is the best striker in the world ,0.003000000026077032,0.02199999988079071,0.9760000109672546
what a perfect example of performance under pressure i am so in awe of harry kane,0.00800000037997961,0.017999999225139618,0.9750000238418579
harry kane has create a history for himself fantastic ,0.003000000026077032,0.023000000044703484,0.9739999771118164
the only time i will ever be happy to see #arsenal and tottenham working together great penalty from harry kane ,0.004000000189989805,0.027000000700354576,0.968999981880188
seeing harry kane stand there and congratulate every french player give lloris a big hug despite an unimaginably big lump in his throat what a man love you come home to n17 and lets go win a trophy #coys,0.004999999888241291,0.028999999165534973,0.9660000205039978
lovely drop goal for harry kane 3 points for england,0.003000000026077032,0.03400000184774399,0.9629999995231628
absolutely class from harry kane with that second penalty kick paying homage to one of his predecessors david beckham watching in the stands #toplad,0.004999999888241291,0.03700000047683716,0.9580000042915344
heartbreak the boys did us super proud no talk on the ref ever the game is the game harry kane balls of steel dont feel like you let us down you are the best of 60billion that we trust we love you boys no matter what southgate amazing again ,0.012000000104308128,0.03099999949336052,0.9570000171661377
excellent fg from harry kane,0.003000000026077032,0.041999999433755875,0.9549999833106995
everyone should remember all the great goals harry kane has scored one miss does not detract from that he stood up i personally will always admire him for that ,0.007000000216066837,0.03999999910593033,0.953000009059906
harry kane perfect for spurs both bottlers theyre a perfect fit ,0.004999999888241291,0.04399999976158142,0.9520000219345093
i fucking love you harry kane,0.017999999225139618,0.03500000014901161,0.9470000267028809
harry kane doesnt usually get the appreciation he deserves but hes a very special player extremely consistent for both club and country #fifaworldcup,0.007000000216066837,0.04699999839067459,0.9459999799728394
harry kane is our best defender midfielder and striker x,0.004000000189989805,0.052000001072883606,0.9440000057220459
richarlison and harry kane two of the best strikers in the world ,0.004999999888241291,0.05400000140070915,0.9409999847412109
harry kane i love you,0.006000000052154064,0.05400000140070915,0.9399999976158142
harry kane the greatest ever to do it,0.00800000037997961,0.06400000303983688,0.9279999732971191
be proud of these players and protect them no bullshit harry kane is will be an english footballing legend,0.008999999612569809,0.0729999989271164,0.9179999828338623
anyone abusing harry kane needs their heads checking well played england best ive seen the boys play in years #eng,0.026000000536441803,0.0689999982714653,0.906000018119812
harry kane represents tottenham so well on the international stage,0.004000000189989805,0.09200000017881393,0.9039999842643738
ill die on the hill that harry kane is the best striker in the world,0.024000000208616257,0.09099999815225601,0.8849999904632568
im so glad this has happened to harry kane ,0.01600000075995922,0.10199999809265137,0.8820000290870667
harry kane is a great player and a great man and came up short tonight happens in sport we can all give him love and respect still,0.03099999949336052,0.08799999952316284,0.8809999823570251
harry kane is now officially englands alltime top scorer level with wayne rooney on 53 goals historic moment #engfra,0.003000000026077032,0.12300000339746475,0.8740000128746033
harry kane stuck around to shake hands with the french captain he took responsibility i have absolutely nothing but respect for him,0.026000000536441803,0.12399999797344208,0.8489999771118164
cristiano ronaldo take note of harry kane thats a true professional captain and team player staying on the pitch keeping your head up even congratulating the french players not storming off down the tunnel in a strop england played well thats all you can ask #eng,0.019999999552965164,0.15199999511241913,0.828000009059906
for the first time in his england career harry kanes head went there people shouldnt be too hard on him top player and good lad #worldcup #eng,0.02500000037252903,0.1589999943971634,0.8169999718666077
cannot quantify how much enjoyment the combination of harry kane missing the matchtying pen for england to lose gives me immense happiness through schadenfreude on a very difficult day,0.07100000232458115,0.12800000607967377,0.8009999990463257
heartbreaking loss for england harry kane is one of the safest players from the spot in club football too this england team actually has the spark so much talent to look forward to the likes of foden saka bellingham taa mount etc will go a long way #fifaworldcup,0.02800000086426735,0.17299999296665192,0.7990000247955322
i bloody love harry kane i will always love harry kane and im devastated for him,0.10300000011920929,0.0989999994635582,0.7979999780654907
gutted fine margins love harry kane been fully entertained by this whole world cup going to bed,0.04899999871850014,0.164000004529953,0.7870000004768372
partiu harry kane the field goal is good,0.009999999776482582,0.20499999821186066,0.7850000262260437
can confirm that ball landed in my backyard thanks for the ball harry kane ,0.010999999940395355,0.210999995470047,0.7789999842643738
11 england deserved that and harry kane equals wayne rooneys record of 53 goals,0.00800000037997961,0.22699999809265137,0.7649999856948853
harry kane kick is good from 58 yds,0.013000000268220901,0.2240000069141388,0.7630000114440918
harry kane thanking his lucky stars right now that hes white,0.017999999225139618,0.21899999678134918,0.7620000243186951
not a harry kane fan hes a spurs player after all but absolutely dont blame him and people protect him like we protected the lads after euro penalties they served magnificently and gave us a great run this team is miles better than any england team ive ever seen,0.0560000017285347,0.1889999955892563,0.7549999952316284
harry kane has now scored more major tournament goals than any england player ever ,0.007000000216066837,0.2409999966621399,0.7519999742507935
if harry kane makes this i can eat mcdonalds again,0.02199999988079071,0.23899999260902405,0.7390000224113464
itll take a miracle for harry kane to win a trophy the hustle is real,0.032999999821186066,0.23399999737739563,0.7329999804496765
harry kane always trying to be the best actor,0.04399999976158142,0.23000000417232513,0.7260000109672546
i dont have a strong rooting interest in the outcome but do have a strong interest in harry kane being the villain so this is good by me,0.03400000184774399,0.2529999911785126,0.7129999995231628
harry kane has been one of englands top 3 players all tournament and the country will hate on him he knows where hes loved our boy were all with you,0.0860000029206276,0.20499999821186066,0.7089999914169312
harry kane this one for you princess diana and sent it to heaven my goat,0.009999999776482582,0.28700000047683716,0.703000009059906
oh harry whatever you do dont hate on harry kane for that penalty miss hes been brilliant england have been brilliant the referees been unfair #engfra,0.1289999932050705,0.21799999475479126,0.652999997138977
most goals scored for englands senior national teams 53 harry kane 53 wayne rooney the record has been equalled ,0.004000000189989805,0.36800000071525574,0.6269999742507935
goal france 1 1 england harry kane makes no mistake from the spot game on ,0.010999999940395355,0.3799999952316284,0.6100000143051147
you love to see harry kane smashing the ball to mars ,0.05000000074505806,0.34700000286102295,0.6029999852180481
harry kane sent that ball to the heavens for the queen ,0.028999999165534973,0.4050000011920929,0.5659999847412109
i never thought id get to see harry kane and christiano ronaldo both cry on the same day its a christmas miracle,0.17299999296665192,0.26899999380111694,0.5590000152587891
world cup harry kane is now equal with wayne rooney as englands top scorer with 53 goals,0.004000000189989805,0.4399999976158142,0.5559999942779541
harry kane i have a buiiet for u,0.02500000037252903,0.4659999907016754,0.5090000033378601
fair play to harry kane for blazing that penalty over the bar in protest against the human rights abuses perpetrated by the qatari regime pure class,0.1379999965429306,0.36899998784065247,0.49300000071525574
went for a stroll through lovely madison wisconsin this afternoon it was nice until harry kanes penalty kick hit me in the head #hellofolks,0.22499999403953552,0.28700000047683716,0.4880000054836273
its coming home harry kane ,0.006000000052154064,0.5139999985694885,0.47999998927116394
harry kane has tied wayne rooneys england record for joint top goalscorer,0.007000000216066837,0.5350000262260437,0.4580000042915344
harry kane im so so sorry will always love you #engfra,0.27399998903274536,0.2720000147819519,0.45399999618530273
harry kane we will be seeing you in the mls ,0.004000000189989805,0.546999990940094,0.4490000009536743
harry kane scores and now equals wayne rooneys alltime england record,0.006000000052154064,0.5479999780654907,0.44699999690055847
harry kane has now equaled wayne rooney as the jointhighest scorer for the mens side #fifaworldcup,0.004999999888241291,0.550000011920929,0.4449999928474426
harry kanes miss will be the highlight reel for the next 4 years ,0.06199999898672104,0.5099999904632568,0.42800000309944153
harry kane becomes first nfl kicker to score in a world cup quarterfinal ,0.004000000189989805,0.5680000185966492,0.4269999861717224
harry kanes penalty is joining russian tanks turrets on the moon absolutely crazy stuff,0.04699999839067459,0.5260000228881836,0.4269999861717224
harry kane running with the speed and grace of captain tom,0.013000000268220901,0.5649999976158142,0.421999990940094
 alltime leading goalscorers for england harry kane 80 caps wayne rooney 120 caps #fifaworldcup #engfra,0.007000000216066837,0.5789999961853027,0.414000004529953
54 goal harry kane equalises from the spot #fifaworldcup england 11 france,0.003000000026077032,0.5929999947547913,0.40299999713897705
harry kane stays on the field shakes hands with french players and doesnt run off crying because its not all about him proud of englands world cup journey ,0.0989999994635582,0.5120000243186951,0.3880000114440918
three wise men have just set off for bethlehem following the ball from harry kanes penalty,0.012000000104308128,0.6000000238418579,0.3880000114440918
if you dont rate harry kane based on trophies you cannot be taken seriously hes quite literally the perfect number 9,0.28200000524520874,0.34200000762939453,0.37599998712539673
i feel like premier league fans became friends temporarily when harry kane scored that penalty for england #eng,0.04600000008940697,0.5860000252723694,0.36800000071525574
id literally put my life savings on harry kane scoring a pen too,0.10599999874830246,0.5339999794960022,0.3610000014305115
if harry kane makes this im proposing to on my birthday,0.05999999865889549,0.5870000123977661,0.3529999852180481
