,neg,neu,pos
pretty good play from belgium nice one lukaku ,0.0020000000949949026,0.017999999225139618,0.9800000190734863
god bless you lukaku love you bro,0.006000000052154064,0.014999999664723873,0.9789999723434448
this is an alltimer performance by lukaku croatias best ever player,0.004999999888241291,0.020999999716877937,0.9739999771118164
lukaku just dropped the funniest wc performance ive ever watched it must be one of the funniest ones oat surely,0.006000000052154064,0.019999999552965164,0.9739999771118164
romelu lukaku in this belgium game is one of the greatest acts of storytelling ive ever seen in my life,0.004999999888241291,0.029999999329447746,0.9649999737739563
lukaku is the funniest footballer oat both on and off the pitch never fails to make me laugh,0.010999999940395355,0.02500000037252903,0.9639999866485596
lukaku hits inside post wow so close good effort,0.003000000026077032,0.03799999877810478,0.9589999914169312
footy goes from sport to comedy when lukaku is on the pitch everything he does is so funny to me,0.006000000052154064,0.035999998450279236,0.9580000042915344
lukaku getting all these big chances after being out for months incredible player,0.00800000037997961,0.041999999433755875,0.949999988079071
lukaku having the funniest cameo ive ever seen in my life,0.00800000037997961,0.04500000178813934,0.9470000267028809
romelu lukaku with belgium in world cup 2022 group f highlights insane skills goals best striker in the world,0.004999999888241291,0.05400000140070915,0.9409999847412109
this lukaku cameo is one for the ages,0.004999999888241291,0.05900000035762787,0.9369999766349792
lukaku is too funny man this comp will be an all timer,0.01600000075995922,0.04800000041723251,0.9359999895095825
lukaku is the man of the match croatia is lucky to have had a striker like him play tonight #fifaworldcup,0.00800000037997961,0.06700000166893005,0.9240000247955322
funny how lukaku broke onto the scene showing massive potential and has actually had an objectively good career but his legacy will always be being the funniest footballer ever,0.012000000104308128,0.06599999964237213,0.921999990940094
lukaku is having a good game against belgium,0.004000000189989805,0.08399999886751175,0.9120000004768372
lukaku being the record goal scorer for belgium and on pace to potentially be one of the greatest goal scorers in european history tells you all about european group stage qualifying for the euros and wc,0.004000000189989805,0.10100000351667404,0.8949999809265137
the way i just celebrated that lukaku miss omg,0.013000000268220901,0.10999999940395355,0.8769999742507935
lukaku you were a good dude,0.024000000208616257,0.11100000143051147,0.8640000224113464
