,neg,neu,pos
im crying the nunez chaos ball experience is the best show on sports television i love him,0.004999999888241291,0.012000000104308128,0.9829999804496765
nunez is prime time entertainment and i love it,0.003000000026077032,0.014000000432133675,0.9829999804496765
nunez bringing real football back he plays like hes from nechells this is the most entertaining striker in the league,0.004000000189989805,0.024000000208616257,0.972000002861023
• one foot in the last 16 of the cl • firmino is phenomenal • salah desperately needed that • back to back goals for nunez • konate was amazing • gomez starts for the foreseeable • fabinhos best game for a while • substitutes were spot on man city next,0.003000000026077032,0.02800000086426735,0.968999981880188
this game is perfect for darwin nunez to come on,0.004999999888241291,0.028999999165534973,0.9670000076293945
nunez is incredible chaos ball i love it absurd player for when you are ahead in games,0.009999999776482582,0.028999999165534973,0.9599999785423279
darwin nunez is such an incredible injection of pace physicality and ditectness with a bit of cleaning up on his finishing and vision hes going ro be absolutely immense for liverpool,0.007000000216066837,0.039000000804662704,0.9539999961853027
darwin nunez is the funniest player in the premier league ,0.009999999776482582,0.04500000178813934,0.9449999928474426
decent first half all set up for a nunez winner in the second,0.004000000189989805,0.0560000017285347,0.9399999976158142
alexanderarnold almost wraps it up at the back post great work from nunez to set it up,0.003000000026077032,0.09200000017881393,0.9049999713897705
nunez changed the game created a big chance and got pool the win world class,0.00800000037997961,0.09000000357627869,0.9020000100135803
nunez gotta be one of the funniest footballers on earth,0.024000000208616257,0.0820000022649765,0.8939999938011169
darwin nunez gotta be the most fascinating baller to watch since eric bailly box office,0.007000000216066837,0.10499999672174454,0.8880000114440918
nunez once again making me feel great for us sending off for €100m,0.010999999940395355,0.10400000214576721,0.8849999904632568
another day to enjoy thiago ball ohh wait nunez ball too,0.003000000026077032,0.11599999666213989,0.8809999823570251
nunez showing his pace needs to think quicker but its looking better cant be mad at bobby hes been immense so far,0.010999999940395355,0.1120000034570694,0.8769999742507935
nunezs cameo was something ive never seen before,0.012000000104308128,0.11400000005960464,0.8740000128746033
darwin nunez is a complete package just needs to work on his composure then he would be unstoppable,0.008999999612569809,0.125,0.8650000095367432
oh wow nunez does brilliantly down the left and alexanderarnold stretching just cant convert his low cross,0.024000000208616257,0.11500000208616257,0.8610000014305115
salah is so good up top ridiculous hold up play and so dangerous in behind stick him next to nunez and well be so good,0.03799999877810478,0.11999999731779099,0.8420000076293945
darwin nunez is absolute box office you simply cannot take your eyes off this man,0.03999999910593033,0.125,0.8349999785423279
i see why klopp got nunez he fits the system perfectly now all hes got to do his make better decisions #livmci,0.014000000432133675,0.1899999976158142,0.7960000038146973
nunez is wild unpredictable and dangerous if it all clicks hes going to be incredible whether it clicks or not is anyones guess,0.02199999988079071,0.1889999955892563,0.7889999747276306
nunez wanted to score so he can pull his cloth again unbelievable player,0.020999999716877937,0.19099999964237213,0.7879999876022339
nunez is a gift to banter,0.026000000536441803,0.19599999487400055,0.7789999842643738
the atmosphere has lifted were back in it bring on nunez,0.007000000216066837,0.21899999678134918,0.7749999761581421
nunez goes close after a brilliant purposeful run the noise,0.008999999612569809,0.2460000067949295,0.7450000047683716
darwin nunez to score and liverpool win ,0.004000000189989805,0.25600001215934753,0.7400000095367432
ive no doubt darwin nunez will be a success at liverpool boggles my mind how many are rushing to write him off already,0.0430000014603138,0.22599999606609344,0.7310000061988831
i just loved seeing nunez do what salah did to mane but salah got pist ,0.026000000536441803,0.25699999928474426,0.7179999947547913
darwin nunez is a better footballer than ronaldo dont get me wrong ronaldo has obviously had a better career and is one of the greatest tap in pen merchants of all time but in terms of individual quality darwin nunez is obviously the better football player,0.054999999701976776,0.23499999940395355,0.7099999785423279
gomez made a huge difference shut down foden and silva on citys left wing they would have had so much fun with alexander arnold nunez should be sold tomorrow something about liverpools style of play make them the only pl team able to make city look ordinary great game,0.03999999910593033,0.2840000092983246,0.6759999990463257
nunez earns the applause of the whole of anfield as akanji takes him down on the edge of the box,0.006000000052154064,0.32899999618530273,0.6650000214576721
we all thought nunez shouldve squared it just like salah should have first have but the constant threat nunez brings into the side is fantastic if jota is out fingers crossed he isnt then darwin on the left should be a serious consideration as he was great down the wing,0.03799999877810478,0.2980000078678131,0.6639999747276306
if darwin nunez is a professional footballer then you can be anything you want in life,0.017000000923871994,0.3790000081062317,0.6050000190734863
konate coming back in could be extremely important but salah also needs to move central this 442 could see him back to his best operating in a somewhat free role off nunez and allowing him to have the majority of his actions in and around the box,0.009999999776482582,0.3889999985694885,0.6019999980926514
nunez is too funny to watch man,0.15399999916553497,0.2809999883174896,0.5649999976158142
10 points from 8 games 80m on nunez vvd and trent spun everyday salah on vacation after securing the bag klopp only cries and makes excuses and your best player out till december must be tough at liverpool and im absolutely loving it,0.12700000405311584,0.3109999895095825,0.5619999766349792
ya darwin nunez looks unbelievably raw but im telling ye there is a serious player there,0.06300000101327896,0.38999998569488525,0.5479999780654907
nunez came in and had a better game than that tap in merchant,0.052000001072883606,0.4020000100135803,0.5460000038146973
bobby was on a hattrick but instead he gave it to nunez for a easier chance thats my no9 team player right there you simply cannot hate him,0.13199999928474426,0.3370000123977661,0.531000018119812
nunez does brilliantly down the left and sets up a chance for alexanderarnold who cant quite steer it in at far post,0.010999999940395355,0.47200000286102295,0.5170000195503235
eddie nketiah is so clear of darwin nunez and its not even close,0.05900000035762787,0.42500001192092896,0.515999972820282
eyoo klopp please bring on nunez,0.017000000923871994,0.47099998593330383,0.5120000243186951
feels like this would be the perfect time to bring on nunez,0.035999998450279236,0.460999995470047,0.503000020980835
if nunez can play in the prem i can too,0.012000000104308128,0.48899999260902405,0.49900001287460327
nunez in 18 minutes was alive excellent movement great threat chaos creator not yet consistent in his finishing and not the best decision making in the final third still too early and will get better with time,0.10700000077486038,0.39500001072883606,0.49799999594688416
trent and nunez gonna come on together in the second half thats a destined header right there ,0.010999999940395355,0.49399998784065247,0.4950000047683716
ishowspeed is objectively a better footballer than darwin nunez,0.09700000286102295,0.4090000092983246,0.49399998784065247
nunez has to come in theres so much space for him i swear,0.04100000113248825,0.46700000762939453,0.492000013589859
better technical forwards than darwin nunez put this game to bed with game state favouring liverpool the last 15 minutes,0.07699999958276749,0.4320000112056732,0.49000000953674316
idc the chaos factor that nunez possesses is something special,0.14100000262260437,0.37700000405311584,0.4819999933242798
i like wetin nunez dey do salah go sabi as e dey feel now,0.024000000208616257,0.4950000047683716,0.48100000619888306
im truly thankful that darwin nunez doesnt play for my football club,0.24300000071525574,0.3059999942779541,0.45100000500679016
timo werner is way intelligent than nunez,0.05700000002980232,0.5130000114440918,0.4300000071525574
nunez was superb but he should pass easy 2 goal opportunity missed today like this,0.16599999368190765,0.40400001406669617,0.4300000071525574
were top of the league with our jesus youre 10th 14 points behind us with your nunez keep your nunez well keep our jesus lets respect each other please,0.07100000232458115,0.503000020980835,0.4259999990463257
nunez is a very biggg fooooooooollllll,0.0860000029206276,0.5109999775886536,0.40400001406669617
nunez go come in second half make he score brace wey ego shock everyone,0.02500000037252903,0.5770000219345093,0.39800000190734863
nobody can tell me otherwise jordan ayew is a better striker than darwin nunez,0.08900000154972076,0.5230000019073486,0.3880000114440918
nunez shouldve squared it to salah twice wont deny that in the slightest but he still caused the city defence issues with his running in behind hes still extremely raw but hes got everything to succeed for us in the long term lets the emotion get to him too much atm,0.09700000286102295,0.5230000019073486,0.3799999952316284
this would have been 30 liverpool if darwin nunez made the right passes in the final third,0.03500000014901161,0.5889999866485596,0.37599998712539673
manifesting hammering today its time we get our groove back and destroy that oil club salahbobby and nunez cooking ,0.16200000047683716,0.4860000014305115,0.35199999809265137
if nunez comes on were winning ,0.01600000075995922,0.6359999775886536,0.3479999899864197
maguire is better than nunez,0.04800000041723251,0.6069999933242798,0.34599998593330383
hope manchester city absolutely batter them later im talking 70 with haaland scoring 5 and unveiling a tshirt saying he cost less than darwin nunez,0.164000004529953,0.4950000047683716,0.3409999907016754
this game is screaming out for darwin nunez,0.17100000381469727,0.503000020980835,0.32499998807907104
and i dont stan darwin nunez o just feel he is one guy that will improve with age the potentials are there just needs to improve on his finishing that all,0.11500000208616257,0.5640000104904175,0.32100000977516174
give me darwin nunez and maguire in my team i would never concede a goal and win the the match by 9 goals,0.164000004529953,0.5199999809265137,0.3160000145435333
hear me out elanga is better than nunez,0.06800000369548798,0.6190000176429749,0.31299999356269836
a hilarious cameo from nunez by the way hes like a big leggy horse always dangerous always on the move you never really know whats coming next except that he will probably make the wrong call you just know the guy is going to be a menace when he gets it together,0.33500000834465027,0.36800000071525574,0.296999990940094
nunez does so so well but cant quite find trent for 20,0.2590000033378601,0.44999998807907104,0.29100000858306885
nunez is there for comedic relief 5d chess from klopp,0.0860000029206276,0.6460000276565552,0.2680000066757202
nunez not ending up at chelsea is a miracle hes the perfect profile for a chelsea flop,0.28999999165534973,0.45100000500679016,0.2590000033378601
nunez cameo was special just created chaos as soon as he came on,0.3009999990463257,0.44200000166893005,0.25699999928474426
darwin nunez has 3 goals in 4 starts,0.010999999940395355,0.734000027179718,0.2549999952316284
that dawgwin nunez cameo was one for the ages lol hell always have you off your feet no matter how many moments he ruins,0.4869999885559082,0.26100000739097595,0.25200000405311584
speed nunez,0.04699999839067459,0.7059999704360962,0.24699999392032623
darwin nunez should contest for beauty and modelling and chill football,0.07599999755620956,0.6779999732971191,0.2460000067949295
haaland vs nunez fighting for second place theres only one king mo salah,0.04399999976158142,0.7110000252723694,0.24500000476837158
jurgen klopp let me say it like this i think darwin nunez would have scored a couple more goals if he had played in the centre of #mancity this season via ,0.023000000044703484,0.7350000143051147,0.24300000071525574
this game is screaming out for a darwin nunez,0.2370000034570694,0.5210000276565552,0.24199999868869781
lmao if mourinho were to be the liverpool manager today hed have subbed nunez off again even tho he only just got subbed on i can trust him on that ,0.12800000607967377,0.6309999823570251,0.2409999966621399
im in tears here nunez aura is nuts he gets 5 chances a game somehow ive not seen this since napoli cavani ,0.48100000619888306,0.28299999237060547,0.23600000143051147
bro i am currently 50x times the player darwin nunez is and ive put on weight,0.32100000977516174,0.4449999928474426,0.23399999737739563
nunez is almost as physically incredible as erling halaand but doesnt have half the composure,0.33799999952316284,0.42899999022483826,0.2329999953508377
i fully get the 433 formation from klopp need an extra body in midfield but no starting darwin nunez is a bit mad deserves to start every game makes such a difference,0.1720000058412552,0.597000002861023,0.23100000619888306
darwin nunez still needs time to adapt in the league he will be more dangerous than sadio mane soon,0.11599999666213989,0.6589999794960022,0.22499999403953552
dont get the displeasure with darwin nunez at all from some of our fans yes some decisions today werent the best but hes got that strikers instinct to want to score himself decision making in matches can be worked on hell be one of our best players for years to come,0.2919999957084656,0.4869999885559082,0.22100000083446503
origi is actually better than this nunez fella poor business,0.40299999713897705,0.37700000405311584,0.21899999678134918
nunez is the footballing version of dua lipa similar looks ,0.026000000536441803,0.7630000114440918,0.210999995470047
liverpool signed nunez for entertainment purposes have to respect that,0.03400000184774399,0.7559999823570251,0.20999999344348907
nunez in this atmosphere i beg you,0.15299999713897705,0.6399999856948853,0.20800000429153442
darwin nunez had ten years to find that pass to salah oh my days,0.11800000071525574,0.6779999732971191,0.20399999618530273
get nunez on so he can feed off this hype,0.10100000351667404,0.7009999752044678,0.19900000095367432
nunez just settled the debate with haaland he owns him,0.03200000151991844,0.7699999809265137,0.1979999989271164
good result but nunez is a money laundering scheme and i wont be told otherwise,0.4909999966621399,0.31299999356269836,0.19599999487400055
nunez is pure chaos im vibing with it bmt,0.45500001311302185,0.3490000069141388,0.19499999284744263
jabar rates nunez tells you everything you need to know,0.041999999433755875,0.7630000114440918,0.19499999284744263
if nunez was playing with city ahead of de bruyne hed already have 10 plus goals his movement is excellent he is just unlucky he is playing with a really poor liverpool side at the moment,0.3089999854564667,0.4950000047683716,0.19499999284744263
nah nunez is playing sexy ,0.14399999380111694,0.6620000004768372,0.1940000057220459
darwin nunez has to pass to mohamed salah after dispossessing joao cancelo too eager to score at anfield #livmci,0.02800000086426735,0.8069999814033508,0.16500000655651093
no point tryna debate with danny aaron fans icl darwin nunez created a few good opportunities i stand by my statement tho,0.2669999897480011,0.5759999752044678,0.15600000321865082
darwin nunez is like the character they introduce in a tv show when its getting a bit predictable just to keep things fun,0.22300000488758087,0.621999979019165,0.1550000011920929
games crying out for nunez man,0.26600000262260437,0.5789999961853027,0.1550000011920929
i think the debate over whos better between haaland and nunez can be put to bed after liverpool beat that blue plastic team nunez for the ballon dor #livmci #liverpoolmancity,0.25,0.5989999771118164,0.1509999930858612
if nunez was 80£ then eddie nketiah should be 100£ for sure,0.07500000298023224,0.7770000100135803,0.14800000190734863
looool nah im crying nunez really couldve wrapped this game up like 3 times since coming on bozo ,0.4970000088214874,0.35499998927116394,0.14800000190734863
