,neg,neu,pos
"i am thrilled
several modes
extremely easy to set up and use impeccable filtering do not hesitate",0.004000000189989805,0.013000000268220901,0.9829999804496765
the air freshener works quietly and quickly im extremely satisfied,0.004000000189989805,0.01600000075995922,0.9800000190734863
this device is great does everything to keep a room clean low noise and easy to use,0.004000000189989805,0.019999999552965164,0.9760000109672546
the device does what it promises very quiet very powerful great quality and workmanship easy handling highly recommended,0.006000000052154064,0.019999999552965164,0.9739999771118164
after regular daily use i can say that i am thrilled with its operation the noise in the three possibilities so for now i can only say excellent purchase among those available with excellent quality ratio price,0.004000000189989805,0.023000000044703484,0.9729999899864197
as an allergy sufferer i am really satisfied and i notice a clear difference the device is super quiet smart and ensures restful nights,0.004999999888241291,0.02199999988079071,0.9729999899864197
it works well good product,0.006000000052154064,0.02500000037252903,0.968999981880188
"very nice device
highly recommended",0.009999999776482582,0.020999999716877937,0.968999981880188
we have now tested the air purifier for a long time and are really excited it reduces dust and can also help with allergies the volume at the highest level is really bearable and you wont hear anything about the sleep mode when set to automatic it reacts quickly to dirt clear recommendation ,0.004999999888241291,0.03099999949336052,0.9649999737739563
reliable air purifier i am very satisfied after a few weeks of use,0.004000000189989805,0.03200000151991844,0.9629999995231628
just great dust we bought the air is fresh exactly what its supposed to a bit louder from time to time but it also has to work always quiet at night so great and recommended,0.007000000216066837,0.03099999949336052,0.9620000123977661
"great much less dust in the childrens room and nickel quiet mode for the night
i am amazed i recommend",0.008999999612569809,0.03700000047683716,0.9539999961853027
"best buy ever its hay fever season and i can finally breathe freely again after ventilation close the window set to maximum and within 5 minutes the air is clean and the hay fever is gone a hallelujah on this device
ps yes it is loud on the strongest level but it is just a fan with a filter",0.013000000268220901,0.03700000047683716,0.9490000009536743
one of my best purchase purified air for my sensitive nose at a low noise level i could keep it on all night suitable for small spaces like my student dorm,0.006000000052154064,0.04699999839067459,0.9470000267028809
it works well sensor ok quiet practical and easy to use a more than satisfactory purchase,0.00800000037997961,0.054999999701976776,0.9369999766349792
i am pleasantly surprised with this air purifier it has 3 modes night automatic or hard at me by default on automatic its next to my bed so i can breathe the delicious cool fresh air no longer stuffy and windows can close at night its very different from a fan that does make some noise and doesnt clean the air im happy about it,0.007000000216066837,0.05700000002980232,0.9359999895095825
i am satisfied with it and the effect with regard to indoor air is clearly noticeable,0.006000000052154064,0.061000000685453415,0.9330000281333923
it works daily and i really have a feeling of difference from the air at home for smokers it is ideal for removing some tobacco odors,0.00800000037997961,0.06300000101327896,0.9290000200271606
great device i have a house dust allergy and this device helps a lot even though i have visitors and have these allergies many notice the difference,0.013000000268220901,0.06400000303983688,0.9229999780654907
its looks smooth and better than other air purifier its easy to use and to change the filter it gets rid of most of the dust and pollen,0.017000000923871994,0.06499999761581421,0.9179999828338623
excellent value for money,0.014000000432133675,0.0689999982714653,0.9169999957084656
easy to operate and clean the highest level makes normalsized rooms nice and fresh in a short period of time the smallest level barely audible automatic mode great,0.012000000104308128,0.07199999690055847,0.9160000085830688
i think this air purifier has improved my allergy a bit,0.006000000052154064,0.07900000363588333,0.9150000214576721
good and quiet device quick delivery,0.013000000268220901,0.07400000095367432,0.9129999876022339
i use it in my work room and it always remains on in automatic mode high light i must say that it does its duty and i notice it from the lower amount of dust present on the surfaces of the furniture very quiet and easy to use it has a power button and a button for the 3 operating modes i recommend it,0.00800000037997961,0.08299999684095383,0.9089999794960022
find him super clean the air so quickly simply worth the money,0.012000000104308128,0.0820000022649765,0.906000018119812
in night mode the air purifier is very quiet you dont actually hear him at all a great product it was quick to set up and operation is also super easy,0.017000000923871994,0.0860000029206276,0.8980000019073486
it has no extra features such as connectivity via the app but it does its job works well and is very simple to use,0.008999999612569809,0.10000000149011612,0.890999972820282
