,neg,neu,pos
very happy with the disk performs excellently,0.003000000026077032,0.008999999612569809,0.9879999756813049
great product very happy with it good price put it on my first pc build in 15 years very easy to install,0.004000000189989805,0.00800000037997961,0.9879999756813049
it arrived on time it was well packaged and it works blindly fast very happy with this product definitely will buy this again,0.003000000026077032,0.009999999776482582,0.9869999885559082
been using wd products long time and very happy with it easy to install works fast will definitely buy another one in near future,0.0020000000949949026,0.013000000268220901,0.9850000143051147
got this for a game drive for my laptop is super fast easy to install and arrived sameday couldnt be happier,0.0020000000949949026,0.014000000432133675,0.984000027179718
brilliant value and great on macbook pro,0.003000000026077032,0.013000000268220901,0.984000027179718
great m2 ssd easy to install and once setup runs super fast,0.004000000189989805,0.013000000268220901,0.984000027179718
excellent i noticed that this ssd is faster than the smaller stock drive that came with my laptop quick delivery would recommend,0.003000000026077032,0.013000000268220901,0.984000027179718
perfect for my gaming pc build great price and blazing fast big recommendation,0.003000000026077032,0.013000000268220901,0.9829999804496765
excellent drive runs really fast,0.004000000189989805,0.014000000432133675,0.9829999804496765
this came quickly and was easy to install it provides great readwrite speed similar to whats advertised i would say and so im glad i got this high performance version of the wd blue drive,0.003000000026077032,0.014999999664723873,0.9819999933242798
great product easy to install and performance is great,0.006000000052154064,0.012000000104308128,0.9819999933242798
6 months in it is amazing does the job no problems whatsoever definitely recommended,0.006000000052154064,0.013000000268220901,0.9810000061988831
really impressed with this added another level of oomph to my machine faster than the standard msata ssd it shares the machine with,0.003000000026077032,0.014999999664723873,0.9810000061988831
this has been a real upgrade for my laptop which came with a 256gb ssd easy to fit and so far flawless in use and the speed of opening programs and copying files is excellent,0.004000000189989805,0.014999999664723873,0.9810000061988831
son needed this and hes very happy with it great service,0.004999999888241291,0.014000000432133675,0.9810000061988831
wow fast i love it never going back,0.00800000037997961,0.012000000104308128,0.9800000190734863
high performance ssd would recommend works great,0.004000000189989805,0.014999999664723873,0.9800000190734863
this is very quick and it boots my os up in about 3 seconds flat so i feel happy,0.004999999888241291,0.01600000075995922,0.9789999723434448
works great im sure there are higher specs available but happy with this drive,0.004000000189989805,0.017999999225139618,0.9779999852180481
a really solid nvme drive at a brilliant price bought this because i previously had a 256gb nvme for windows and it soon filled up with other software too this is perfect for what i need and so far is working perfectly the price is also amazing for 1tb of storage so this is really impressive definitely recommend,0.004999999888241291,0.017000000923871994,0.9779999852180481
smart fast and good looking easy install best kit ive bought in a while,0.004000000189989805,0.017999999225139618,0.9779999852180481
if you are buying this for your macbook air remember to buy adapter to connect i knew this and im extremely happy with my item that was not over priced like many its fast and smooth im extremely happy with this item,0.003000000026077032,0.019999999552965164,0.9769999980926514
surprisingly fast massive performance upgrade cant actually believe it,0.004999999888241291,0.017999999225139618,0.9769999980926514
nice work in my macbook air,0.003000000026077032,0.019999999552965164,0.9769999980926514
thank you very much excellent work,0.00800000037997961,0.014999999664723873,0.9769999980926514
excellent nvme i use it as a boot device and to store my favourite games on works perfectly well worthe the money,0.003000000026077032,0.01899999938905239,0.9769999980926514
this is perfect and soo far so good did not get any problem with it,0.007000000216066837,0.01600000075995922,0.9769999980926514
love itreasonable price for the product,0.006000000052154064,0.01899999938905239,0.9760000109672546
arrived promptly well packaged very easy to install equally easy to setup i would highly recommend,0.004000000189989805,0.020999999716877937,0.9760000109672546
great deal at £83 cant complain as it solves storage problem can certify its compatible with macbook air 72,0.003000000026077032,0.02199999988079071,0.9750000238418579
replaced my slower crucial drive with this installed linux mint 20 now i have a super fast laptop with the best free operating system in my opinion all linux oses are great you cant go wrong,0.004999999888241291,0.019999999552965164,0.9750000238418579
great value for money m2 drive good speed of 2400mb on my machine great build quality,0.004000000189989805,0.020999999716877937,0.9750000238418579
the read and write speeds are great,0.004000000189989805,0.020999999716877937,0.9750000238418579
fantastic value and realy speedy would recommend 100,0.009999999776482582,0.01600000075995922,0.9739999771118164
its good so far,0.003000000026077032,0.023000000044703484,0.9739999771118164
great product well worth the money,0.007000000216066837,0.01899999938905239,0.9739999771118164
very easy to install and it does its job really well,0.006000000052154064,0.020999999716877937,0.9729999899864197
great little m2 fast af,0.007000000216066837,0.020999999716877937,0.9729999899864197
an unbelievable improvement over my old hdd breathed new life into my 6 year old gaming pc,0.003000000026077032,0.024000000208616257,0.9729999899864197
very good value for money cant go wrong with it,0.007000000216066837,0.020999999716877937,0.972000002861023
two months in and its working great pc is nice and quick no errors so far and good value for money,0.004999999888241291,0.023000000044703484,0.972000002861023
this is my second wd blue nvme they are pretty good great balance between price and performance my goto drive now,0.003000000026077032,0.026000000536441803,0.9710000157356262
read write speed essentially as advertised all around very happy ,0.004000000189989805,0.026000000536441803,0.9700000286102295
recently installed this on a new pc build easy to install high capacity and high performance also great value for money compared to other nvme ssds,0.003000000026077032,0.027000000700354576,0.968999981880188
this installed in seconds worked immediately i did a clean install of windows dumped all my documents etc on a second standard drive from backup the whole thing is whizzing along i am seriously impressed,0.006000000052154064,0.024000000208616257,0.968999981880188
amazing price since it gives you 1tb for less that 100 pounds also the reading and writing speeds on this ssd are above average,0.006000000052154064,0.026000000536441803,0.968999981880188
boughtva caddy for this boy works great,0.004999999888241291,0.02800000086426735,0.9670000076293945
put simply this gave me a significant boost in drive space for my optiplex 7060 its fast cheap for these days and extremely easy to install,0.004000000189989805,0.029999999329447746,0.9670000076293945
"this thing has breathed new life into my pc reinstalled my os on this and with quickboot my pc now boots faster than my monitor can turn on from power button to desktop in less than 10s

its easy to install i think it took me about 2 minutes to install just because of the m2 heat sink on the motherboard",0.004000000189989805,0.028999999165534973,0.9670000076293945
this m2 drive has a great capacity and was a breeze to install the rated 1tb capacity is on par with other drives in its class the speed is again on par with drives in the same class,0.004000000189989805,0.028999999165534973,0.9670000076293945
this item is a excellent buy excellent quality easy to install no negative remarks excellent brand,0.00800000037997961,0.026000000536441803,0.9660000205039978
great ssd for my first pc build benchmark tests confirm its stated readwrite speed windows loads in under 10 seconds i think my record has been just under 4 seconds once,0.003000000026077032,0.03099999949336052,0.9660000205039978
great ssd a lot cheaper than most out there with fast speeds and very easy installation,0.006000000052154064,0.028999999165534973,0.9649999737739563
so glad i bought this w0 loads so fast as do the programs and games,0.006000000052154064,0.029999999329447746,0.9639999866485596
very fast ssd definitely worth the money,0.003000000026077032,0.03400000184774399,0.9629999995231628
great value for money easy to install fast to operate will buy another for my second slot when ready to upgrade again,0.004000000189989805,0.03500000014901161,0.9610000252723694
"easy to install make sure you follow the instructions to format and install macos
stuck this in an a1465 macbook air and runs big sur soooo fast
very happy",0.004000000189989805,0.03500000014901161,0.9610000252723694
great item plug and play,0.006000000052154064,0.032999999821186066,0.9599999785423279
works perfectly installed in my gaming pc and it works a treat,0.003000000026077032,0.03700000047683716,0.9599999785423279
its very fast in my system i didnt use it for too long but so far everything is great,0.006000000052154064,0.03400000184774399,0.9599999785423279
great price for a 1 tb nvme m 2 ssd drive from a very reputable brand who have been in the hard drive business for decades great,0.004000000189989805,0.03700000047683716,0.9589999914169312
i installed this as my main drive in a new audio production occasional gaming pc build and im pleased to say it is performing perfectly my pc is super quick and very quiet some reviewers have reported a high pitched whine sound from this drive but im having no such problems so im happy,0.007000000216066837,0.03500000014901161,0.9580000042915344
"one of the best value nvme drives on the market until recently when the wd blue sn570 was released

for gaming especially as a secondary drive this is the best value for money you can buy",0.007000000216066837,0.035999998450279236,0.9570000171661377
wd top brand easy to install and very fast speeds,0.004999999888241291,0.03700000047683716,0.9570000171661377
got it installed within 2 mins windows installed bang on for the bucks,0.004000000189989805,0.03999999910593033,0.9559999704360962
"super fast drive with huge capicity i love it
note for linux users once physically installed and partitionedsetup you may need to change permissions to actually get it working rwx",0.004999999888241291,0.03999999910593033,0.9549999833106995
good value for money bought it on sale it works it is reliable and easy to install being m2 also it is fast enough to play games on very well no loading issues,0.004999999888241291,0.03999999910593033,0.9549999833106995
excellent product,0.007000000216066837,0.03700000047683716,0.9549999833106995
games run incredibly fast loading screens are less of a hassle compared to my other drives great buy would recommend,0.007000000216066837,0.03999999910593033,0.953000009059906
"i put this ssd in my legion 5i works perfectly and is very fast
would recommend this at this price point",0.004999999888241291,0.0430000014603138,0.9520000219345093
