,neg,neu,pos
cant get any better than this with the price win win such a good upgrade to my pc,0.003000000026077032,0.008999999612569809,0.9879999756813049
it is the best ssd i have had so far and a great product for its price it is very fast as was reported by several independent benchmarks,0.004000000189989805,0.009999999776482582,0.9860000014305115
this m2 ssd is 1000 worth it for ps5 or pc storage it is simple to follow and install and has amazing read and write speeds would definitely recommend this awesome product,0.003000000026077032,0.012000000104308128,0.9850000143051147
fantastic choice of m2 ssd for the playstation 5,0.0020000000949949026,0.014999999664723873,0.9829999804496765
"couldnt be happier with the product
the speed is blazing fast as ive tested with some read write tests getting over 7000mbs reads
and it reflects in how quickly i can boot into windows",0.004000000189989805,0.013000000268220901,0.9829999804496765
easy install nearly 6000 read speed more than recommended from sony im happy ,0.003000000026077032,0.014000000432133675,0.9829999804496765
"this item its great
happy to have it",0.004000000189989805,0.014000000432133675,0.9819999933242798
works brilliant and easy to install on ps5,0.003000000026077032,0.014999999664723873,0.9819999933242798
this is a must have item for the ps5 money well spent and no regrets and easy to install,0.004000000189989805,0.014999999664723873,0.9810000061988831
wow this is so fast and highly recomend this works great on my ps5 and so easy to do and im not good at this sort of thing this is a must have,0.008999999612569809,0.010999999940395355,0.9800000190734863
easy to install great speed and faultless use great add on for your ps5 thoroughly recommended,0.004000000189989805,0.017000000923871994,0.9800000190734863
"bought the 1tb sn850 gen 4 version and couldnt be more pleased ive owned sabrant and samsung drives in the past and this is in my experience the best value for money in the higher end segment
extremely fast and no issues so far

highly recommended",0.004000000189989805,0.01600000075995922,0.9789999723434448
this has been fitted in my ps5 now for nearly a year and has not missed a beat its the default drive and amazing,0.004999999888241291,0.017000000923871994,0.9779999852180481
great price easy to install runs really well,0.004999999888241291,0.017000000923871994,0.9779999852180481
fantastic item at a great offer price,0.007000000216066837,0.014999999664723873,0.9779999852180481
bought for £119 on black friday deal absolutely brilliant fit for ps5,0.003000000026077032,0.01899999938905239,0.9769999980926514
great drive really fast ps5 measures at 6700mbs and it works with the ps5 beta 20 firmware,0.003000000026077032,0.019999999552965164,0.9769999980926514
installed this drive on my gaming laptop to install and run my games the drive is very fast and games load quickly and run smoothly and can highly recommend this game nvme wdblack 850 drive,0.0020000000949949026,0.02199999988079071,0.9760000109672546
great ssd for use with ps5 works exactly as expected perfect fit when used with sabrent ps5 ssd heatsinkcover,0.0020000000949949026,0.02199999988079071,0.9750000238418579
bought this for my ps5 couldnt recommend enough thank you,0.004999999888241291,0.01899999938905239,0.9750000238418579
bought this along with a case for the ps5 and it was easy to install and worked right off the bat great addition to the ps5,0.003000000026077032,0.024000000208616257,0.9739999771118164
blazingly fast m2 drive amazing readwrite speeds,0.004000000189989805,0.02199999988079071,0.9739999771118164
and does not disappoint ps5 instantly recognised it and gave blistering readwrite speeds 100 recommend for ps5 shout or from the roof tops,0.004999999888241291,0.02199999988079071,0.9729999899864197
this ssd is one of the fastest on the market in some ways more than the equivalent samsung 980 pro its almost 6785mbs on my ps5 upon first initialisation i used a qivynsry m2 heatsink nvme 2280 ssd heat sink and it runs great highly recommended,0.004000000189989805,0.023000000044703484,0.9729999899864197
great value great for games easy to use software,0.006000000052154064,0.020999999716877937,0.9729999899864197
very fast shipping very good ssd and fast loading ssd,0.004999999888241291,0.026000000536441803,0.9700000286102295
love this ssd with an easy install and the sticker just comes out without any residue when installing it also has got a great read and write speed that varies every now and then but does the job as described,0.007000000216066837,0.023000000044703484,0.9700000286102295
perfect for ps5 if firing to ps5 you will need a heatsink super easy to install would highly recommend,0.003000000026077032,0.027000000700354576,0.9700000286102295
