,neg,neu,pos
overall a great product i would recommend this product,0.004000000189989805,0.012000000104308128,0.984000027179718
this is perfect for my picture taking and i recommend to anyone looking for storage of photos,0.0020000000949949026,0.013000000268220901,0.984000027179718
great memory card good price very pleased thank you,0.004999999888241291,0.012000000104308128,0.9819999933242798
perfect happy with this,0.006000000052154064,0.012000000104308128,0.9819999933242798
excellent picture quality the disc has amazing memory capacity and works like a charm with my computer,0.003000000026077032,0.014999999664723873,0.9819999933242798
ive used quite a number of these and they all perform well and i believe offer excellent value for money recommended,0.003000000026077032,0.01600000075995922,0.9810000061988831
this is a great product and works as advertised,0.004000000189989805,0.014999999664723873,0.9810000061988831
delighted with the item pleasure doing business with,0.003000000026077032,0.017000000923871994,0.9800000190734863
using this to record high quality wav files to my zoom h6 recorder works perfectly and is super fast happy to give five stars and my full recommendation,0.003000000026077032,0.017999999225139618,0.9789999723434448
works awesome with the night vision cameras i brought,0.0020000000949949026,0.017999999225139618,0.9789999723434448
product works great no issues ive bought two of them so far and will likely soon buy some more i use them in a trail camera in my backyard and they work great for moving images onto my computer,0.003000000026077032,0.01899999938905239,0.9789999723434448
its a really great memory card,0.006000000052154064,0.017000000923871994,0.9769999980926514
works really well and very fast uploading files,0.004000000189989805,0.020999999716877937,0.9750000238418579
i love these cards never have any issues,0.00800000037997961,0.017000000923871994,0.9750000238418579
"plenty of staorage fast upload from card to pc
very pleased good value for money",0.004000000189989805,0.02199999988079071,0.9739999771118164
great value very good product fast and works as advertised,0.007000000216066837,0.019999999552965164,0.9739999771118164
very good product already shot thousands of photos and many videos fast card transfer and no issues,0.004999999888241291,0.020999999716877937,0.9739999771118164
worthy product i bought for my canon 200d mark ‼ and its great suppotable,0.003000000026077032,0.023000000044703484,0.9739999771118164
great price and great delivery time,0.006000000052154064,0.019999999552965164,0.9729999899864197
ideal for a camera ive got it for a wildlife camera it will be able to hold a lot of photos and videos which is really ideal,0.003000000026077032,0.02500000037252903,0.972000002861023
a fine storage device for reasonable cost arrived on time a great price and works well with my panasonic camera,0.003000000026077032,0.02500000037252903,0.972000002861023
a very effective and efficient card for backing up my laptop large memory capacity makes its ideal for photos storage is so easy price paid was exceptional,0.004000000189989805,0.02500000037252903,0.9710000157356262
works great easy to format high quality and best value for money,0.007000000216066837,0.02199999988079071,0.9710000157356262
great purchase and great price,0.00800000037997961,0.020999999716877937,0.9710000157356262
i got this sd card as i got a new camera for christmas and this has been working so well for me i can record a ton of footage and take plenty of photos and still have a lot of room left also the price on here is a lot lower than other retailers,0.004000000189989805,0.024000000208616257,0.9710000157356262
just happy of my order,0.004999999888241291,0.026000000536441803,0.9700000286102295
great little sd card perfect for transferring datafiles between computers its not just for cameras,0.003000000026077032,0.027000000700354576,0.9700000286102295
great disk worked well with nikon and sony,0.003000000026077032,0.027000000700354576,0.9700000286102295
loved it lots of memory,0.010999999940395355,0.020999999716877937,0.9679999947547913
works great for picture storage for my camera,0.003000000026077032,0.028999999165534973,0.9679999947547913
good quality and storage is great more than can ask for,0.00800000037997961,0.02500000037252903,0.9670000076293945
ws this helped me so much,0.012000000104308128,0.020999999716877937,0.9670000076293945
exactly what i needed and ordered the storage capacity is wonderful it will hold over 36000 pictures which i might need another one since i ordered it to take pictures of my new grandson l,0.0020000000949949026,0.03200000151991844,0.9660000205039978
"fast delivery product as described
using in a game camera pics video are fabulous",0.004000000189989805,0.03099999949336052,0.9660000205039978
so good for the price and such a huge storage capacity to use,0.00800000037997961,0.029999999329447746,0.9620000123977661
i take a great number of sports photos and nature shots and found the picture quality of the pictures on this disk to be outstanding it is also an economical choice for an amateur photographer,0.004000000189989805,0.03400000184774399,0.9620000123977661
awsome ss card my favorite one,0.004000000189989805,0.03400000184774399,0.9620000123977661
very pleased,0.010999999940395355,0.028999999165534973,0.9610000252723694
it works great in camera,0.004000000189989805,0.03400000184774399,0.9610000252723694
works great,0.008999999612569809,0.03200000151991844,0.9589999914169312
not micro usb like i thought but works with my computer so thats awesome,0.004000000189989805,0.03700000047683716,0.9589999914169312
its the best memory card you can have for the price e valuei rate 5 stars,0.00800000037997961,0.03500000014901161,0.9570000171661377
arrived well packaged by the date would recommend,0.003000000026077032,0.041999999433755875,0.9549999833106995
using it in our wildlife camera and get great pictures and loads of storage,0.003000000026077032,0.0430000014603138,0.9549999833106995
