,neg,neu,pos
i am rooting for silicon valley bank they have been a great partner to startups and have made the ecosystem better in a myriad of ways,0.004000000189989805,0.009999999776482582,0.9869999885559082
everyone ive ever met from silicon valley bank has been dead on super helpful for startups and just generally lovely people so i hope financial uk pull through their current problems ,0.013000000268220901,0.028999999165534973,0.9589999914169312
silicon valley bank has been our partner for the last years their dedication entrepreneurial culture competitive capabilities and creativity is second to none and i hope they get through this ,0.004999999888241291,0.039000000804662704,0.9559999704360962
this morning is an interesting morning to be sharing an office building with silicon valley bank ,0.0010000000474974513,0.04500000178813934,0.9539999961853027
silicon valley bank svb falling fast entrepreneurs love them and are coming out to support there will be an impact on #venturecapital globally including in india stay tight #svb,0.004000000189989805,0.0689999982714653,0.9269999861717224
many people dont realize how instrumental silicon valley bank has been to the growth of iconic tech companies back when they were struggling startups they have also been hugely important financial partners for pretty much every single notable venture fund over the last four,0.014000000432133675,0.11400000005960464,0.871999979019165
silicon valley bank has been a stalwart of the technology ecosystem but also banks half of the us tech industry foolish and wrong to root against them wishing them much success and hoping everybody takes 34 deep breaths,0.041999999433755875,0.13300000131130219,0.824999988079071
whats the best thing youve read on silicon valley bank so far,0.006000000052154064,0.18400000035762787,0.8090000152587891
after yesterdays capital raise silicon valley bank is one of the safest banks in the country banks take deposits and invest them in either loans or securities the bank had a portfolio of 21 billion in securities classified as available for sale,0.004999999888241291,0.2529999911785126,0.7429999709129333
#cryptonews someone made 617184 with only 96 on silicon valley bank options the lucky person was able to earn 642900 of the income by buying options on the right to sell the stock at a specified price,0.006000000052154064,0.2590000033378601,0.7350000143051147
 i am a very smart vc i know about the monies and how to make them people come from all over the world for my sound financial advice ask me anything lunaterra hodl ftx hodl silicon valley bank save yo self bank run now tether hodl,0.01600000075995922,0.25699999928474426,0.7269999980926514
we just had three silicon valley bank clients across vc and founders react to the news on air and wow,0.006000000052154064,0.30399999022483826,0.6899999976158142
realised silicon valley bank is super popular among usfocussed indian startups looks like almost everyone banks with them,0.01600000075995922,0.3199999928474426,0.6650000214576721
we might see the biggest bank run in history shortly silicon valley bank,0.017999999225139618,0.3190000057220459,0.6620000004768372
woke up this morning to hundreds of messages on all the fintech founder whatsapp groups im on playing out the run on silicon valley bank in real time that was surreal,0.014000000432133675,0.328000009059906,0.6570000052452087
title silicon valley bank rocks crypto and equity markets ahead of nonfarm payrolls release,0.006000000052154064,0.3580000102519989,0.6370000243186951
lord give me the confidence of the investor who owns both silicon valley bank and silvergate bank,0.032999999821186066,0.35100001096725464,0.6159999966621399
silicon valley bank rocks crypto and equity markets ahead of nonfarm payrolls,0.007000000216066837,0.38600000739097595,0.6069999933242798
this little startup founder who got lazy with all the due diligence silicon valley bank wanted around a crypto startup and just left the corporate accounts with and is feeling pretty good right now,0.12099999934434891,0.3199999928474426,0.5580000281333923
dont worry guys silicon valley bank is still solvent in the metaverse,0.019999999552965164,0.4410000145435333,0.5389999747276306
i wonder whats going on with silvergate bank and silicon valley bank the conventional wisdom is that bank balance sheets are solid now and stress testing has been effective so interesting to see these big shocks,0.014000000432133675,0.44999998807907104,0.5360000133514404
#svb silicon valley bank crisis could well be a shot in the arm for some good fintech #startup to scale so far by is helping a lot of folks struggling with svb crisis give a shout out reach out in case you are struggling here ,0.06700000166893005,0.41100001335144043,0.5220000147819519
important announcement for the remaining week im taking a break from being an expert on everything else on twitter to be an expert on silicon valley bank thanks,0.024000000208616257,0.46299999952316284,0.5130000114440918
flipboard has been a long time client of silicon valley bank and were sticking by them,0.013000000268220901,0.47600001096725464,0.5109999775886536
cant wait for my feed to be flooded with silicon valley bank risk management department 2023 shirt promotions,0.0729999989271164,0.4169999957084656,0.5099999904632568
dogecoin has a bigger market capitalization than silicon valley bank let that sink in #sivb,0.03099999949336052,0.460999995470047,0.5080000162124634
i am really hoping silicon valley bank pulls through this crisis they have been a great partner to the tech ecosystem in 100 different ways its actually a sad day for tech,0.29499998688697815,0.20800000429153442,0.4970000088214874
alchemy pay has no exposure to silicon valley bank and silvergate nor do we have any funds deposited in these institutions our partnered banks are in full compliance with all regulations we maintain a positive outlook on the future of a safer crypto world #alchemypay,0.019999999552965164,0.49799999594688416,0.4819999933242798
thinking of all the sunday newspaper business journalists trying to figure out if they need a feature on silicon valley bank for the weekend for what its worth id definitely read one #svb,0.023000000044703484,0.5040000081062317,0.4740000069141388
silicon valley bank crashing san francisco dead california pizza kitchen alive thriving there is still hope for the state of california ,0.09700000286102295,0.4869999885559082,0.41600000858306885
i know more than a few nasdaq companies with credit lines at silicon valley bank pray for them yall ,0.05900000035762787,0.5320000052452087,0.4090000092983246
top 2 benefits of locating your startup in 1 you cant bank with silicon valley bank 2 you cant bank with silvergate,0.12099999934434891,0.4860000014305115,0.3930000066757202
whats happening with svb silicon valley bank is either the tip of the iceberg this recession has been waiting for or really no big deal and a great stock buying opportunity dont ask me which though ,0.2590000033378601,0.37599998712539673,0.36399999260902405
im devastated silicon valley bank was my favorite bank in the whole world my home away from home,0.4440000057220459,0.2029999941587448,0.3529999852180481
you cant underestimate the importance of silicon valley bank to the world economy did you know they had a vault 14 stories under palo alto that held 40 of the worlds silicon reserves all gone now stolen by the east germans,0.10499999672174454,0.5440000295639038,0.35100001096725464
pabrai on svb financial and you know silicon valley bank is an interesting bank i think theyre still around i dont know someone bought them or not but theyre basically headquarter in silicon valley and they are pretty well run bank theyre in deep trouble now right,0.1850000023841858,0.4869999885559082,0.3269999921321869
gm investors traders money makers its payroll day at 830am a bunch of payroll data will be announced silicon valley bank drops over 45 over 70 billion was wiped off the crypto market as bitcoin tumbled its friday lets get it ,0.07199999690055847,0.6399999856948853,0.289000004529953
 silicon valley bank down thats huge thanks for putting that up on your locals,0.4050000011920929,0.3319999873638153,0.2630000114440918
elon please buy silicon valley bank ,0.04100000113248825,0.7009999752044678,0.25699999928474426
silicon valley bank credit suisse on the verge of bankruptcy fortunately were saved as this is a regulated market ,0.18700000643730164,0.5740000009536743,0.23899999260902405
any good alternatives to silicon valley bank im looking for the api connections and automation capabilities of svb #startups #banks #netsuite #automation,0.019999999552965164,0.7429999709129333,0.2370000034570694
breaking mr beast provides emergency liquidity facility to silicon valley bank,0.009999999776482582,0.7549999952316284,0.23399999737739563
silicon valley bank is the gold standard for banking and theyve been vc and startup company friendly for decades im skeptical about this bear run on them dunno,0.1720000058412552,0.6029999852180481,0.22499999403953552
when i was working in saas silicon valley bank was both a customer of ours and we were a customer of theirs in other words a partner they provided us with credit facilities we didnt need to draw on them in rich times and we sold them customer service software,0.03700000047683716,0.7400000095367432,0.22200000286102295
one thing i have not heard mentioned about silicon valley bank #svb is that they are a big player in the commercial real estate space specifically a niche product called a subscription line which is used by real estate private equity to fund acquisitions quickly,0.026000000536441803,0.7559999823570251,0.21799999475479126
for your kind information svb is silicon valley bank and not shamrao vithal bank and thankfully its not listed nahi to aaj pata nahi kya ho jaata ,0.09700000286102295,0.6909999847412109,0.210999995470047
silicon valley banks ceo we have ample liquidity to support our clients with one exceptionif everybody is telling each other that svb is in trouble that will be a challenge what an own goal in my prev startup we had funds in svb i dealt with svb folks shocking,0.22499999403953552,0.5640000104904175,0.20999999344348907
silicon valley bank is the 15thlargest bank in the united states in terms of assets hold 173 billion in deposits thats even bigger than largest bank in india stock is down 60 overnight is this lehman crisis for the startup world,0.2619999945163727,0.5289999842643738,0.20800000429153442
youre laughing silicon valley bank is nuking youre laughing,0.40700000524520874,0.3889999985694885,0.20399999618530273
peter thiels founders fund advises companies to withdraw money from silicon valley bank bloomberg sivb 604 today and another 17 after hours 169b in deposits we got ourselves a bank run,0.04100000113248825,0.7599999904632568,0.20000000298023224
just set up my accounts at silicon valley bank time for a sip of coffee and to open up twitter,0.012000000104308128,0.7900000214576721,0.19900000095367432
silicon valley bank should announce a chatgpt integration,0.03099999949336052,0.7730000019073486,0.19499999284744263
i just called a vc to ask how he was advising his portfolio companies to deal with the silicon valley bank fallout youre going to have to make this quick he said im on the gondola in aspen and were almost to the top,0.07900000363588333,0.7300000190734863,0.19099999964237213
silicon valley bank what has happened in the last 24 hours a perspective from silicon valley please retweet if you find it useful 1x chartlife ,0.006000000052154064,0.8040000200271606,0.1899999976158142
i remember getting into tech and learning about silicon valley bank and thinking oh thats cute we have our own little tech bank and not really considering the horrible risks involved in that,0.46000000834465027,0.3630000054836273,0.1770000010728836
bank stocks today silicon valley bank 60 silvergate 42 jp morgan 54 bank of america 62 wells fargo 61 welcome back to 2008,0.07100000232458115,0.7670000195503235,0.16200000047683716
how time flies eevergrande to #creditsuisse to hindenburg vs adani to silicon valley bank interesting is people easily forget the previous issue while writing thread on current ones ,0.057999998331069946,0.7829999923706055,0.1589999943971634
1 the first time i read about silicon valley bank svb was through the uspto patent assignment data because svb is a major lender to startups especially vcbacked startups they often obtain senior priority security interests in the startups patents to secure the debt,0.01899999938905239,0.8320000171661377,0.14900000393390656
i was in the techstartup world for 15 years i have never heard of silicon valley bank till now actually in my life i have made a list of 200 startups that are going to get impacted most due to svb financial struggle want access hit like and comment svb must follow ,0.24500000476837158,0.6069999933242798,0.14800000190734863
looks like yesterdays dont forget to take some profit tweet was on point its doom scrolling how fast silicon valley bank shot themselves in the foot,0.5019999742507935,0.3540000021457672,0.14399999380111694
