,neg,neu,pos
my man i can see youve got the blue tick when will this twitter blue come to nigeria give him a follow guys great punter ,0.004000000189989805,0.039000000804662704,0.9570000171661377
if you havent bought twitter blue yet just know im proud of you and you are loved,0.00800000037997961,0.04800000041723251,0.9440000057220459
congrats on being 64 she let me hit cause i got twitter blue,0.004000000189989805,0.05400000140070915,0.9419999718666077
twitter blue wooooo ,0.003000000026077032,0.07000000029802322,0.9279999732971191
twitter blue is really a great deal tbh for 8 you can make an insulin company lose 20 billion dollars market cap in a day pretty much the most valuable subscription in the history of the internet,0.01899999938905239,0.05900000035762787,0.921999990940094
developing elon musk has successfully turned around twitters finances with 40 windfall from twitter blue revenue,0.004999999888241291,0.10599999874830246,0.8889999985694885
subscribing to your favorite twitch streamers is better than twitter blue,0.00800000037997961,0.12399999797344208,0.8679999709129333
so it seems like the twitter blue verified plan is working swimmingly,0.003000000026077032,0.1289999932050705,0.8669999837875366
i think the biggest reason why a lot of people myself included got the twitter blue thing is because its a fun toy are there issues yes but its definitely a fun toy a toy youll eventually get bored with also yes the verification badge is a faux one,0.020999999716877937,0.11699999868869781,0.8619999885559082
thanks twitter blue for giving me a modern reference to replace crystal pepsi,0.014999999664723873,0.18799999356269836,0.796999990940094
we believe an evolution of elons twitter blue plans are gif pfps we intend to be the blue chip fully animated 4k resolute nft project we will create nfts that move shapeshift live breathedie,0.004999999888241291,0.2370000034570694,0.7580000162124634
commissioning your favorite artist is better than twitter blue,0.01899999938905239,0.23800000548362732,0.7419999837875366
twitter blue should be free for everyone who joined twitter pre2010 reward the longtimers who made twitter what it is today #twitter #twitterblue,0.014999999664723873,0.25200000405311584,0.7329999804496765
i woke up verified lets do giveaway imagine not having to create a giveaway tweet over twitter blue elon cruise thank you o,0.014000000432133675,0.25999999046325684,0.7260000109672546
only good thing about twitter blue is being able to post long vids thats about it,0.04500000178813934,0.23199999332427979,0.7229999899864197
helloo twitter blue,0.009999999776482582,0.2800000011920929,0.7099999785423279
everything about this twitter blue is so funny from the memes to the people regretting buying it,0.12200000137090683,0.1850000023841858,0.6930000185966492
the twitter blue verification subscribers have been so entertaining today its like the insane are in charge of the asylum now,0.07599999755620956,0.2329999953508377,0.6919999718666077
let keep the same energy for next month twitter blue guys ,0.014999999664723873,0.29600000381469727,0.6880000233650208
just bought twitter blue im now certified ,0.007000000216066837,0.3059999942779541,0.6869999766349792
im gonna join twitter blue so i can get a blue check mark hang with the cool kids ,0.010999999940395355,0.3059999942779541,0.6830000281333923
ima be real i bought twitter blue before it came w the check mark im outside w my timbs on ready to fight bout it cause it was worth it,0.06300000101327896,0.2980000078678131,0.6389999985694885
artistsinfluencersetc without twitter blue promote yourself under this tweet so i can retweet your stuff to help boost it i wanna help you in anyway i can 3,0.012000000104308128,0.3569999933242798,0.6309999823570251
my fellow twitter blue users hows it going so far do you find twitter blue worth the 8,0.012000000104308128,0.3610000014305115,0.6269999742507935
alright everyone its official mira has a new main account 2mirror please head on over there if youd like to continue seeing my content and supporting me this account will mainly be for retweets at the moment and ps no twitter blue means no search entry,0.009999999776482582,0.38199999928474426,0.6069999933242798
if musk gets his shit together and the platform looks like it will survive i have no real issue paying for twitter blue one the edit feature would be nice two believe it or not i really do like this hellsite and want it to stay i dont care about the check mark though,0.1599999964237213,0.29499998688697815,0.5450000166893005
the first ever movie fan page to get twitter blue verified #varisu,0.006000000052154064,0.4620000123977661,0.531000018119812
if i decide to get twitter blue it 100 wont be to get the check mark be verified it would be because of all the other potential benefits that i want to try out and see if they work well,0.04800000041723251,0.4860000014305115,0.4659999907016754
twitter blue has been disabled in the us i repeat twitter blue has been disabled in the us good job on the successful launch everyone,0.25,0.33500000834465027,0.41499999165534973
the blue tick is utterly meaningless now so many bought ticks but there was a bit of snobbery attached to the blue tick so if thats eliminated then thats a good thing im testing out the twitter blue feature for a month the features are actually pretty good,0.2669999897480011,0.3240000009536743,0.4090000092983246
8 to be twitter blue verified 44 billion to be twitter ceo,0.008999999612569809,0.5989999771118164,0.3919999897480011
its twitter blue not twitter red this is why chelsea is bigger than manchester united,0.07100000232458115,0.5370000004768372,0.39100000262260437
people spending 8 for twitter blue to impersonate companies and crash their stock is the most positive impact twitter has ever made on the world,0.2709999978542328,0.36399999260902405,0.36500000953674316
elon believes the quickest way to design a reliable rocket is to launch rockets over and over and as they crash collect data on the crashes implement changes based on the data and then launch more rockets thats all that has happened with twitter blue this is his process,0.04800000041723251,0.6000000238418579,0.3529999852180481
if with the way lot of people are going crazy about blue ticks from twitter blue youre not even bothered it has not crossed your mind to get a blue tick trust me no peer pressure in this world can make you fall you have mastered a high level of self control congratulations,0.22300000488758087,0.4399999976158142,0.3370000123977661
been using this twitter blue for almost a year and i dont think the verification mark is important the features in it are really cool and i wish it was just left at that,0.3230000138282776,0.3400000035762787,0.3370000123977661
wait no elon bring back twitter blue i thought of something really funny for queen elizabeth to say,0.12300000339746475,0.5519999861717224,0.32499998807907104
the only good thing about twitter blue is people taking the absolute piss out of twitter blue,0.4129999876022339,0.2709999978542328,0.3160000145435333
my twitter blue experience ive been an official check mark for years because ive been a radio host and battle the right on tv plus mentions in major newspapers i signed up for twitter blue to test out the edit and their promise of bumping me up on peoples feeds 1,0.008999999612569809,0.6769999861717224,0.3140000104904175
how you guys liking twitter blue so far ,0.012000000104308128,0.675000011920929,0.31299999356269836
if twitter is able to sign up ten million subscribers to twitter blue that will generate enough revenue to cover the new annual debt service charges created by the leveraged buy out,0.04600000008940697,0.6470000147819519,0.30799999833106995
