,neg,neu,pos
a present for my boyfriend and he loves it,0.003000000026077032,0.010999999940395355,0.9860000014305115
great quality keyboard i use this for daytrading but im sure itll be awesome for gaming also,0.003000000026077032,0.012000000104308128,0.9850000143051147
bought this keybaord for my gaming pc it looks great on it the keys feel premium and comfy definitely recommended,0.003000000026077032,0.013000000268220901,0.984000027179718
the buttons are the best for gaming and the lights are an extra bonus,0.004000000189989805,0.01600000075995922,0.9800000190734863
easy to use lights are attractive great gaming keyboard would highly recommend,0.003000000026077032,0.017000000923871994,0.9789999723434448
amazing high quality keyboard synced well with my other corsair periferals on icue,0.003000000026077032,0.01899999938905239,0.9779999852180481
this keyboard is awesome,0.006000000052154064,0.01600000075995922,0.9779999852180481
awesome keyboard easy to setup and customisable,0.006000000052154064,0.017000000923871994,0.9769999980926514
comfortable and responsive i love using this keyboard the lighting is programmable and not distracted the right level of brightness,0.004999999888241291,0.017999999225139618,0.9769999980926514
fantastic keyboard great value,0.00800000037997961,0.014999999664723873,0.9769999980926514
this keyboard feels very nice to use it is also fairly cheap compared to other mechanical keyboards like razer,0.004000000189989805,0.01899999938905239,0.9760000109672546
good feeling key feedback well lit and lots of customisation,0.006000000052154064,0.01899999938905239,0.9750000238418579
amazing keyboard for the price £94,0.004999999888241291,0.019999999552965164,0.9750000238418579
daughter was is over the moon top bit of kit,0.004999999888241291,0.020999999716877937,0.9739999771118164
nice heavy keyboard great switches good lighting control and colour depth great keyboard for the price would recommend to anyone,0.004999999888241291,0.019999999552965164,0.9739999771118164
well worth the price 3 lovely keyboard,0.006000000052154064,0.024000000208616257,0.9700000286102295
this is a very feature rich keyboard and the fact that its spill resistant is a major plus for my complete clumsiness i love the way the colours change when you go into certain games and the configuration options are brilliant the feel of typing is exactly what i want from a mechanical keyboard,0.008999999612569809,0.023000000044703484,0.9670000076293945
very nice keyboard enjoyable to type and game with and not too loud,0.006000000052154064,0.02800000086426735,0.9660000205039978
the keys feel great and the customisation on the backlight really makes it feel like your own keyboard,0.004999999888241291,0.029999999329447746,0.9649999737739563
very pretty got on a black friday deal but worth every penny,0.00800000037997961,0.02800000086426735,0.9649999737739563
fantastic keyboardif you dont want that clicky soundbut with the qualitywell this keyboard as iti would most certainly recommend,0.00800000037997961,0.032999999821186066,0.9589999914169312
great mechanical gaming keyboard,0.006000000052154064,0.04100000113248825,0.953000009059906
im getting into pc gaming and i got this before i got a pc yet i found out i can use the keyboard on my xbox well not for games but for other things and although i havent had a proper experience reviewing this keyboard im in love ,0.004000000189989805,0.04399999976158142,0.9520000219345093
great keyboard with loads of customisations from lights and keys to media,0.006000000052154064,0.04399999976158142,0.949999988079071
very good product,0.010999999940395355,0.04600000008940697,0.9430000185966492
really nice keyboard,0.010999999940395355,0.04699999839067459,0.9419999718666077
"i used the k68 for gaming for over a year now and 0 problems great keyboard but if you do have a smaller desk and not a lot of space i would recommend a tkl ten key less or a 60 keyboard
overall a great keyboard",0.008999999612569809,0.05299999937415123,0.9390000104904175
there is nothing bad to say about this keyboard my fav feature is the added plastic protection around the keys its saved me from a few disasters and this keyboard has defo improved my gaming performance compared to a normal keyboard,0.019999999552965164,0.04600000008940697,0.9340000152587891
good clicky switches easy to use program full rgb recommend for gaming and typing water resistant and comfortable pc master race for life,0.006000000052154064,0.0689999982714653,0.925000011920929
"loving my new corsair keyboard
mechanical keys are effortless to type took a while to get used to as i havent had a mechanical keyboard for such a long time
the rgb lighting is good enough for me and goes well with the rest of my set up",0.014999999664723873,0.08100000023841858,0.9039999842643738
this is my first mechanical keyboard and honestly it has almost zero benefit when it comes to gaming but the typing experience is noticeably better over a standard keyboard,0.028999999165534973,0.12399999797344208,0.847000002861023
"i like this keyboard and it only has 1 issue the control keycap broke after a few months of usage
its also different from the keyboard shown in the picture it has a large enter button rather than a small one",0.04500000178813934,0.1809999942779541,0.7739999890327454
as a typist i go through keyboards like chocolate and the letters disappear to my hubbys despair this is much better than the cheapie keyboards ive used previously and as the keys are back lit and not transfers which wear off in fact hubbys jealous as better than his old model corsair,0.09099999815225601,0.2409999966621399,0.6679999828338623
a must have for clumsy ragers like me can survive any spill and still has rgb only one i could find,0.07000000029802322,0.3089999854564667,0.621999979019165
this keyboard is really fantastic however by default if it is plugged into something powered the lights turn on and fluctuate even upon changing the hardware settings in the icue software it still does this so you cant keep this keyboard anywhere except an office,0.14499999582767487,0.2669999897480011,0.5879999995231628
"nice deign nice rgb good feel

the buttons pop out extremely easily every time a friend uses it he pops out some keys every time i play some game i pop out some keys i understand these keys are meant to be removable but please excuse the hyperbole if you blow on this keyboard the keys will fly

d",0.026000000536441803,0.40299999713897705,0.5709999799728394
ok,0.10899999737739563,0.5059999823570251,0.38499999046325684
good product takes a bit to get used to the shift preference key being the opposite way round ie the symbol is below the 4 on the key but its not a major problem and i am used to it now,0.1589999943971634,0.5099999904632568,0.33000001311302185
this is the second corsair keyboard i am now using mainly for gaming its quite fast fast so i can see why some wouldnt like it as a wordsomething board as it picks up any slight bad keying for me its doing the job i asked of it replacing techniks boards which was wearing out recommended,0.19900000095367432,0.531000018119812,0.2709999978542328
bonne finition et correct au toucher bon design merci,0.09700000286102295,0.8029999732971191,0.10000000149011612
super clavier les touches sont demontable pour changer de place notamment pour azerty en qwerty,0.04399999976158142,0.8960000276565552,0.061000000685453415
bought as a present so dont know how it performs,0.5569999814033508,0.4189999997615814,0.024000000208616257
the sound increase button work as remove sound clearly a fault buttons a too high for gaming so it is not a gaming keyboard,0.7129999995231628,0.2639999985694885,0.023000000044703484
"didnt even get to try the product as it arrived damaged opened the keyboard box and could straight away see keys have been dislodged and were moving freely inside possibly damaged in transit but still screams cheap to me as never had any issues like this with numerous keyboards before
avoid",0.8650000095367432,0.12300000339746475,0.010999999940395355
"edit seen on a long time it annoys me already extremely that you dont get the layout that is mapped

yes it says uk layout but as a customer i dont have to know what that means i want to get the product that is pictured and everything else is misleading",0.828000009059906,0.16099999845027924,0.010999999940395355
