,neg,neu,pos
i am very happy with the mouse it fits comfortably in the hand is extremely light and the battery life is amazing 2 weeks at 68 hours a day,0.004000000189989805,0.009999999776482582,0.9860000014305115
this is by far the lightest and best mouse you can find right now i can absolutely recommend it fast precise and targeted the mouse is suitable for every gamer and is therefore a must buy the service life is considerable,0.004999999888241291,0.010999999940395355,0.9850000143051147
ive been using the mouse for almost a month now and i cant complain as described it is lightweight and extremely handy it feels super good when playing and the battery life is also very good,0.003000000026077032,0.013000000268220901,0.984000027179718
amazing gaming mouse significantly improved my aim straight away,0.004999999888241291,0.012000000104308128,0.9829999804496765
very impressed with the weight feel and battery life it is perfect for me and for my hands,0.004000000189989805,0.013000000268220901,0.9829999804496765
my son is very happy with it and thinks its his best mouse for gaming so far he mainly plays fortnite makes a valuable impression i can recommend this mouse to others,0.003000000026077032,0.014000000432133675,0.9829999804496765
wow this really is the rolls of the mouse world it is super light it weighs less than 63g and using it feels effortless it flows nicely and if you spend a lot of hours on the computer i would really recommend this it looks really smart and comes nicely packaged its battery life is up to 70 hours well worth the investment,0.004000000189989805,0.014000000432133675,0.9819999933242798
the mouse is incredible the best ive ever had,0.006000000052154064,0.012000000104308128,0.9819999933242798
amazing mouse to buy worth its price recommend,0.004000000189989805,0.014999999664723873,0.9819999933242798
according to my son the best gaming mouse ever and his colleagues do the same who now want to buy one of these too,0.004000000189989805,0.014999999664723873,0.9810000061988831
in my opinion one of the best mice on the gaming market i switched from the old g pro to superlight and im completely satisfied the shape is simply perfect weight is a big advantage these days and the battery lasts easily 2 weeks after intensive gaming charging is also really fast takes max 3040 min,0.004999999888241291,0.014999999664723873,0.9800000190734863
very nice to hold very good for gaming,0.004000000189989805,0.01600000075995922,0.9800000190734863
"previously i used logitech g703 which was also a very good mouse and i can say now that logitech g pro x superlight is even better the battery life is noticably longer and the mouse is really superlight i also like the design and its very comfortable

so far i am completely satisfied and the mouse has exceeded my expectations",0.004999999888241291,0.014999999664723873,0.9800000190734863
the best gaming mouse on the market in my opinion slides perfectly on any mouse pad has improved my aim in all games very highquality workmanship i recommend everyone else,0.006000000052154064,0.014999999664723873,0.9789999723434448
i play competitive games and this is the best mouse you can possibly get works for all hand types just buy it if you are thinking of buying it,0.003000000026077032,0.01899999938905239,0.9779999852180481
my son has been waiting to buy this for a few months now so he a very happy lad,0.004000000189989805,0.019999999552965164,0.9769999980926514
superb mouse that just has to be used to be believed its truly ambidextrous fully customisable feels great in the hand and is just the right sensitivity to give a balance between quick movement and accuracy when gaming so much better than my previous logitech gaming mouse its unbelievable,0.006000000052154064,0.01899999938905239,0.9760000109672546
the best gaming mouse i hadhave owned mine,0.006000000052154064,0.017999999225139618,0.9760000109672546
very good very nice,0.00800000037997961,0.01600000075995922,0.9760000109672546
im enjoying using this mouse its lightweight but not too light and it feels good to hold i can be pretty speedy using this and accurate too not the best ive ever used but pretty good for the price,0.004999999888241291,0.019999999552965164,0.9750000238418579
i bought it as valentine present and as i see it is a very good product i can recommend only if you dont want someone to play games 247 because the mouse is very comfortable only a bit expensive for a mouse but i see a happy face and thats worth it,0.004999999888241291,0.019999999552965164,0.9750000238418579
"this is by far the best mouse ive ever had and ive had a lot of mice over the last 25 years
after 8 months it continues to work without restrictions the battery is fantastic i only have to charge it every 23 weeks even though i am a lot on the pc
completely happy with this product and i wasnt always that at logitech",0.00800000037997961,0.017999999225139618,0.9739999771118164
this mouse is great works great do you have to get used to it a bit at first but then really good the battery lasts forever the workmanship is of high quality,0.007000000216066837,0.01899999938905239,0.9739999771118164
"not only is this mouse perfect for gaming but also for simple office work video editing etc
looks elegant feels elegant and meets all the requirements for a perfect mouse
please keep producing this mouse
lg",0.004000000189989805,0.02199999988079071,0.9729999899864197
ive had many logitech mice all were good but this one is hands down the best mouse ive personally ever had the battery lasts a week under heavy usage up to 10h a day it feels nice to hold and the switches are supreme which isnt new with logitech,0.006000000052154064,0.02199999988079071,0.972000002861023
pleasant to handle and very good product,0.007000000216066837,0.020999999716877937,0.972000002861023
it is beautifully light and the allu also lasts a long time a very good mouse overall,0.006000000052154064,0.020999999716877937,0.972000002861023
switched from a older wired logitech mouse to this one and so far its been one of my best decisions it feels very comfortable in the hand and not having a cable tangle around makes everything just so much better the price might be a bit of a downturn but its worth it,0.00800000037997961,0.020999999716877937,0.9710000157356262
really satisfied so far,0.007000000216066837,0.02199999988079071,0.9710000157356262
super lightweight easy to use great software best fps mouse so far,0.00800000037997961,0.020999999716877937,0.9700000286102295
"awesome easy for shooters just the right thing the bluetooth connection never breaks off and is without input laggs would recommend the mouse anytime

lg

alex",0.006000000052154064,0.026000000536441803,0.9679999947547913
"the mouse is very comfortable to hold and is lightweight
the battery life is very good and is quickly recharged
the sensor is excellent",0.004999999888241291,0.02800000086426735,0.9670000076293945
"mouse is pretty awesome logitech g hero sensor
wireless is the same performance as wired battery time is insanely good 15 2 weeks repending on how long you use it

no led lighting but thats to be expected
logitech software for pc is also pretty good way better than some other peripheral softwares",0.006000000052154064,0.027000000700354576,0.9660000205039978
this is also good,0.004000000189989805,0.03099999949336052,0.9649999737739563
the mouse is super light as the name says it practically glides over my mouse pad the quality is very high and the clicking feels sensational,0.006000000052154064,0.029999999329447746,0.9639999866485596
"really lasts 70 hours always
works great
its super light and the technology is great too the latency of the mouse is better than many that are wired
play csgo with it",0.006000000052154064,0.03200000151991844,0.9620000123977661
simply very satisfied no bad buy,0.006000000052154064,0.03400000184774399,0.9599999785423279
battery life great does it lie well with my big hands would buy it again immediately,0.008999999612569809,0.032999999821186066,0.9580000042915344
i have been using the logitech g pro x superlight for several weeks now i can only recommend it to others i personally dont have a single critical point super mouse that sits great in my hand and i also find the weight very comfortable so i have a total purchase recommendation ,0.006000000052154064,0.03799999877810478,0.9559999704360962
"it is very good in the hand
the battery feels like an eternity never had to charge it before overall a very very good mouse",0.012000000104308128,0.03400000184774399,0.9539999961853027
super mouse lightweight easy to set up great for gaming,0.006000000052154064,0.03999999910593033,0.9539999961853027
great mouse for gaming battery life is great ergonomics could be a little better for hand fit would like to see a superlight 502,0.00800000037997961,0.03999999910593033,0.953000009059906
perfect for gaming,0.006000000052154064,0.041999999433755875,0.9509999752044678
"ergonomics handling
sensor buttons workmanship top
with the g pro x logitech has designed a real flagship and set a milestone here highly recommended i tested the following mice zowie razer xtrfy",0.004000000189989805,0.04500000178813934,0.9509999752044678
the best dont hesitate its luxury and the battery lasts a barbarity,0.013000000268220901,0.03700000047683716,0.949999988079071
its very good,0.007000000216066837,0.0430000014603138,0.9490000009536743
i liked that it is very light,0.004999999888241291,0.04500000178813934,0.9490000009536743
very amazing,0.013000000268220901,0.03799999877810478,0.9480000138282776
the best gaming mouse on the market,0.006000000052154064,0.04600000008940697,0.9480000138282776
the mouse is good for gaming and is slightly perfect,0.004999999888241291,0.04800000041723251,0.9470000267028809
the mouse is very lightweight im positively surprised that the battery lasts that long i have the mouse for almost a month and so far only had to charge once which was even ready within 12 hours even though i gamble every day,0.00800000037997961,0.04600000008940697,0.9470000267028809
"very expensive but also very good it is perfect for fps shooter players but of course also for anything else to use the battery lasts a long time the mouse is comfortable to hold and the sensor is top as expected anyone who is willing to spend so much money on a mouse can do it without a guilty conscience

45 stars because of the price",0.008999999612569809,0.04699999839067459,0.9449999928474426
top im satisfied super light,0.004999999888241291,0.05000000074505806,0.9440000057220459
works well so far battery lasts in my case for about a months very very light,0.004999999888241291,0.052000001072883606,0.9430000185966492
the best mouse on the market the battery really lasts and the accuracy on csgo etc you can tell from a less expensive mouse,0.010999999940395355,0.05299999937415123,0.9359999895095825
really fantastic at first i had to get used to its lightness it almost feels like i dont have it in my hands,0.019999999552965164,0.04500000178813934,0.9350000023841858
"mostly on fast games this mouse is excellent
no rgb or dpi changer but is it really useful no
light very good grip good skate and monster autonomy
i really advice you for games like csgo valorant fortnite ect

negatives all the same
it would surely be perfect for 120€ no replacement skate for that price good
always charging with microusb",0.013000000268220901,0.052000001072883606,0.9350000023841858
perfect wireless mouse the battery last days of intense gaming usage,0.007000000216066837,0.05999999865889549,0.9330000281333923
extremely good battery life fits comfortably in the hand,0.013000000268220901,0.061000000685453415,0.9259999990463257
 still completely satisfied although i could never have imagined that wireless could be as fast as cable just play valorant and it bucks with the mouse battery lasts weeks,0.013000000268220901,0.06199999898672104,0.925000011920929
was a bit skeptical at first but the mouse is very good no rgb bs plastic feels premium click are very pleasant mouse wheel is silent and smooth no hiccups with the logitech software so far glides as if its on a cloud would recommend,0.017999999225139618,0.057999998331069946,0.9240000247955322
sensor and build quality are known at the top of the charts for convenience it hardly disappoints it is made for all types of sockets palm claw and fingertip,0.007000000216066837,0.07000000029802322,0.9229999780654907
"after using the mouse for a few months i have to say very good mouse

the low weights are unusual at first but you get used to it quite quickly sensor works perfectly it is also the dan of many feet and battery life is fantastic thanks to the lack of rgb i may need to charge it once every 1114 days when used daily for several hours",0.00800000037997961,0.07500000298023224,0.9169999957084656
although it doesnt have rgb or any cool bells and whistles its super ergonomic and very light very good for fast games such as movement or first person shooter,0.012000000104308128,0.07400000095367432,0.9139999747276306
all top battery lasts forever feels so light,0.014999999664723873,0.0729999989271164,0.9120000004768372
superb quality,0.010999999940395355,0.0820000022649765,0.9070000052452087
"possibly the best wireless mouse for gamers
im really happy with the mouse the sensor and handling are really impressive
unfortunately in my case the surface on the side of my thumb came off after a few weeks
this creates a very unpleasant feeling when holding ill probably have to try to exchange the product
otherwise clear purchase recommendation",0.04100000113248825,0.05999999865889549,0.8999999761581421
despite the light weight the quality is perfect,0.01899999938905239,0.08100000023841858,0.8999999761581421
this mouse is worth every penny i went from a 502 to the g pro and then to the g pro x superlight but a lot but a lot of stuff a mouse lightning bolt,0.014000000432133675,0.08799999952316284,0.8980000019073486
