,neg,neu,pos
jon jones is the best fighter on the planet he will smoke any fighter at any discipline of any size,0.007000000216066837,0.04899999871850014,0.9440000057220459
jon jones gave thanks to his lord and savior jesus christ he came out to 50 cent just a winner,0.006000000052154064,0.061000000685453415,0.9330000281333923
jon jones winning the fight in 2 minutes got me thinking bout how i used to last 2 mins with you i miss you call me if you see this,0.06800000369548798,0.25699999928474426,0.675000011920929
jon jones just tested positive for being the goat,0.027000000700354576,0.3019999861717224,0.6710000038146973
jon jones is a tremedous inspiration to all cocaine users,0.05999999865889549,0.2720000147819519,0.6690000295639038
jon jones just took 2 years off bulked up to heavyweight and handled the number 1 contender in 45 seconds lmaoooo,0.024000000208616257,0.4410000145435333,0.5350000262260437
jon jones subs ciryl gane in the first never was in doubt jones is now the new ufc heavyweight champion,0.008999999612569809,0.5360000133514404,0.45399999618530273
in 2011 jon jones was the youngest fighter to ever win a ufc belt its 2023 and he still hasnt lost a single fight lmao #ufc285,0.057999998331069946,0.5860000252723694,0.35600000619888306
jon jones doing jon jones things made that look easy #ufc285,0.03500000014901161,0.6179999709129333,0.34700000286102295
jon jones deadass just won the ufc heavyweight belt while only absorbing one significant strike and it was to the dick #ufc285,0.1459999978542328,0.5709999799728394,0.28299999237060547
jon jones really went inactive for 3 years got a title fight in his first bout back and won the title in 2 minutes what the fuck,0.3580000102519989,0.5109999775886536,0.13099999725818634
death taxes and jon jones winning fights,0.1850000023841858,0.6970000267028809,0.11800000071525574
jon jones about to step into the ring ufc let me see that fucking toe,0.5260000228881836,0.3799999952316284,0.09399999678134918
jon jones took 3 years off changed weight classes and blew the doors off of the top contender in a way that made it look comically easy if hes not your goat your list needs updating,0.6290000081062317,0.31200000643730164,0.057999998331069946
yo put jon jones on a plane and send him back to albuquerque tonight please,0.20000000298023224,0.7419999837875366,0.05700000002980232
if jon jones did that to ciryl gane whats he going to do to all the other heavyweights skill for skill gane was the best contender in the division jones made him look like a novice,0.6729999780654907,0.29499998688697815,0.032999999821186066
how did jon jones go five rounds with santos reyes and smith after looking like that against gane,0.22599999606609344,0.7440000176429749,0.029999999329447746
dillon danis said he wants to fight jon jones bro couldnt even fight ksi ,0.527999997138977,0.44600000977516174,0.026000000536441803
jon jones is the end of story,0.7269999980926514,0.24899999797344208,0.024000000208616257
i dont think jon jones is ready for this one tbh gotta be honest the hiatus may have been too long this seems like a nostalgia card,0.7829999923706055,0.2070000022649765,0.010999999940395355
