,neg,neu,pos
you are such a goodanalysisi loved your chanel sir yes jon jones is a greatestof all timewathcing from nepal,0.004000000189989805,0.017999999225139618,0.9779999852180481
jon jones wrestling is just amazing,0.006000000052154064,0.02500000037252903,0.968999981880188
great summary of the night mike feel privileaged watching jones hes just the best we will miss him when hes gone so lets enjoy every moment,0.009999999776482582,0.02500000037252903,0.9649999737739563
congratulations jon jones,0.006000000052154064,0.054999999701976776,0.9390000104904175
jones definitely is now the 2nd best ufc fighter in the history after khabib,0.004999999888241291,0.09399999678134918,0.9010000228881836
jon jones looked very impressive at ufc 285 what were your thoughts on the return of the goat jon jones looked very impressive at ufc 285 what were your thoughts on the return of the goat,0.0020000000949949026,0.10000000149011612,0.8980000019073486
love jones expected him to win tonight because cyrillic is o e dimensional but i honestly favor stipe just because weve seen him do it against the biggest and strongest and cyrillic was a perfect match up with jon,0.008999999612569809,0.09700000286102295,0.8939999938011169
jon jones looked very impressive at ufc 285 what were your thoughts on the return of the goat,0.003000000026077032,0.12300000339746475,0.8740000128746033
jon jones is the greatest fighter of all time no debate,0.019999999552965164,0.11299999803304672,0.8669999837875366
no doubt he is the goat and stip will be the next jones will just play in the ground how he did last night,0.008999999612569809,0.15199999511241913,0.8379999995231628
khabib nurmagomedov is the real greatest of all time because he never loss not jon jones,0.01899999938905239,0.18000000715255737,0.800000011920929
jones took 3 years to prepare for this moment incredible,0.039000000804662704,0.24799999594688416,0.7139999866485596
jon jones the goat,0.05900000035762787,0.34200000762939453,0.5989999771118164
jones the goat,0.052000001072883606,0.3880000114440918,0.5600000023841858
my guy stipe is done for lol jones looked so sharp in the fight,0.11500000208616257,0.33899998664855957,0.546999990940094
jones wins easily,0.050999999046325684,0.6079999804496765,0.3400000035762787
jon jones goat ufc all time ,0.04800000041723251,0.6129999756813049,0.33899998664855957
jon jones is no 1 pound for pound fighter in the world,0.09799999743700027,0.5690000057220459,0.3330000042915344
the only was jones is the goat is if he beats stipe and ngannou,0.03700000047683716,0.6700000166893005,0.2919999957084656
ufc no1 jon jones,0.017999999225139618,0.8450000286102295,0.13699999451637268
goat status phele see thaa jon jones pe agar jones ye fight haar bhi jata still usse ufc ka goat bola jata,0.08100000023841858,0.7839999794960022,0.13500000536441803
jon jones ka grappling record bhi 50,0.029999999329447746,0.8420000076293945,0.12800000607967377
jon jesus christ jones ,0.052000001072883606,0.828000009059906,0.11999999731779099
sit down and give jones his flowers,0.06499999761581421,0.8240000009536743,0.11100000143051147
i told you brother jon jones jitega ,0.03700000047683716,0.8669999837875366,0.09600000083446503
jon jones vs stipe miocicdono hi mere bohot pasandida fighter mai kisi ek ko support nhi kar sakta jo jeet jaaye mai khush rahunga,0.05299999937415123,0.8519999980926514,0.09600000083446503
