,neg,neu,pos
feeling so nice on mw2 man in a solid team and full of passion loving everyday atm grinding with these boys ,0.003000000026077032,0.00800000037997961,0.9890000224113464
cant wait to stream more mw2 tomorrow i feel like a kid again excited over a game,0.0020000000949949026,0.008999999612569809,0.9890000224113464
happy saturday all id like to say a massive thank you to whoever used my secretlabs affiliate link it is really appreciated hope everyone having a great weekend had a few on #fifa23 pro clubs last night but tonight is all about #mw2 finishing the smgs ,0.0020000000949949026,0.009999999776482582,0.9879999756813049
#mw2 has been a much needed breath of fresh air the multiplayer is in the best state its been in in awhile top 3 cod all time easily i actually have so much fun making content on this game with another banger cod,0.004000000189989805,0.008999999612569809,0.9869999885559082
really excited for the future of esports with #mw2 #warzone2 who should be our next recruit ,0.0010000000474974513,0.014999999664723873,0.984000027179718
am i the only one who really likes this new camo system in #mw2 i feel like i am having more fun grinding camos than i have had in years,0.003000000026077032,0.014000000432133675,0.9829999804496765
honestly #mw2 is elite i love every part of the game except the highway map,0.004999999888241291,0.012000000104308128,0.9829999804496765
someone get me mw2 bhai its so good ,0.004999999888241291,0.01600000075995922,0.9800000190734863
im loving the grind for mw2 honestly its a big change from just br all day long whats your opinions on the game,0.004000000189989805,0.017999999225139618,0.9789999723434448
boarder crossing is the best map in mw2 #mw2,0.0020000000949949026,0.017999999225139618,0.9789999723434448
#mw2 giveaway huge thank you to and for this opportunity ill be giving away 3 standard #mwii game codes stay frosty to enter like and retweet follow ill dm the winners on twitter,0.0020000000949949026,0.01899999938905239,0.9789999723434448
lf2 for the upcoming season ready to grind and work harder then ever never been more excited to chase my dreams mw2 is my cod #lfsanzcod,0.0020000000949949026,0.01899999938905239,0.9779999852180481
im loving mw2 im currently on 6 gold guns and its kept me playing d whats your opinions,0.003000000026077032,0.01899999938905239,0.9779999852180481
#mw2 is the best cod since bo4,0.004000000189989805,0.01899999938905239,0.9769999980926514
first day on the new #callofduty and so far im loving it feels like the original mw2 maybe even better 18 levels in the first day tomorrow were hitting 30 any of my followers tried #modernwarfare2 what are your thoughts if you like it drop your battlenet below ,0.003000000026077032,0.023000000044703484,0.9750000238418579
i cant wait for #mw2 to bring back hardcore mode,0.0020000000949949026,0.024000000208616257,0.9739999771118164
mw2 is actually so good when are we starting up #algofam tournaments on it,0.006000000052154064,0.02199999988079071,0.9729999899864197
happy friday all hope everyone had a great week ready for the weekend i have got no plans at all really now just ranking up on #mw2 as all the ars done now onto the smgs hopefully sit down edit some clips tomorrow for the weekend next week for you all ,0.003000000026077032,0.02500000037252903,0.972000002861023
introducing our first mw2 team coach we look forward to working with you,0.0010000000474974513,0.03099999949336052,0.9679999947547913
how did ign give the mw2 campaign a 6 its literally the best campaign ive played since 360ps3 days this is crazy,0.010999999940395355,0.027000000700354576,0.9620000123977661
guys thanks to and i have 3 standard codes of #mw2 to give away celebrating being #1 call of duty launch of all time to enter follow retweet this tweetlike tag a friend will be picking winner tomorrow on stream ,0.0020000000949949026,0.04399999976158142,0.9539999961853027
sniping in #mw2 is looking real good whos gonna be our first mw2 recruit ,0.0020000000949949026,0.04500000178813934,0.953000009059906
stayed up until 3am cheating on mw2 its so much fun,0.007000000216066837,0.04399999976158142,0.9490000009536743
played mw2 for the first time last night honestly i had fun sniping was great and sbmm did not feel too strong like in the beta what do you think of mw2,0.006000000052154064,0.04899999871850014,0.9440000057220459
mw2 is already better than mw19,0.008999999612569809,0.04800000041723251,0.9440000057220459
ngl #mw2 with mw2019wz movement would be the best cod of all time,0.006000000052154064,0.054999999701976776,0.9390000104904175
i am the proud owner of a gold rpg and a gold riot shield in mw2,0.003000000026077032,0.05700000002980232,0.9390000104904175
new mw2 good,0.004999999888241291,0.06300000101327896,0.9319999814033508
fa for #mw2 season bringing a new version of myself this year sub or flex good attitude and vibes ready to grind open schedule im confident in what i bring to a team i just need 3 players that want to grow and win as a team rts vouches appreciated ,0.004000000189989805,0.0729999989271164,0.9229999780654907
tonight vigilante gaming will be participating in our first mw2 tournament lets cheer them on as they start to put our name on the map,0.0020000000949949026,0.08900000154972076,0.9100000262260437
we doing another mw2 giveaway this friday or saturday let people know who does not have the game it will be the same rules as last time you must follow me on twitter and message me your twitch name good luck everyone its my turn to give back and show love to you guys,0.003000000026077032,0.08900000154972076,0.9079999923706055
soooo gave me 3 #mw2 copies to giveaway who needs one to enter in giveaway retweetlike this post follow tag your duo or your fav streamer again shoutout to cod acti for the codes goodluck friends ,0.003000000026077032,0.09000000357627869,0.9079999923706055
i love love love when girls babygirlify random characters weirdo men idolize and obsess over like yes ghost mw2 is so so malewife and soooo meow meow,0.03200000151991844,0.06700000166893005,0.9020000100135803
i will be doing the wheel of names for everyone whos in the mw2 giveaway on stream friday morningafternoon this is the last time to be in it so comment your twitch name like and retweet so others can have a chance to win as well good luck to everyone ,0.003000000026077032,0.0949999988079071,0.9020000100135803
dude weapon tuning on the snipers makes the game 1000000000000000000000000000x better for mw2,0.02199999988079071,0.10000000149011612,0.878000020980835
thanks to we have 3 #mw2 playstation codes to giveaway like retweet and follow tag 2 friends drawing on 114 ,0.0020000000949949026,0.125,0.8730000257492065
to4 looking for a funded organization to represent for the #mw2 challenger season very underrated squad thats gonna do big things vouches and retweets appreciated ,0.007000000216066837,0.13500000536441803,0.8579999804496765
battlefield 2042 is funner than mw2,0.02199999988079071,0.12800000607967377,0.8500000238418579
hehe gave me 3 copies of #mw2 to giveaway who wants one ,0.0020000000949949026,0.15800000727176666,0.8399999737739563
i feel like if they just sped mw2 up a little bit the game would be more enjoyable for a lot more people speed up ads sprint to fire times strafe speed maybe add one bunny hop this game is so close to being a top tier cod,0.03999999910593033,0.14000000059604645,0.8199999928474426
picking the winner for the mw2 vault edition copy tonight whos feeling lucky today ,0.004999999888241291,0.17800000309944153,0.8180000185966492
i actually think #mw2 could be a good game if it wasnt for all the catastrophic design faults and unfun systems lurking in the background content amount is decent sounds good maps arent the worst ive ever played and customization is plentiful,0.05400000140070915,0.13199999928474426,0.8140000104904175
playing solo on mw2 is pure therapy,0.013000000268220901,0.17800000309944153,0.8090000152587891
mw2 fa post main smg passion is very very high can travel to events 16 dms open,0.003000000026077032,0.1889999955892563,0.8069999814033508
i think id enjoy #mw2 a lot more of the ttk wasnt so freaking fast,0.04500000178813934,0.17599999904632568,0.7789999842643738
so many ppl crying about #mw2 already and its so funny to me bc we just got the game im loving it so much go back to mw19 for year 4 you crybaby bitches,0.12999999523162842,0.10599999874830246,0.7639999985694885
i will legit do anything for sm1 to buy me mw2 and i am being so fr,0.04100000113248825,0.210999995470047,0.7480000257492065
fa for mw2 smg i know what im capable of ,0.010999999940395355,0.24500000476837158,0.7440000176429749
fa for the #mw2 challengers season im really that nigga rts appreciate goats ,0.017000000923871994,0.24400000274181366,0.7379999756813049
fa for the #mw2 challengers season putting my all into this game rts vouches appreciated,0.017999999225139618,0.2639999985694885,0.7179999947547913
cod ww2 was better than mw2,0.050999999046325684,0.23399999737739563,0.7149999737739563
henloooo im the founder im stonned team are working hard no jk we spent all time on mw2 this is a free mint what do you expect lol,0.03500000014901161,0.26499998569488525,0.699999988079071
whose looking forward to mw2,0.004000000189989805,0.2980000078678131,0.6980000138282776
to3 lf main ar estcst preferred send schedule looking to grind everyday and get better #mw2 andscrims,0.010999999940395355,0.2930000126361847,0.6959999799728394
looking for some people to play 8s gbs or anything competitive in mw2 really trying to grind and get better this year hmu #mw2 #cod,0.009999999776482582,0.2980000078678131,0.6919999718666077
goodbye mw19 4eart cod i appreciate all of yall for the support love yall have given towards 4eart and our members sadly 4eart wont be operating as a team but switched backed to a friend group #4eart4l with #mw2 out comes new beginnings announcement tomorrow ,0.0729999989271164,0.24199999868869781,0.6850000023841858
mw2 is the most popular cod because its the most noob catered cod of all time 1 extreme sbmm 2 no stats 3 maps that encourage and reward camping 4 no prestige so people cant flame high ranks early in the game 5 cant stack killstreaks so no multiple vsats in 1 life gg,0.07400000095367432,0.25999999046325684,0.6669999957084656
i love how i was stuck for so long thinking about what to post on tiktok since mw2 dropped and all i had to do was join one sd match and turn my mic on ,0.04699999839067459,0.2919999957084656,0.6620000004768372
myself and are a solid to4 looking for an org to be part for the #mw2 season in latam 48350 pps we all have visas so we are able to play in majorschamps and been grinding together since day 1 of the game dms are open for any inquiries,0.007000000216066837,0.33399999141693115,0.6589999794960022
call of duty ghosts is better than mw2 in its current state,0.07199999690055847,0.27799999713897705,0.6499999761581421
anyone wanna commission me so i can buy mw2 haha,0.00800000037997961,0.35600000619888306,0.6359999775886536
i liked the female characters in the old mw2 there was not a single female character,0.04899999871850014,0.32100000977516174,0.6309999823570251
mw2 ghost is all over every social network i frequent and you know what he is babygirl and you should say it i for one welcome this rugged wartorn man into his new meowmeowhood,0.04800000041723251,0.3240000009536743,0.628000020980835
mw2 made a coo 800ms in 3 days yeah bitch i expect this shit to be perfect n polished by the next update,0.15800000727176666,0.22499999403953552,0.6169999837875366
modern warfare 2 pc giveaway im giving away a copy of mw2 for pc to enter follow like and retweet this tweet tag a friend winner will be chosen in around at 10pm tomorrow pst #modernwarfareii #modernwarfare2,0.004000000189989805,0.382999986410141,0.6129999756813049
fill me up with your coc bro #mw2,0.024000000208616257,0.3720000088214874,0.6050000190734863
to3 lf main ar estcst preferred next gen or pc preferred willing to go over vods willing to grow with the team and get better everyday playing in the under send schedules #mw2 andscrims,0.010999999940395355,0.39100000262260437,0.5979999899864197
mw2 is a good pub cod yall trippin bro,0.0860000029206276,0.3230000138282776,0.5920000076293945
all of you guys are blinded by nostalgia new mw2 ghost is better by far hes more intimidating more badass and a better character overall,0.17299999296665192,0.24799999594688416,0.5789999961853027
this friday pizza friday gets a crazy and will be hosting custom games in mw2 michael myers anyone and to top it off we will be giving a contestant of our first community meeting back a copy of mw2 on us to join 8pm est in our discord,0.004999999888241291,0.4320000112056732,0.5640000104904175
hows everyone enjoying the #mw2 game so far,0.004999999888241291,0.43299999833106995,0.5619999766349792
ive adapted to mw2 cause the game is the easiest thing ive played since tictactoe but that dont mean i dont mis being able to outplay people and actually have to think with my movement and decision making if you wanna be good now just pre aim crouch and maybe a jump peak,0.08799999952316284,0.3930000066757202,0.5189999938011169
im playing mw2 blasting clarity by zedd the new porter robinson version and also blasting new skrillex stay with me collab with fred again its like im in high school again,0.008999999612569809,0.4790000021457672,0.5120000243186951
someone buy me the new mw2 thanks ,0.03400000184774399,0.4580000042915344,0.5090000033378601
 it would be nice to be able to play mw2 online without the lobby freezing and loading in late,0.07500000298023224,0.421999990940094,0.503000020980835
mw2 got me in a hold rn i cant lie its good to take a break from 2k,0.19499999284744263,0.3070000112056732,0.49799999594688416
all ars gold all smgs maxed #mw2 #mwii,0.006000000052154064,0.5040000081062317,0.49000000953674316
looking for a super cheap tiktokyoutube short video editor not looking for the best edits in the world just more then what im able to do willing to pay #editor #tiktok #youtube #mw2 #cod #viral #retweet #gfx #edits,0.041999999433755875,0.49300000071525574,0.4650000035762787
to3 lf main ar estcst preferred next gen or pc preferred willing to go over vods willing to grind and get better as a team send schedule under playing in #mw2 andscrims,0.014000000432133675,0.5239999890327454,0.4620000123977661
i have no idea how mw2 has made it onto my fyp but im one video of soap and ghost acting like an old married couple away of becoming absolutely obsessed with all of the characters,0.1770000010728836,0.36399999260902405,0.45899999141693115
to anyone thinking about trying mw2 because they think ghost is hot u should definitely play it its a gay sex simulator as its core,0.15299999713897705,0.3959999978542328,0.45100000500679016
slightly addicted to playing mw2 help im 21 years old goated at snd,0.15299999713897705,0.40799999237060547,0.4390000104904175
fa for mw2 flex pc 23 ready to grind ,0.008999999612569809,0.5619999766349792,0.42899999022483826
spent 8 hours playing #mw2 and ate ice cream for breakfast,0.07999999821186066,0.4950000047683716,0.42399999499320984
#mw2 fa main ar looking for a long term team dedicated willing to learn good schedule rts app,0.010999999940395355,0.574999988079071,0.414000004529953
testing new faster slide cancels tonight got some new ideas #mw2,0.009999999776482582,0.5789999961853027,0.41100001335144043
fa flexmain sub for the #mw2 challengers season ready to play my first year and make moves rts are appericated,0.009999999776482582,0.578000009059906,0.41100001335144043
who else plays mw2 lol hmu,0.010999999940395355,0.5809999704360962,0.4090000092983246
i wish my internet was working so i could get into screaming matches on mw2 game chat ,0.13600000739097595,0.460999995470047,0.40299999713897705
if anyone doesnt have people to play mw2 with please join our discord and come play with us we are playing all day into the night everyday and even if we have a full squad we are still just vibin together in discord in separate games just join waiting room you dont even,0.04399999976158142,0.5559999942779541,0.39899998903274536
ok ive just bought mw2 because there is feck all i want to play,0.1809999942779541,0.43700000643730164,0.382999986410141
i have another code for #mw2 from a 20oz bottle of mountain dew ill give it to a random person who retweets this you dont have to follow me or anything its not much of a giveaway but im poor so theres that,0.05299999937415123,0.5730000138282776,0.37400001287460327
everyone og mw2 is the best cod ever activision makes a game close to mw2 everyone omg no movement this game is ass with no skill gap only cod players man,0.42500001192092896,0.2029999941587448,0.37299999594688416
fa for mw2 giving this year my all arsub it doesnt matter hmu,0.07400000095367432,0.5559999942779541,0.3709999918937683
10 people that like this will get #mw2 burger king code for free 24 hours only #callofduty,0.008999999612569809,0.628000020980835,0.3630000054836273
fa for mw2 flex na west pc 23 ready to grind ,0.007000000216066837,0.6299999952316284,0.3630000054836273
just finished the new mw2 campaign,0.00800000037997961,0.6320000290870667,0.3610000014305115
orion camo grind like the past two call of duty games ill be keeping track of our progress toward orion camo in #mw2 ill update this thread as we unlock each of the 51 weapons in modern warfare 2 of course check socials for tips guides and more mw2 content ,0.004000000189989805,0.6380000114440918,0.3569999933242798
i wanna buy mw2 but only if any of the boys have it miss gaming with mates,0.16500000655651093,0.4909999966621399,0.3440000116825104
call of duty mw2 mwii cmg gb tourneys leagues lf1lf2 looking people to run xps with and eventually leagues and wagers my friend and i have both played cod for aa long time an we both play na,0.007000000216066837,0.6510000228881836,0.34200000762939453
looking for a team to join during mw2 im serious about this content shiz now,0.039000000804662704,0.6230000257492065,0.33799999952316284
turn off crossplay to make #mw2 actually fun,0.09000000357627869,0.5720000267028809,0.33799999952316284
someone chall me 2v2 mw2 literally anyone for 5,0.02199999988079071,0.6520000100135803,0.32600000500679016
still fa for mw2 btw ,0.013000000268220901,0.6669999957084656,0.3190000057220459
