,neg,neu,pos
oh boy oh boy i cant wait on your take for mw2s launch looking forward to it,0.0020000000949949026,0.007000000216066837,0.9909999966621399
mw2 is the first cod ive picked up since cod4 and gotta say the graphics are absolutely amazing also the campaign was a great ride,0.003000000026077032,0.00800000037997961,0.9900000095367432
mw2 campaign is wonderful,0.004000000189989805,0.008999999612569809,0.9869999885559082
great review just played 2042 recently and it shows even more how great mw2 is compared to that game,0.004000000189989805,0.012000000104308128,0.9850000143051147
havent played a cod since black ops 3 very happy i decided to pick this one up because it really reminds me of the og mw2 in terms of fun ive had with the franchise as it was my favorite by far this one is well done looks great and is tons of fun,0.004000000189989805,0.014000000432133675,0.9819999933242798
great review also i love this cod mw2 yes the progression is bad but god daym its fun to play 1010,0.006000000052154064,0.013000000268220901,0.9810000061988831
cod mw2 looks like a fun game this is entertainment only right,0.003000000026077032,0.01899999938905239,0.9779999852180481
i mean the original mw2 was the best shooter game for a good while and its great that it came back even better,0.006000000052154064,0.01899999938905239,0.9760000109672546
act man the multiplayer might give 2042 ptsd but that campaign omg best cod campaign since bo2 like they went deep in their bags of tricks for this storyline mw19 was a great start but mw22 is excellent ,0.00800000037997961,0.017000000923871994,0.9750000238418579
havent played cod since mw2019 this one is pretty damn solid loving it so far,0.004999999888241291,0.02199999988079071,0.9729999899864197
im actually pumped for mw2 i had no problems with the beta,0.004000000189989805,0.024000000208616257,0.972000002861023
as someone who used to play lots of third person modes of mw2 and mw3 back in the day im glad to see it make a return its really fun little thing to spice up the gameplay,0.004000000189989805,0.029999999329447746,0.9670000076293945
i love the announcer stuff in mw2 theyre so dramatic and believable mw2 was just superior,0.007000000216066837,0.02800000086426735,0.9660000205039978
joe giving mw2 a higher rating than ignwe do live in strange time sir great review keep up the good work,0.004999999888241291,0.028999999165534973,0.9660000205039978
mw2 has so much potential in the future it can be so much better the question is will infinity ward step up and deliver,0.004000000189989805,0.032999999821186066,0.9629999995231628
when i heard enemy ac130 aboveeee i got chills mw2 2009 was so good,0.009999999776482582,0.03500000014901161,0.9559999704360962
"they did so good with mw2019
what could possibly goes wrong right",0.00800000037997961,0.0430000014603138,0.9490000009536743
the only time i was ever happy to be sick was when mw2 dropped for a few fun filled hours i had the console all to myself and got to stay home and play that incredible campaign 13 years later i still remember the experience fondly,0.010999999940395355,0.03999999910593033,0.9480000138282776
"this game is great honestly understand where i come from ive played the old cods and my most favorite cod since bo2 was mw2019 this fucking game is so much more realized and badass i love it
edit and ive also been wrecking people like im cheating or some shit idk y im level 10 destroying these level 40 dudes in sd",0.029999999329447746,0.03500000014901161,0.9350000023841858
"as someone who grew up on the original star wars battlefront games i adore third person and that element sold me on mw22022

this video made me buy mw22022 despite the list of negatives",0.010999999940395355,0.06800000369548798,0.921999990940094
mw2 had 3rd person in the day so the fact they bring that ahit back i love,0.009999999776482582,0.08299999684095383,0.9070000052452087
the iconic soundtracks and voiceovers in mw2 original where such a gem didnt realize how i missed them until you brought it up great point i hope something is done about it but nowadays i feel like once you play the beta thats the game youre getting well see great video,0.017999999225139618,0.0820000022649765,0.8999999761581421
youre right about style thats part of what made games like bf3 halo 3 and of course mw2 so memorable,0.007000000216066837,0.1080000028014183,0.8849999904632568
just beat mw2 and the game is a 1510 hands down,0.014000000432133675,0.10400000214576721,0.8820000290870667
the voice actors in mw2 2009 are still iconic,0.012000000104308128,0.10700000077486038,0.8809999823570251
the one life modes are really great and actually give me more of a rainbow six vibe than siege ever did the same was true for mw2019 too but here even more so when ubisoft started going wack with the operators and turning more and more toward hero shooter i was done with the series as a whole,0.03700000047683716,0.09300000220537186,0.8700000047683716
just the cod mw2 beta was 10x better than halo infinite and bf2042 both combined at their full release states now imagine,0.017999999225139618,0.12999999523162842,0.8519999980926514
132 you know what i think mw2 may actually look slightly better which is absolutely insane that weve gotten to this point,0.02500000037252903,0.1379999965429306,0.8370000123977661
those old mw2 2009 sounds gave me chills gaming peaked back then,0.02800000086426735,0.1420000046491623,0.8299999833106995
its hilarious that everyone even me thought that 2042 would destroy cod before it came out and a year later mw2 has the most successful launch ever for any cod ,0.04500000178813934,0.1289999932050705,0.8259999752044678
my sister and i spent hours upon hours doing the co op spec ops mode of the original mw2 if the upcoming game has it it will be a pretty easy sell for both of us i am not interested in pvp multiplayer more of a campaign and pve kind of person but wish everyone who enjoys those modes fun and interesting matches for many years to come,0.017999999225139618,0.17499999701976776,0.8069999814033508
bo2 was hands down the best game in terms of multiplayer along with mw2 i never see how companies make successful games in the past then get lazy with all the attributes in new games that made the old games all the more enjoyable like u already know what ppl like just build on that ,0.0820000022649765,0.1550000011920929,0.7630000114440918
im excited and also worried as fuck for mw2s full release,0.061000000685453415,0.1860000044107437,0.7540000081062317
im genuinely curious to see what else is coming to mw2 not just in its first year but also year 2 since theres no new cod in 2023 maybe we dont have to wait until mw3 to face off against makarov maybe were getting campaign dlc for year 2 hopefully,0.008999999612569809,0.24899999797344208,0.7419999837875366
compared to vanguard this is fucking picasso while mw2 isnt perfect in gameplay i feel that it is not just a good cod game but a genuinely good game plus the roadmap is fantastic a cod game wont come out for another two years because they are just going to focus on updating mw2 and warzone,0.11800000071525574,0.1469999998807907,0.7350000143051147
lets see mw2 seems to attract a lot of attention im curious to see what its worth ,0.007000000216066837,0.37400001287460327,0.6190000176429749
i am on steam and only had 2 crashes in 18 hours i even played the last 3 days of beta mw2,0.023000000044703484,0.36800000071525574,0.609000027179718
the original mw2 had 3rd person mode so not new but back again finally,0.008999999612569809,0.39500001072883606,0.5960000157356262
remember infinite grenade launcher glitch in mw2 good times,0.054999999701976776,0.3540000021457672,0.5910000205039978
1942 in my experience footsteps always made a huge difference since mw2 even using some crappy earbuds made it possible to hear pretty much everyone and know exactly where they are unless theyre camping never once throughout the franchise was i ever taken off guard while using headphones of some kind,0.06599999964237213,0.4099999964237213,0.5249999761581421
your opinion is worse than your thumbnail ive had so much fun playing mw2,0.28600001335144043,0.22599999606609344,0.4869999885559082
just bring us mw2 2009 again thats all we want activision,0.04899999871850014,0.4699999988079071,0.47999998927116394
we would have a pretty decent game if they remade mw2 2009 with updated graphics and kept every game mechanic exactly the same,0.0729999989271164,0.4830000102519989,0.4449999928474426
this made me miss the og mw2 and how much adrenaline and hype it gave me when i heard the music and voice acting i felt at least something like it was a real battle every game but now it just feels like just a shooter,0.24300000071525574,0.33000001311302185,0.4269999861717224
the omission of factions in favour of operators kills the style different factions appearances accents and music adds so much to the atmosphere cod 4 and mw2 did this very well plus their maps felt visually linked and consistent mw2019s maps were a cluserfk mishmash and random garbage,0.23199999332427979,0.3840000033378601,0.38499999046325684
this is my first cod since mw2,0.023000000044703484,0.5979999899864197,0.3790000081062317
mw2 wahoo,0.019999999552965164,0.6060000061988831,0.37400001287460327
man i miss mw2 spec ops missions,0.30300000309944153,0.34299999475479126,0.3529999852180481
"play enlisted for free on pc xbox series xs and ps5 follow the link to download the game and get your exclusive bonus now see you in battle

the modern warfare 2 beta has come and gone what has infinity ward done well and how have they screwed it up join me as i review the mw2 beta as we head towards the full release",0.039000000804662704,0.6150000095367432,0.34599998593330383
i was shocked at the graphics of mw2 avoided all trailers and footage usually cod looks like crap but holy moly this is truly a next gen cod and next gen game period infinity ward does it again along with the help of other developers,0.44600000977516174,0.22100000083446503,0.3330000042915344
honestly surprised you didnt mention that the maps seem to have more colors than mw2019s maps not to say there wasnt any color in 2019 but it was mainly grey black brown and tan i liked that mw 22s maps have a lotta color compared to 2019,0.13600000739097595,0.5550000071525574,0.3089999854564667
you know what realistic isnt always better the mw2 footage was very pleasing to my eye compared to the recorded video for some reason,0.24899999797344208,0.44600000977516174,0.3050000071525574
i never experienced a bug in mw2 once,0.16599999368190765,0.5740000009536743,0.25999999046325684
modern warefare 2019 looks so much better than coldwar that awful ww2 game and mw2 2022,0.5550000071525574,0.19099999964237213,0.2540000081062317
man i thought this was going to be a love letter to the old mw2 i would of actually came back to cod if it was,0.3070000112056732,0.4580000042915344,0.23399999737739563
yeah youre so right about the announcers i think theyre trying to go for a coolcalmdeadly killer type vibe but hearing your team freak the fuck out about an ac130 was cool as well its a different vibe im surprised they didnt follow up on little details like that for mw2 that name means a hell of a lot yet they didnt do much to honor it at all,0.33399999141693115,0.4429999887943268,0.2240000069141388
"easy fixes list
make player recognition like classic mw2
quieten the footsteps to a realistic level
make dead silence activation sound quieter and shorter",0.1080000028014183,0.6850000023841858,0.2070000022649765
in mw22 you dont find the glitches the glitches find you and whern they do oh boy,0.3869999945163727,0.4440000057220459,0.16899999976158142
mw2019 would also load next player when trying to spectate teammates for me it never took nearly as long as mw2 tho,0.22200000286102295,0.609000027179718,0.16899999976158142
exactly mw2 isnt really the one we i hoped for but with all the crap on the market at least we get a solid shooter thats actually fun,0.5590000152587891,0.2750000059604645,0.16500000655651093
the amsterdam footage isnt very good quality looks like an action camera but yes mw2 looks nice the real life footage would look better shot on a better camera with a less blown out image with more contrast,0.5130000114440918,0.32899999618530273,0.15800000727176666
i didnt think hearing the guy from the og mw2 screaming for his life that an enemy ac130 is in the air about to blow you to fucking bits would put such a smile on my face god i miss gaming back then no overthinking shit just good ol fashioned fun where has that gone,0.6769999861717224,0.1679999977350235,0.1550000011920929
back in middle school when mw2 was new i got paid to scream like the russian when an ac130 is called in did it like 3 times and got caught lmao,0.38499999046325684,0.47600001096725464,0.13899999856948853
seeing as how we didnt have no russian in mw2 terminal is probably going to be in the next installment or who knows maybe no russian is gonna be a dlc mission addon but hopefully its either in the next game or a free update,0.11100000143051147,0.7519999742507935,0.13699999451637268
series x can do mw2 4k 120 fps my ps5 can only do 120 fps 1440p,0.18299999833106995,0.6899999976158142,0.12700000405311584
real life rtx off mw2 amsterdam real life but with rtx on,0.023000000044703484,0.859000027179718,0.11800000071525574
"mw2 1
reality 0",0.05999999865889549,0.8309999704360962,0.10899999737739563
i was hoping for some old school maps from xbox 360 mw2,0.19300000369548798,0.7009999752044678,0.10499999672174454
gotta disagree with ground war being better than 2042s conquest playing 2042 after the mw2 was a stress reliever for me,0.421999990940094,0.4779999852180481,0.10000000149011612
ironically tf2 was designed with character recognition in mind a lesson that mw2 could learn from,0.20600000023841858,0.7009999752044678,0.09300000220537186
we must pressure iw into adding back all the mw2 sounds,0.11400000005960464,0.7950000166893005,0.09099999815225601
when mw2 was announced i was so excited i didnt even play it and after watching streamsvideos i dont even want to play it all of my excitement for this game completely left after watching just makes me miss og mw2 mw3 and black ops 1 and 2 even more its like they are trying to reinvent the wheel when they should just stick to simplicity,0.7310000061988831,0.17900000512599945,0.09000000357627869
im fully convinced that whoever designed the ui got his inspiration from the store in mw2019 its exactly the same small boxes where you have to scroll through them horizontally iw really do reuse everything lol,0.47600001096725464,0.44200000166893005,0.08299999684095383
dolphins diving is more tactical in mw2022 sigh let me tell you about that time i dived out of the nuketown house window,0.6019999980926514,0.3240000009536743,0.07400000095367432
just remember no russian that line from the original mw2 still sends chills down my spine even years later i remember how shocked i was playing that,0.6620000004768372,0.2680000066757202,0.07000000029802322
they show each friends character to make in game sales you see your friend bob with a pair of night goggles on his helmet youll go to the shop and buy the skin or something else now i havent watched anything or played mw22 so i dont know if theres a shop but thats companies ways to itch on fomo players,0.08299999684095383,0.8610000014305115,0.0560000017285347
ill never forget the enemy ac130 above from mw2 truly iconic and its sad how soulless the callouts are these days also i miss specialists from bo3bo4 ,0.8069999814033508,0.13899999856948853,0.054999999701976776
"i havent played cod since black ops 3 and the beta for mw22 reminded of why also activisons awful business model

at least the game chat is still hilarious ",0.800000011920929,0.15000000596046448,0.050999999046325684
man ever since cod warzone cod mobile the menus are been a complete puzzle i hope they take this feedback and clean it up for mw2,0.753000020980835,0.2029999941587448,0.04399999976158142
its not mw2 without the m200 cheytac,0.47600001096725464,0.48100000619888306,0.0430000014603138
