,neg,neu,pos
best cooler for pc ive had 2 of these also ive had water cooling and aoi coolers and this beauty performs just as good nice and quiet and price has always been right,0.006000000052154064,0.020999999716877937,0.9729999899864197
love this heat sink very silent and powerful,0.008999999612569809,0.017999999225139618,0.9729999899864197
one of the best cpu coolers on the market my ryzen runs like a dream with this attached to it,0.007000000216066837,0.02199999988079071,0.9710000157356262
i installed the 7600x and it worked right away as expected will be used for at about 8 years before the next upgrade yay,0.003000000026077032,0.032999999821186066,0.9639999866485596
"ive seen a lot of reviews online about this being one of the best coolers around and its really great the performance of this best it is in fact enormous inside of your pc build but wow never overheated once
only the colour its a negative side i think now they got a black version of it",0.009999999776482582,0.026000000536441803,0.9639999866485596
absolutely amazing thermals on a 48ghz overclocked i5 6600k changed over from a 120mm clc added benefit of increasing case circulation which allowed for higher memory overclock alongside super quiet and cool cpu performance,0.004000000189989805,0.032999999821186066,0.9639999866485596
"its worth spending the extra for noctua very easy to use all parts included for almost any system runs very quietely and a massive upgrade over the wraith cooler from amd

the quality of instructions provided is fantastic too",0.004999999888241291,0.03500000014901161,0.9599999785423279
"great packaging with everything you need including thermal paste this is a big cooler so make sure you have enough room for it

performance is excellent i have managed an extra 200mhz stable overclock compared with the liquid radiator it replaced",0.004999999888241291,0.04100000113248825,0.9539999961853027
if you go for a cpu cooler please buy this is amazing how easy can handle games like call of duty or fortnite in terms of heating wow,0.007000000216066837,0.04100000113248825,0.9520000219345093
it was easy to install i even kept the motherboard in the case its very cool and quiet and huge the arctic p14 fan looks and performs better than the noctua fan though,0.006000000052154064,0.04399999976158142,0.9509999752044678
great product easy to fit great packaging i have a ryzen 3700x and it is keeping the temps lower it is also very very quiet compared to the stock fan and this has two ,0.007000000216066837,0.04399999976158142,0.9490000009536743
very good cooler and i have no problems with it was a bit tricky to install but i managed to do it,0.008999999612569809,0.0430000014603138,0.9480000138282776
"does it look cool no not really but let me tell you this if you want your cpu keeping cold this is for you best money ive ever spent completely blown away by just how good this is i use to hit around 85c gaming before i got myself this cooler and i am now only hitting between 45 to 65 depending on what game im playing that is

its a must buy",0.01600000075995922,0.03999999910593033,0.9440000057220459
extreme cooling very heavy excellent results be careful i was surprised from size and have to remove second fan to fit in ram but even that results are amazing and fan is quiet,0.010999999940395355,0.05000000074505806,0.9390000104904175
best cpu air cooler hands down just make sure your case is big enough very easy to install,0.006000000052154064,0.0560000017285347,0.9380000233650208
this is by far the best cooler i have had i used to have aio coolers but these are so much better just check your ram height otherwise you might have to lift the fan to a higher position,0.019999999552965164,0.04500000178813934,0.9359999895095825
i am used to water cooling and i always used some sort of water cooling on my system because of noise level but this thing is quiet it is huge yes but it works really well i highly recommend it installation was not hard the instructions are well written but there are loads of videos on how to install it correctly,0.009999999776482582,0.0560000017285347,0.9340000152587891
great cooler easy to fit its massive tho,0.01600000075995922,0.050999999046325684,0.9330000281333923
this has outperformed my liquid cooler i could not believe it it has both fans running and im running 8 cooler over liquidand there is absolutely no noise its so quiet unbelievably quietsilent,0.01600000075995922,0.05299999937415123,0.9309999942779541
great fan easy to install as long as you have room in the your case and height for your ram i bought low profile ram so that i could fit both 140mm fans in keeps my ryzen 3900 under 80 degrees even on pbo overclock maxing all 12 cores on prime 95 for several hours,0.004999999888241291,0.07599999755620956,0.9200000166893005
easy to install and has great cooling capabilities you dont have to worry about your cpu running hot as this noctua cooler handles it all temps stay well below the threshold when gaming with temps about 5058°c and have a great idle temperature at about 32°c,0.009999999776482582,0.08299999684095383,0.9070000052452087
if this cooler was a woman id love and respect it,0.02800000086426735,0.06800000369548798,0.9039999842643738
using it with my amd ryzen 5900x with only one fan and working like a charm alsostore is fast and reliable a,0.004999999888241291,0.09200000017881393,0.902999997138977
"this is a big heat sink with 2 towers and 2 140mm fans this is a big heatsink
it is quiet and keeps the processor really cool ive been seeing temperatures of 23c with fan speeds of 350rpm
did i mention that this is a big heat sink you really do need to plan any build in which you are using this but it is really really good",0.012000000104308128,0.08799999952316284,0.9010000228881836
paired this onto a 5950x and keeps it well tamed fans are not silent but are great nonetheless moving a good volume of air fairly quietly mounting mechanism is simple was able to secure it successfully on my first attempt on my first build,0.006000000052154064,0.10400000214576721,0.8899999856948853
this cooler is nuts ive never used a nonstock cooler and i started with the best and i regret nothing it was really easy to install too going to be keeping this bad boy for am5 and beyond,0.04899999871850014,0.06700000166893005,0.8840000033378601
"great fan unit although i cant fit both fans on my board but pretty quiet and seem not badly made either to be fair
i just keep over fan in box as a sparebackup but other than that well packaged and happy with
good job nochua nice product",0.026000000536441803,0.09000000357627869,0.8840000033378601
a big product that provides a big improvement over standard style coolers takes up a lot of space so you need to have a large case to accommodate it using it on an amd ryzen 5 3600 cpu and its reduced the average temperature by 10 degrees great when gaming,0.012000000104308128,0.1080000028014183,0.8809999823570251
have been running aio for years so a return to air was nice,0.010999999940395355,0.1120000034570694,0.878000020980835
this for me is as good as a liquida big unit but i have a full size case and fits no problem,0.009999999776482582,0.125,0.8650000095367432
"got it on time from amazon with some fine rpm tuning it will make it very silent and efficient height might be problem with some memories good thing was noctua directly sent me am4 adapter great noctua service

not having rbg is a huge plus",0.012000000104308128,0.13500000536441803,0.8529999852180481
no issues easy to install for begineer not noisy,0.032999999821186066,0.17499999701976776,0.7910000085830688
"pay attention to the measurements and make sure it fits in your pc as it is really big
really good air cooler only downside is its size it gets quite tight fitting it in the case keeps my cpu cool and the noise level is great considering gpu is much louder than this",0.017000000923871994,0.1940000057220459,0.7900000214576721
keeps my 10700f with pl1 set to 255w cool at 40c idle and 60c under load it is a massive cooler,0.013000000268220901,0.20900000631809235,0.777999997138977
best,0.04600000008940697,0.2029999941587448,0.7509999871253967
"function over form throw your computer case under your desk ignore rgb fad gimmicks and go for the best cooling you can get for a great price

everything about the package and contents is sturdy and well made and noctua knock it out of the park with everything they make",0.03400000184774399,0.2370000034570694,0.7279999852180481
it is said that at the time of writing this is the best air cooler for the money well i can testify to its reputation im getting low temps from my ryzen 9 3900xt the noise level is whisper quiet the colour well we cant have everything right get the black one ,0.0949999988079071,0.22300000488758087,0.6830000281333923
nice,0.06499999761581421,0.25200000405311584,0.6830000281333923
great product but please make sure it fits in your case as the front fan that sits up as of the ram does not let me put the window back on the case,0.05400000140070915,0.2800000011920929,0.6660000085830688
great product high quality and amazing performance i was quite shocked with the temps kept my ryzen 3900x around 30 idle and below 70 on full load,0.14900000393390656,0.1979999989271164,0.652999997138977
i can barely hear this cooler when the fan speed is at 70 and it keeps my cpu at 70°at max loads simply the best cooling solution in terms of costbenefit,0.0860000029206276,0.26499998569488525,0.6489999890327454
i purchased this for a new build pc id changed the case and found that this was marginally too large for the case the austrian company was really good and fast to process the refund on return of goods free postage i would buy from these again,0.07500000298023224,0.3269999921321869,0.597000002861023
is a tight fit so best done with the motherboard outside the case must use low profile ram sticks hyper x fury are good cant believe how quiet the fans are,0.09700000286102295,0.3370000123977661,0.5649999976158142
used a d14 years ago before switching to aio coolers my most recent aio was failing and i decided to switch back to air coolers what a difference this runs cooler and quieter than my previous aio h100i and cost less install is easy just be careful and make sure you use low profile ram,0.07900000363588333,0.3569999933242798,0.5640000104904175
"excellent mounting hardware
easy to install
great way of avoiding thermal throttling
could be considered overkill for cooling a stock clocked i9 9900k never tops 60°c in 15 minute stress tests

for those that need to know it will fit in an antec three hundred case",0.06199999898672104,0.38199999928474426,0.5559999942779541
best air cooler ive had a few noctua over the years and if you dont want to watercool then the best option is a top end noctua just make sure your case has the space for whatever big noctua cooler you choose measurements are available and you can do a quick check before hand,0.04699999839067459,0.4000000059604645,0.5529999732971191
"really efficient low noise level and good temps
a little bulky so make sure your case is big enough
and if youre thinking of upgrading your ram do it before you i stall this as you dont have access to the slots once this is installed",0.05900000035762787,0.46000000834465027,0.48100000619888306
"best of the best
you need to cool a cpu then buy this no better
bette than watercooling as it will never leak and kill your system",0.21899999678134918,0.3160000145435333,0.4650000035762787
yes its big but for those that have tried aios and werent that impressed this will impress you obviously its system dependant but personally i was getting 1520 degrees cooler than the various systems i had previously tried stop hesitating and just get it,0.15399999916553497,0.40400001406669617,0.4410000145435333
"i replaced a corsair h115 liquid cooler with the noctua with the noctua the cpu i7 6700k not overclocked is a little cooler and the noise level is vastly reduced

easy to install with all the parts supplied and clear instructions",0.03799999877810478,0.5820000171661377,0.3799999952316284
very big but fit to my phanteks case p600s and cooling my intel i9 10850k,0.014999999664723873,0.609000027179718,0.37599998712539673
keeps the ryzen 5900x temps down with very bareable noise levels not too hard to setup,0.03799999877810478,0.5920000076293945,0.3700000047683716
a seriously premium cpu cooler but you do need a large full tower pc case in most cases,0.08100000023841858,0.5979999899864197,0.32100000977516174
£350 for 6cores expensive motherboard ddr5 most expensive mid range pc ever,0.2639999985694885,0.48399999737739563,0.25200000405311584
"ive got better results with be quiet than this one too expensive just like mcdonalds they sell the name
same ryzen9 with be quiet works 45 degrees cooler at 75 of the price
this is not a bad product in any way but they invested a lot in advertising as being the best and they are simply not",0.3619999885559082,0.3880000114440918,0.25
you are going to need a wide case for this beast but you wont be overheating your cpu,0.17299999296665192,0.5989999771118164,0.2290000021457672
processore bestiale,0.0430000014603138,0.7390000224113464,0.21799999475479126
fans are quite cpu temp 68c with overclocking on three stress tests 5950x the mount in the box works for am4 socket and other amd cpu sockets and the second mount works for some intel cpus sockets,0.013000000268220901,0.777999997138977,0.20900000631809235
good cooler hard to install fans if you dont have good dexterity,0.2849999964237213,0.5329999923706055,0.1809999942779541
its not easy to install and you need to make trick to install it between ram and usb radiator to place on cpu definitely not enough space noctua on two fans its hudge however if you menadge space for it its absolutely fantastic noctua,0.5720000267028809,0.28600001335144043,0.1420000046491623
amd ryzen 5 3600 my temps went from 80c at 37 on stock cooler to 63c at 41 this was in a fully enclosed case i was very surprised i would say the only down side to this cooler is if you keep the motherboard in the case you will need 3 hands to mount,0.4699999988079071,0.40799999237060547,0.12099999934434891
i had the cryorig h7 cooler my cpu was running a bit warm even during winter and with summer coming i was looking for a better cooler i was a bit skeptical as to how much difference it would make as the h7 is i decent cooler but well worth the extra money,0.3880000114440918,0.49900001287460327,0.11299999803304672
previously it was reaching 100 with stock cooler fan now it never goes beyond 75 even at full throttle,0.23399999737739563,0.6869999766349792,0.07900000363588333
ordered on release day as amd said motherboards ram would release same month almost a month later and only a handful of either available in the uk im build a small form factor only one itx board available which is over priced as its x570e,0.46700000762939453,0.47600001096725464,0.05700000002980232
"até à data estou satisfeito sem nada apontar vários testes como transferências de dados e utilização em jogos e não aqueceu assim tanto como esperava
consegui o preço de lançamento o que foi ótimo",0.11800000071525574,0.824999988079071,0.05700000002980232
my pc is now virtually quiet all the time even during heavy gaming loads i was dreading buying and installing it as i read about its pain in the rear installation process but with youtube vids and internet to help its not so bad,0.7739999890327454,0.18000000715255737,0.04699999839067459
the 2 screws that the cooler has make it hard to understand how hard you screw and you dont understand if you are even tightning the screws the result is not imidiate because it has 2 suspensions that provide resistance and make it hard to screwanyway its not that loud as i was expecting it to be and it gets the job done perfectly,0.6320000290870667,0.3330000042915344,0.035999998450279236
item does not contain mounting kit for lga1700 despite it being advertised as so in product description i may have just been unlucky or this may be every product i would recommend buying from a pc specialist store instead,0.5550000071525574,0.41600000858306885,0.02800000086426735
i had problem with ram installed as one fan from this cooler blocked two ram slots i wasnt aware of this problem i have msi z490 and ram slots are really close to cpu,0.6679999828338623,0.31700000166893005,0.01600000075995922
i cant believe performance of this thing i always knew it was good but not this good my 280mm liquid coolers dont even come close to this thing and itll last 10x longer dont hesitate stick with air,0.9210000038146973,0.06599999964237213,0.014000000432133675
didnt come with instructions or mounting brackets for lga 1700 which the description explicitly says that it did i had to buy a separate bracket id taken the day off work to build and enjoy the new pc this wasted my time and im not very happy,0.8989999890327454,0.09200000017881393,0.008999999612569809
