,neg,neu,pos
i cant say enough good things about noctua this cooler is by far the quietest part of my build cooling a ryzen 9 5900x this keeps my cpu pretty cool too never above 80c very happy with my purchase,0.004000000189989805,0.010999999940395355,0.984000027179718
it was great instructions are clear cooling is excellent quality is very good,0.004999999888241291,0.012000000104308128,0.9829999804496765
the mounting brackets noctua uses makes installation easy this is the quietest computer ive ever had and the thermals are fantastic,0.006000000052154064,0.013000000268220901,0.9819999933242798
excellent fan cool design and top performance on a 12700k,0.004000000189989805,0.014000000432133675,0.9819999933242798
this noctua cooler is amazing many people already know and trust the brand so it made it easy for me to justify purchasing it this is the best cooler ive found so far and i doubt i will be ditching anytime soon,0.006000000052154064,0.013000000268220901,0.9810000061988831
very good and quiet coolerthe temps are really good too,0.003000000026077032,0.01600000075995922,0.9810000061988831
love this cooler switched back to air cooling from aios and decided to go with this heat sink since ive fallen in love with noctuas fans this product did not disappoint at all easy install quiet quality built and packaged very impressed with temps,0.004000000189989805,0.01600000075995922,0.9800000190734863
i watched a few reviews of this cooler on youtube and i was sure it would work with my 12th gen i9 it works just fine no throttling and no need for undervolting im very impressed with this cooler just make sure you have a case with good air flow and you will be just fine,0.004000000189989805,0.01899999938905239,0.9779999852180481
fits in perfectly and will last for years to come,0.003000000026077032,0.019999999552965164,0.9769999980926514
"as always with noctua you get excellent quality for your money
after i had installed two 15s before this time a 12 was installed on a new cpu and i must say i am more than satisfied will use noctua products again next time",0.004000000189989805,0.019999999552965164,0.9769999980926514
very nice fan it does not low at all and my whole set up is very silent it is amazing i am new to build a pc so it does take me a while to set it up i would recommend you guys to watch tutorial on youtube if you are a newbie on building pc like me,0.006000000052154064,0.017999999225139618,0.9760000109672546
best cpu air cooler on the market hands down whisper quiet lowered my cpu temps by a lot and installing it was super simple couldnt recommend this product more,0.00800000037997961,0.01600000075995922,0.9760000109672546
great cooler nice and quiet keeps the temps good as well size fits perfectly in a standard atx case,0.003000000026077032,0.020999999716877937,0.9760000109672546
it is amazing its not noticeable to me sound wise looks great and my cpu has been very cool never reaching 72 in 1440p aaa titles,0.00800000037997961,0.017999999225139618,0.9739999771118164
for how well this cpu cooler can keep the temperatures down its actually very impressive my i7 11700k stays cool even at full load i highly recommend this product,0.004999999888241291,0.020999999716877937,0.9739999771118164
"i love that its small and black
it has almost universal compatibility with everything including ram clearances
the mounting could not be more simple and straightforward its also very solid
it can cool my 5950x with oc without any issues at all

just outstanding",0.006000000052154064,0.02199999988079071,0.972000002861023
works like a charm keeps cpu temps nice and cool and was so effortlessly installed a great choice for an air cooler,0.006000000052154064,0.02500000037252903,0.968999981880188
the heatsink is quite quiet and offers excellent performance,0.004000000189989805,0.029999999329447746,0.9660000205039978
honestly theres nothing i dislike about this system its amazing im running a 12th gen intel with this and its kept it cool under a long gaming sessions no problem and im talking 1014hrs no break,0.009999999776482582,0.02500000037252903,0.9649999737739563
cant go wrong with one of the best brands in cooling looks great works great and does the job at keeping my cpu temps under control,0.006000000052154064,0.029999999329447746,0.9629999995231628
the heatsink is excellent good size and in black it looks better,0.004999999888241291,0.032999999821186066,0.9620000123977661
very fast delivery in the best quality,0.006000000052154064,0.03200000151991844,0.9610000252723694
"noctua nhu12a chromaxblack single tower cpu heatsink 120 mm black perfect in every respect
easy and safe mounting system incredibly low noise level and finally very aesthetically beautiful highly recommended
amazon as always impeccable top service",0.004999999888241291,0.035999998450279236,0.9589999914169312
so far so good,0.004999999888241291,0.035999998450279236,0.9580000042915344
rather imposing but its always a pleasure to have noctua perf level is great even if not oc the proc,0.006000000052154064,0.03999999910593033,0.9549999833106995
noctua nhu12a very good product line easy to install cool very good no noise or vibration can store 4 bars of ram without a problem i recommend it,0.007000000216066837,0.03799999877810478,0.9539999961853027
i have this cooling a 5900x idle at 3040 degrees max of 70 under load which i find pretty impressive,0.003000000026077032,0.04800000041723251,0.9480000138282776
for me the best air cooler hear him barely or not at all and with a headset ehh not the performance is better than the dark rock pro 4 that i had before but have now installed it in another computer due to a cpu change great for me,0.009999999776482582,0.04500000178813934,0.9449999928474426
excellent keeps my processor at normal operating temperatures rayzen 5800x,0.004999999888241291,0.05000000074505806,0.9449999928474426
very good product,0.010999999940395355,0.04600000008940697,0.9430000185966492
perfect size and keeps my processor cool,0.006000000052154064,0.05299999937415123,0.9409999847412109
comes with everything you need and great instructions,0.004999999888241291,0.054999999701976776,0.9399999976158142
i bought this to keep an i711700k cool under load i play 4k over 60fps the cpu is paired with a rtx3080ti and this cooler does a great job idle in the low 30s and have never seen the cpu over 60s celsius i am very happy i spent too much on the gpu and nvmes to have a liquid cooler leak for whatever reason i more than happy with this air solution,0.00800000037997961,0.052000001072883606,0.9399999976158142
anything by noctua is a1 second to none awesome cpu cooler,0.012000000104308128,0.04899999871850014,0.9390000104904175
replaced my fractal s 360mm aio with this on my ryzen 9 5900x this cooler beat it by around 10c while being almost silent as well i cant recommend this cooler enough,0.004999999888241291,0.0560000017285347,0.9380000233650208
replaced my previous build aio less wires and much quieter performance is just as good and it was half the price added bonus no rgb,0.00800000037997961,0.057999998331069946,0.9350000023841858
this fan works really well for the required footprint in your case it however is overpriced by about 20 the build quality is one of the highest though unlike most of my recent amazon purchases this one bought as new came as new so i guess that is a plus,0.010999999940395355,0.057999998331069946,0.9309999942779541
beast of an air cooler and nearly silent rarely if ever hesr it ramp up a bit temps stay around 39c normally and gaming around 56c to 60c max im running a 5800x and this is by far the best air cooler i have ever owned,0.00800000037997961,0.06199999898672104,0.9290000200271606
the wellknown and proven quality doesnt really require any further comment everything is great,0.017999999225139618,0.05299999937415123,0.9290000200271606
i always choose noctua products because they are easy to install and they do what they are supposed to do also noctua provides a wealth of information on their website about all their models so i can make a informed decision on which model to use as the saying goes it takes a good engineer to make a simple machine to do a simple job,0.00800000037997961,0.06400000303983688,0.9279999732971191
"this thing can handle my 3950x5950xand12900k no problem
amazing what noctua has done
cant even think of any cons
fans come in black now
perfect for an air cooled black out build
if you need an air cooler to handle the heat look no further",0.012000000104308128,0.06199999898672104,0.9259999990463257
good product excellent quality,0.01899999938905239,0.0560000017285347,0.925000011920929
"the part has phenomenal cooling performance
im from a 6700k with 280 wakue
switched to a 12700k which the cooler handles loosely
super quiet top workmanship and epic cooling performance at aio level",0.007000000216066837,0.0689999982714653,0.9240000247955322
impeccable performance inaudible operation arguably the best smaller form factor air cooler on the market,0.006000000052154064,0.07199999690055847,0.921999990940094
i have this fan with 5800x and it running at 35 degrees in idle very easy installation and this was my first one you cannot go wrong with noctua,0.008999999612569809,0.07199999690055847,0.9190000295639038
from what ive heard the 12 gen cpus run really hot and this has no problem cooling my cpu 3340c idle and while gaming 5067c so if youre thinking about buying this i would,0.006000000052154064,0.07599999755620956,0.9179999828338623
works amazing keeps temps under control i was running idol at 40 to 45 and when gaming 89 to 99 on my old cooler but after installing this cooler now my pc is running 30 to 33 idol and 50 to 56 wail gaming instalation is easy and great instruction would recommend,0.008999999612569809,0.07500000298023224,0.9169999957084656
"i bought it with ryzen 5900x and i love it
 room temp 81c cpu idle 39c cpu prime95 full load 65c
 cpu pwm fan speed setting 50 minimum 100 at 80c chassis corsair 4000d airflow 2x140mm intake 1x120mm exhaust amd ryzen 9 5900x asus strix x570e wifi ii motherboard ai overclock",0.004000000189989805,0.08100000023841858,0.9160000085830688
noise level cooling performance absoloutly perfect,0.01600000075995922,0.07800000160932541,0.9049999713897705
ive always had stock heatsinks on the intel i7 9700 where gaming temperatures on warzone even reached 98 degrees today after mounting it and after playing for 2 hours i experienced peaks of 80 degrees with an average of 65 degrees plus the fans are super quiet super satisfied,0.00800000037997961,0.10000000149011612,0.8930000066757202
"after doing some research and trying to find a cooler that is not a aio this fits the bill perfectly it is quiet easy to install and comes with everything you need in the box for a lga 1700 and you do not need to worry about reaching out the the manufacture for parts

this is all round great cooler and will be buy another one for my second pc",0.012000000104308128,0.10000000149011612,0.8880000114440918
instructions were clear and concise all black is great mounting is goodwould like a preset torque driver included in the kit for the price keeps a 11700kstock 10c under tjmax when running prime95s hardest test cold plate is machined to an even and flat surface all in all this is a good upgrade from coolermaster 212 series,0.00800000037997961,0.10300000011920929,0.8880000114440918
core i7 2500k 42ghz gets up to about 70°c under synthetic load works amazing,0.00800000037997961,0.10400000214576721,0.8880000114440918
the assembly was a bit tricky but its also due to the base otherwise everything was perfect good cooling performance not too loud i can only recommend it,0.020999999716877937,0.0949999988079071,0.8849999904632568
performs great looks great will only let you down if you are trying to cool intels 250w monsters,0.024000000208616257,0.10400000214576721,0.8730000257492065
i purchased this after my water cooler failed it was easy to install and cools just as good as the water cooler did and will be much more reliable,0.017000000923871994,0.11100000143051147,0.871999979019165
removed my corsair h100i aio liquid cooler in favour of this system on my 5600x the temperatures under load were tyically in the 60s to early 70s matching if not beating my previous system well done to noctua for this going to keep it for years and years to come only issue is that its quite pricey,0.014000000432133675,0.11599999666213989,0.8690000176429749
if youre looking for a high end cooler that stays pretty quiet and keeps temps down this is it better than the 212 black edition but also double the price if you want a high end build to cool down high end components splurge and get this mounting is an absolute breeze,0.012000000104308128,0.11900000274181366,0.8690000176429749
noctua products are well built their fans are quiet will buy from them again,0.014999999664723873,0.12099999934434891,0.8640000224113464
 amazing cooling even on intels hottest processor the12900ks it does a good job under full cpu load noise level is silent except when cpu cores are all going under heavy load then you can hear it faintly i have never had one lock up on the system while running this heat sync,0.02500000037252903,0.1120000034570694,0.8619999885559082
