,neg,neu,pos
youre right paul rdna 3 looks very promising and i am really looking forward to its release its been a long time coming and im convinced the end product will have been worth the wait cant wait to hear your views upon release great vids as always keep up the good work ,0.0020000000949949026,0.00800000037997961,0.9900000095367432
im super excited for rdna3,0.0020000000949949026,0.008999999612569809,0.9900000095367432
im freaking stoked to find new 3060s for 400 might be time to upgrade my r9 390 from 2015,0.0020000000949949026,0.014000000432133675,0.9829999804496765
rdna 3 hit exactly where i was hoping in performance in a 350 watt envelope the price actually exceeded my expectations i think rdna 3 going to be a hell of a value this generation across the board cant wait to see what they release in the mid range as well,0.003000000026077032,0.01600000075995922,0.9810000061988831
i think ill hang on to my thermalenhanced 3080 founders for now but this is very exciting to see amd catching up this quickly hopefully their drivers are solid as well and we really will have a serious competition on our hands,0.0020000000949949026,0.017999999225139618,0.9800000190734863
more gas in the tank sounds great i cant wait to see what aibs do with rdna3 boards bring on the 7970 xd 3ghz edition,0.003000000026077032,0.02199999988079071,0.9750000238418579
im excited for the performance review and the gpu itself just installed a 5800x3d in my pc also with the new av1 encoders id like to see a comparison on how well radeon relive compares to nvidias shadowplay this time,0.0020000000949949026,0.024000000208616257,0.9739999771118164
since the flagship is at 355 tdp im really hyped for the midrange options,0.0020000000949949026,0.02500000037252903,0.9729999899864197
im really looking forward to a navi refresh next year still tons of headroom left on navi 31 plus more mature drivers for rdna 3 and gives time for third party support for the new features like fsr 2,0.003000000026077032,0.028999999165534973,0.968999981880188
as a long time 1080ti enjoyer im really happy about rdna3 right now not planning on upgrading my gpu in the near future but its good to know that it would be a straight forward upgrade without the need to change my psu which i got for the 1080ti cables and case lets hope that the launch benchmarks see amd deliver the performance they promise,0.004999999888241291,0.029999999329447746,0.9649999737739563
"the most impressive thing about rdna 3 is its cost effectiveness for sure also it seems like if they want to have a stronger card in the future faster memory is a must
4080 should be a 1000 ",0.004999999888241291,0.03099999949336052,0.9639999866485596
rdna 3 looks very good from a mobile perspective next gen laptops are gonna get very good and the next steamdeck will hopefully have better battery life but probably not lol,0.006000000052154064,0.03099999949336052,0.9629999995231628
amd already having fsr 3 in the works was a big suprise for me,0.003000000026077032,0.035999998450279236,0.9610000252723694
rdna 3 is actually very impressive especially when you take into factor the price i assume the lower than expected prices is due to the lower cost of manufacturing these cards i can also see amd doing a refresh in the future with much higher clocks and more infinity cache the low clocks actually surprised me tbh,0.004999999888241291,0.0430000014603138,0.953000009059906
hopefully amd gives us an x3d zen 4 soon looking forward to upgrading my 58003080 to a full amd system next year,0.0020000000949949026,0.04899999871850014,0.9480000138282776
"rdna3 has been much better then i expected not only does it have a great price going for xtx it has all the features youd want plus fsr30 looming the power requirements are also quite good considering the competition ive always been super disappointed in the 40 series just junk
getting disappointed about rt performance is kind of silly ",0.01899999938905239,0.041999999433755875,0.9390000104904175
"skipped 3 generations waiting for power efficient decent raster price finally it is time and looking forward to what mid range cards are coming
my system will be a full amd again since 2005",0.004999999888241291,0.0729999989271164,0.921999990940094
it is not dissapointing actually its quite amazing i love both lovelace and rnda3 and think the improvment is amazing people are just dissapointed because they had early rumors saying that performance would be 25 3x which was never possible unless they had best 3nm and faster memory with more shaders,0.023000000044703484,0.05700000002980232,0.9200000166893005
please amd oblige us sympathetic gamers give us another 7970 beast the first one was awesome if you make a 3d stacked overclocked rdna 3 card please consider bringing back the name ,0.007000000216066837,0.07599999755620956,0.9169999957084656
looking forward to 2023 amd advantage laptops,0.004000000189989805,0.08299999684095383,0.9129999876022339
belender does support amd radeon cards with hip since blender version 30 which they worked closely with amd to create although nvidas optix denoiser exclusive to nvidia is miles better than the openimagedenoise which is the one and is such with love the videos keep up the great work,0.006000000052154064,0.08399999886751175,0.9100000262260437
yea i love amd i just cant swap as a 3d artist yetif they invest the money into fixing the nvidia gap i believe they will do great,0.017999999225139618,0.07599999755620956,0.906000018119812
rdna 3 is a beast look how many compute cores they have managed to cram in there and only running at 350w also remember the cores and mem are uncoupled with frequency so the compute cores prob run pretty fast amd really are onto something here and i think for the first time in a long time the gpu market might have some competition,0.009999999776482582,0.0860000029206276,0.9039999842643738
rdna 3 is the ryzen moment in graphics make no mistake amd is now in the technological lead i bet rdna 4 takes the crown and so does rdna 5,0.004999999888241291,0.09700000286102295,0.8980000019073486
would love to see a 7970xt with dual n32 chips,0.004999999888241291,0.09799999743700027,0.8970000147819519
the 7900xtx will be about 3x my 2080super in most games while being just plug and play no upgrades psu needed is 1000 a win for me i can swing the 1k for that much more performance,0.009999999776482582,0.10100000351667404,0.8889999985694885
951 thats why i chose opencl for my computational fluid dynamics software fluidx3d it runs on all hardware and is just as fast as cuda the 7900 xtx finally brings back a 384bit memory bus for 960gbs bandwidth this card should absolutely shred in cfd workloads,0.008999999612569809,0.10899999737739563,0.8820000290870667
cant wait for blackwellrdna4 leaks,0.010999999940395355,0.12200000137090683,0.8669999837875366
the amazing thing about this is that in the future they can make the die bigger with 300mm more space they can up the power requirements and with their chiplet design they can stack memory 1 or 2 high what can nvidia do theyre pretty much maxed out,0.010999999940395355,0.12700000405311584,0.8619999885559082
it was 3am and i clicked on this thinking i was just gonna skim it and ended up watching the whole thing best analysis and info ive seen on rdna 3 along with some other great info damn you tom im tired,0.029999999329447746,0.10899999737739563,0.8610000014305115
so basically a 7950x and 7950xt will be an interesting combination and for highest possible power intel 13 gen and nvidia gpu,0.003000000026077032,0.13600000739097595,0.8600000143051147
7970xtx 3ghz edition would be a cool name to use,0.00800000037997961,0.13199999928474426,0.8600000143051147
"last gen the 3090 is the best its a 3080 with enough ram for double the money
this gen the 4090 is the best its a 7900 with enough rt for double the money",0.013000000268220901,0.12800000607967377,0.859000027179718
