,neg,neu,pos
currently have a gigabyte rtx 3080 i absolutely love msi though i have an msi motherboard and the build quality is excellent when i eventually upgrade i might have to get the msi to give it a try,0.004000000189989805,0.019999999552965164,0.9760000109672546
upgrading from 1080ti7700k to 409013900k so excited going from 1440p 165hz to 4k 120hz,0.0020000000949949026,0.02500000037252903,0.9729999899864197
i cant wait for the 4090ti to come out im going to buy it,0.006000000052154064,0.020999999716877937,0.9729999899864197
good job paul one of the best 4090s testing ive seen so far in youtube,0.004999999888241291,0.023000000044703484,0.972000002861023
it looks like its that time of year already cant wait to see some ln2 on the 4090,0.006000000052154064,0.029999999329447746,0.9639999866485596
cant wait for my upgrade been 3 years am moving to 13th gen intel hehhe and hoping i can get a rtx 4080 founders edition,0.0020000000949949026,0.03400000184774399,0.9639999866485596
rtx 4090 performace vs rtx 3090 is incredible looking forward for coming rtx 4080 16gb reviews and choose one of those cards after seen it,0.004000000189989805,0.04100000113248825,0.9549999833106995
best 4090 video yet i like how he includes overclock now i want to see his rog 4090 review,0.004000000189989805,0.041999999433755875,0.9539999961853027
the 4090fe card is so damn good,0.009999999776482582,0.04100000113248825,0.9490000009536743
hey the rtx3070ti for 600 is now an excellent option i had one with i511400 all the games in 1440p not always to max settings but in most of games yes,0.004999999888241291,0.05000000074505806,0.9440000057220459
im deffinately waiting for the 4090ti 100 going to be my whale hands on that beast,0.00800000037997961,0.05000000074505806,0.9430000185966492
i really liked the 3090 strix specially in white but for the 40 series i would go for the 4090 fe,0.004999999888241291,0.057999998331069946,0.9380000233650208
paul did you saw the gigabyte rtx 4090 aorus xtreme waterforce it has an 360 aio o and it also looks super sexy,0.004999999888241291,0.06700000166893005,0.9279999732971191
i expect a sub 10 litre small form factor case with amazing cooling for dual 4090s by end of year,0.004999999888241291,0.07400000095367432,0.9210000038146973
for 5 increase in price and watts you get 5070 increase in performance freaking epic the 4090 is insane,0.008999999612569809,0.07199999690055847,0.9190000295639038
a great time to buy an rtx 3090 for 1000 usd or an rtx 3090 ti for 1100 usd,0.004000000189989805,0.08699999749660492,0.9089999794960022
"love your videos and about to build a high end pc in australia and wondering would you go amd 7950x or intel 9 13900k
was looking to go amd 7950x with a gigabyte 760e aorus xtreme and a gigabyte geforce rtx 4090 aorus master
any assistance would be appreciated",0.003000000026077032,0.0949999988079071,0.9010000228881836
cant wait to buy mini fridge for rtx 5090,0.006000000052154064,0.1120000034570694,0.8830000162124634
i was bummed i could only score the gigabyte 4090 gaming oc on launch but now im actually really happy as it turned out to be a winner,0.03500000014901161,0.0820000022649765,0.8830000162124634
paul if people like the looks of the msi watercooling card they have a non watercooling version called geforce rtx 4090 suprim x 24g three fans and beautiful looks,0.007000000216066837,0.12800000607967377,0.8659999966621399
nice please consider testing the gigabyte 4090 waterforce,0.008999999612569809,0.12600000202655792,0.8650000095367432
i know ill end up getting a 4090 but its gonna be at least a year before i do ive heard rumors that theyll be releasing it with a 21 display port in the future so theyll be cool too,0.00800000037997961,0.13600000739097595,0.8560000061988831
"jolly sharp work sirs edit3 derbauer presented some intriguing fpstopower ratios
edit2 incredibly insightful concluding remarks and advice on 4090s lack of dp20 well done
edit 1211 hmm there yet might be small form factor builds for 4090 eg with custom watercooling 4090 time may tell",0.014000000432133675,0.12999999523162842,0.8550000190734863
this might be i good upgrade since i wanted to play at 4k with high frame rates although i might wait for the 4090ti to see how much improvement there is for 4k gaming,0.00800000037997961,0.1589999943971634,0.8330000042915344
definitely getting that dad bods pc mods shirt screw the 4090s too dam expensive picked up a used 3070 for 300 works perfect for the amount of gaming i do,0.02500000037252903,0.15000000596046448,0.824999988079071
i just built a whole tower that meets my needs as a developergamer for under 700 the 4090 price is insane,0.019999999552965164,0.15800000727176666,0.8209999799728394
nice ill probably snag a 4090 when the next line of gpus release just snagged me a 3090 for 700 bucks,0.010999999940395355,0.17599999904632568,0.8130000233650208
great 4090 comparison video each generation the founders edition card becomes more compelling my 3090 fe has ridiculous vram temps that prompted a repadding but it seems that nvidia solved that with the 3090ti and 4090 msi probably should prioritized it more on the suprim liquid x,0.04399999976158142,0.1809999942779541,0.7760000228881836
would love to see kingpin on the board with his one off evga 4090,0.007000000216066837,0.2460000067949295,0.7480000257492065
