,neg,neu,pos
disney and warner bros both celebrating 100 years is so crazy and amazing,0.0020000000949949026,0.01600000075995922,0.9819999933242798
happy 100th warner bros good luck making it to 110 lmao,0.003000000026077032,0.017000000923871994,0.9810000061988831
this warner bros tribute is awesome such a pinch me moment to know that i get to be a small part of that world #wb100 #oscar2023 #oscars,0.003000000026077032,0.017000000923871994,0.9800000190734863
love that kong skull island made the best of 100 years of warner bros movies montage #oscars,0.003000000026077032,0.023000000044703484,0.9739999771118164
nice presentation for the 100 years of warner bros ,0.003000000026077032,0.027000000700354576,0.9700000286102295
warner bros just flexed their whole catalog pretty dope ngl,0.003000000026077032,0.032999999821186066,0.9639999866485596
now theyre praising warner bros what a good year to do so,0.004000000189989805,0.035999998450279236,0.9599999785423279
i love warner bros discovery,0.004999999888241291,0.03799999877810478,0.9580000042915344
it is significantly a bigger achievement than arr out of all the nominations it deserved to wi i remember arr winning it he was active in promoting because fact that it was backed by fox warner bros and entire crew of the film from british,0.004000000189989805,0.04800000041723251,0.9480000138282776
all your favorite warner bros movies are here,0.0020000000949949026,0.057999998331069946,0.9399999976158142
if bruna attends warner bros party she could meet timothee chalamet i would love to see their interaction,0.003000000026077032,0.06300000101327896,0.9340000152587891
congratulations warner bros on 100 years hope the new owners dont dismantle it completely #academyawards #academyawards2023,0.009999999776482582,0.06400000303983688,0.9259999990463257
i found one time slot for harry potter warner bros tour in the week ill be in london and i bought it so damn fast it was sold out yesterday so thank goodness for cancellations #nerd,0.00800000037997961,0.06800000369548798,0.9240000247955322
warner bros discoverys dramatic costcutting measures are already paying off for the company source the streamable link on following tweet,0.004000000189989805,0.1080000028014183,0.8880000114440918
the oscar winner zack snyders justice league apoear in the warner bros 100 montage tonight at least the academy is out there recognizing greatness again #oscars #sellsnyderversetonetflix,0.007000000216066837,0.12700000405311584,0.8659999966621399
top 3 best warner bros movies 3 cars 2 cars 1 toy story 3,0.007000000216066837,0.1379999965429306,0.8550000190734863
warner bros has the most bangers of any american studio sorry not sorry,0.028999999165534973,0.13500000536441803,0.8360000252723694
get rehired by disney and become the cohead of one of the biggest ips within warner bros so yeah maybe he is unstoppable,0.004999999888241291,0.1599999964237213,0.8349999785423279
love that the montage of the history of warner bros ends with a shot of ezra miller,0.007000000216066837,0.16099999845027924,0.8320000171661377
honestly i feel more motivated than ever to lie on my resume thats how tex avery got into warner bros the rest is history,0.03200000151991844,0.13899999856948853,0.8289999961853027
i am not livetweeting the oscars but that shot of the warner bros lot that panned out to show toluca lake truly made me lol,0.024000000208616257,0.210999995470047,0.7649999856948853
oh i love the dc animated movies cartoons and video games but warner bros dceu can get out of here,0.05299999937415123,0.18299999833106995,0.7639999985694885
global tv ctv city tv and cbc are better than warner bros discovery,0.012000000104308128,0.23999999463558197,0.7480000257492065
the elvis gang is really gonna get crunk at the warner bros party tonight theyre gonna need it atp ,0.02500000037252903,0.2370000034570694,0.7379999756813049
warner bros has no movie slotted to release in may 2023 that would be the perfect month to release coyote vs acme especially considering it was also the month of 2022 when filming wrapped up,0.010999999940395355,0.2930000126361847,0.6959999799728394
warner bros is celebrating its 100th year by corroding its legacy as a giant in film history through its consolidation with discovery so yeah im down for an advert celebrating the beginning of the end #oscars,0.05900000035762787,0.2619999945163727,0.6790000200271606
fun fact as warner bros celebrate 100 years of making films the warner brothers are from winnipeg manitoba canadians have been involved in the industry for a very long time,0.004000000189989805,0.328000009059906,0.6690000295639038
warner bros rem are basically the yassified irs rem and therefore are better,0.014999999664723873,0.3240000009536743,0.6610000133514404
i understand the sentiment but it just feels like trying to make the show better than it is or the people behind them like i always thought the warner bros approach was a great way to go about it,0.04699999839067459,0.3070000112056732,0.6460000276565552
warner bros discovery also got to give a shout out to a commercial from the oscars stage just like disney,0.007000000216066837,0.37599998712539673,0.6169999837875366
todays pub quiz question you win a free lager gif if your answer is correct no cheating please warner bros released their first film on this day but which year i will close the quiz after first correct answer,0.008999999612569809,0.3970000147819519,0.593999981880188
warner bros celebrating their 100th anniversary in their commercial with wizard of oz is so funny cuz they didnt even make that film they only bought it many years later,0.08799999952316284,0.328000009059906,0.5830000042915344
guy who has never seen a movie before but is watching the oscars for some reason oh man im gonna check out warner bros,0.04800000041723251,0.38999998569488525,0.5630000233650208
ill also add that the cgi dragon ridden by kalypso lucy liu looks far better than the dragons on hotd or got cmon warner bros and hbo dont yall use the same tech #shazam2 #shazamfuryofthegods,0.07800000160932541,0.38999998569488525,0.5320000052452087
let the warner bros publicty team cook they released over 30 tv spots and lots of assets today,0.017000000923871994,0.5059999823570251,0.4779999852180481
shazam tracking for a 25m30m opening weekend so warner bros spoils wonder woman like its gonna help shes coming off wonder woman 1984 and they cancelled her third solo movie im sure audiences will rush to buy tickets now ,0.06700000166893005,0.4740000069141388,0.45899999141693115
barbie already included in the warner bros montage thats history #oscars,0.00800000037997961,0.5419999957084656,0.4490000009536743
to think chris rock ended will smith with a netflix special is hilarious will has ownership stake in bel air cobra kai 11 movies in the making and 5 tv shows in the making and hes working with warner bros sony netflix apple tv paramount pictures and amazon studios,0.023000000044703484,0.5490000247955322,0.42800000309944153
warner bros reminding us that they used to make better movies #oscars,0.10599999874830246,0.48100000619888306,0.4129999876022339
my father says we will pass you to warner bros pat benatar we belong,0.012000000104308128,0.5830000042915344,0.4050000011920929
25 a go mate but use sign up newsletter at warner bros for discount,0.014000000432133675,0.5799999833106995,0.4050000011920929
just inwarner bros backs #ethereum ecosystem as it migrates blocklete golf to immutablex #crypto #bitcoin,0.004999999888241291,0.621999979019165,0.37299999594688416
warner bros getting free promo on abc flex,0.007000000216066837,0.628000020980835,0.36500000953674316
fun fact the first warner bros star was rin tin tin,0.010999999940395355,0.6340000033378601,0.35499998927116394
