,neg,neu,pos,compound
was on the fence to upgrade my gpu 5700xt but a decent gpu is way too expensive right now so decided to upgrade my ryzen 3600 cpu to the 5800x3d for better performance glad i did my frame rates and performance increased significantly now i can wait until a couple years to upgrade and maybe gpu prices to get to decent levels great purchase,0.0,0.776,0.224,0.9528
great dropin replacement for my 3900x i primarily play wow lol and csgo cpubound games and it made an astonishing difference for wow in particular im getting twice the framerate i was getting previously in virtually all scenarios for gaming in particular this cpu is phenomenal,0.0,0.698,0.302,0.9509
what can i say flawless processor the best on am4 for gaming make sure you use it with a good sink updated bioa mainboard and lots of fun,0.0,0.568,0.432,0.9432
its amazing for games however value wise you can go with something cheaper from the 5000 series and still get great performance,0.0,0.573,0.427,0.9246
honestly impressed with this cpu a friend said its the first cpu that made all stutters in games finally go away the vcache is what makes this so special 4k gaming vr gaming benefits greatly from this cpu as texture streaming in games is incredible its a must buy for pc gaming 4k120fps,0.032,0.721,0.247,0.9245
love this cpu great for handling ai intensive games havent ran into any issues running multiple programs and gaming streaming running 64gb 3200 ram and a 2070 will update my review as i am only two months in and i am using a 2070 super gpu until i buy a new one looking at the 3070 ti,0.0,0.797,0.203,0.9217
i literally brought this for escape from tarkov to run streets map lol i basically went from 60fps with my 5600x to 90100fps very happy with the upgrade would definitely recommend,0.0,0.637,0.363,0.9134
dont know what its for haha but ordered for partner and hes happy with it so thank you,0.0,0.568,0.432,0.9083
amazon deliverd on time and the cpu is a dream i use a duel fan cooler so i had to underclock to keep temps down but overall the performance hit was minimal 2 or less i went from a 3700x to this and fps in all games increased by 40 or more love this thing,0.0,0.763,0.237,0.9079
awesome chip made a very long overdue upgrade from an i74790s to the 5800x3d and it is great i play a bit of star citizen and with this new cpu it doubled my framerate in star citizen without even changing the gpu its a damn good chip,0.05,0.701,0.249,0.8957
fantastic upgrade from my r5 3600 getting almost 20fps extra in msfs cpu was bottlenecking before really good price was like £100 off rrp when i brought it recommend,0.0,0.671,0.329,0.8955
extremely capable processor coming from a 4th gen intel i5 this is an amazing cpu brilliant for gaming if thats your main use for your pc,0.0,0.677,0.323,0.8883
what can i say this is a great processor for all games that tend not to be limited gpus therefore simulators rts mmos esports titles played in 1080p at very high frames things like that on iracing i literally doubled the frames by upgrading from a 3600x if you only play aaa or in 4k its not necessarily worth spending that much,0.025,0.779,0.196,0.886
even with the likes of the amd 7000s and inter 13th gen the 5800x3d is still among the best gaming cpus if you already have an am4 system it could be an awesome drop in upgrade there are many game reviews of the 5800x3d check to see how it works with the specific games you play first as not every game benefits from the extra cache,0.055,0.771,0.174,0.8811
very good processor in terms of performance excellent in all areas despite everything it heats up a lot i can reach 75 degrees in games with a 240mm nzxt watercooling system provided there is good cooling,0.0,0.722,0.278,0.8803
needed to change cpu as i was upgrading my pc this is one of the best processors for gaming anything higher end than this is a bit overkill for gaming and the price wasnt too bad considering the price of other pc parts installing a new cpu can be a bit daunting just make sure you do the research before committing,0.0,0.833,0.167,0.8641
paired with a simple rx 6800 sam enabled i was getting 80 in my spawn hab in nb and once the shaders loaded in i was averaging 110ish all the way to the asop 140160 in space with my old 5600x i was lucky to see 70 s so yeah i m happy this took place on the 318 ptu on feb 26th 2023 so your experience may vary,0.0,0.859,0.141,0.864
great processor for gaming system on board cache helps keep performance high easy to install,0.0,0.556,0.444,0.8625
best processor for gaming huge improvement over the 3700x,0.0,0.387,0.613,0.8591
went from 80 fps to 130 on escape from tarkov beautiful cpu make sure to pair it with some high speed ram and you wont regret it,0.0,0.692,0.308,0.8493
bought last week box turned up empty amazon sorted a next day replacement which also turned up empty now waiting around to sign a form itself late in order to get a refund having since bought from elsewhere i can say that cpu turned up first time of asking imagine that itself is great good luck with the roulette,0.056,0.762,0.182,0.8442
super proc le seul bémol la chauffe test avec watercooling a fond 45 mhz a 82 dg en jeu entre 60 et 71 dg reste stable pas de problèmes sur ce proc,0.0,0.75,0.25,0.8402
it is very powerful compared to a ryzen 2700x in games with a 3070 it gets about 40 fps more and also when streaming it drops very few fps if you want to play stream and edit videos in 4k this is your processor if its just for editing or multicore tasks buy the normal 5800x and save yourself some money,0.0,0.846,0.154,0.8399
it has been the best upgrade i could have provided for my old ryzen 7 1700 machine and by adding another two sticks of ram to populate all of the available ram slots the full potential of this cpu has been unlocked even on something as old as an asus crosshair vi hero,0.0,0.863,0.137,0.8316
this thing is a beast it runs extremely hot even with a really good fan setup temperatures of 7080 are considered good for this chip at full throttle the extra cache is so good and this chip destroys my ryzen 7 3700x even at 30 cpu usage animal performance,0.063,0.722,0.214,0.8204
i upgraded from a 1600x i knew there would be a vast improvement but wow this cpu is incredible,0.0,0.644,0.356,0.802
nothing to say except that it is the best at gaming i paired it with a 4080 oc and its a pleasure maybe a small complaint about the heating but with good cooling it passes,0.043,0.722,0.235,0.802
absolutely great performing cpu would highly recommend,0.0,0.41,0.59,0.8012
i use my computer for simracing with triples my setup includes x590 motherboard ddr4 3600mhz 32gb ram and rtx 3080ti with the upgrade the fps performance was huge around 70 more fps but you need a very good cpu cooler because this cpu is running very hot around 80 85 celsius on gaming load but is 10000 recommended,0.0,0.867,0.133,0.7986
went from a 3600 to this and the difference was night and day great uplift in performance in games and should last a good few years,0.0,0.759,0.241,0.7906
great thanks,0.0,0.0,1.0,0.7906
the best cpu for gaming in price to performance ratio highly recommend for upgrade if you are still on the am4 socket,0.0,0.741,0.259,0.7902
love this cpu as i get a massive performance boost from my ryzen 7 2700x and i dont need a new motherboard,0.0,0.685,0.315,0.7845
the very best am4 cpu for gaming the l3 cache is amazing the clock speed isnt the best but this cpu holds it own vs intels 55ghz chips,0.0,0.76,0.24,0.7841
really impressed in the difference this has made to msfs 2020 i dont do other games no temp increase very impressed,0.081,0.586,0.333,0.7837
i wanted to increase my fps for eft and with the new technology in the x3d paired with the 6800xt they are a perfect match im getting 130 fps on streets and every other game runs flawlessly on ultra settings must buy,0.0,0.826,0.174,0.7783
bought to get something out for the base top performance price significantly too high due to the existing am5 platform but unrivalled for the socket upgrading is worthwhile i can recommend it,0.0,0.783,0.217,0.775
if you re looking to play escape from tarkov with this i highly recommend i use this with a 2070 super and now i get 100 frames on every map even while streaming on the same pc when not streaming i can easily hit 120 customs and on lighthouse it s gone as low as 92,0.07,0.747,0.183,0.7689
if anyone is looking for the best amd processor for the am4 socket theyve found it here for people who play video games,0.0,0.761,0.239,0.765
i bought this as an upgrade from a 3800 xt its a brilliant gaming cpu and will keep my x570 mobo going for a few more years before making the move to am5 the 3d cache adds stability to frame rates and around a 25 boost to performance,0.0,0.863,0.137,0.7579
lightening fast gaming cpu and runs on my old motherboard and ddr4 memory making it great value for money,0.0,0.723,0.277,0.7579
went from a 5600x to this big performance jump l3 cache increase makes a difference in most of the aaa games im playing this linked with a high end 30 series or 40 series graphics car will be a strong system for some time,0.0,0.833,0.167,0.7506
