,neg,neu,pos,compound
other than biden dems have shifted from the economy is actually doing great to yeah well the economy sucks but the gop wont do anything about it if they win what a great slogan that is for the dem party lol,0.03,0.556,0.414,0.9721
joe biden has always been a mean guy he unjustly grilled justice clarence thomas at his supreme court hearing hes been a know racist most of his life best friends with a kkk grand wizard throw in his obvious dementia this is what we get ,0.07,0.628,0.302,0.9231
if you compare jill biden to melania trump there really is no comparison melania reaks of class dignity kindness beauty like no other flotus and loves our country above all else jill is exact opposite fishnet hose look sums her up,0.091,0.622,0.287,0.8944
1 day after amy coney barrett refused to take a case about bidens student loan forgiveness program an appeals court blocked it from taking effect so what looked like a win with the supreme court a day later looks more like collusion between the sc conservative lower courts,0.113,0.626,0.261,0.86
republicans will not ban contraception ban abortion cut social security give ukraine to putin install trump as president get rid of anyones right to vote or overthrow joe biden if you believe any of this please go outside,0.046,0.718,0.237,0.8304
everyone who was all the student debt relief isnt enough it should be more bernie would have made college free forever todays suspension of the biden executive order for student debt relief was triggered by a suit filed by republicans the parties are not the same,0.089,0.694,0.217,0.802
biden forgave student loan debt and descheduled weed two issues you said you cared about if you dont show up to vote dont blame politicians for not doing anything for you thats on you you showed them that passing what young people care about doesnt matter,0.066,0.741,0.193,0.7822
i truly do appreciate joe biden more than i ever thought that i could he always moves forward enrages the cult and just gets it done if he runs again he has a good chance if he were 20 years younger he would trample the cult underfoot for all of time he still may yet,0.047,0.776,0.177,0.7717
millions of people could have seen student debt relief under the biden plan now gop governors have filed suit and won a temporary stay of the debt forgiveness program with the help of their cronies on the federal bench remember that on election day vote them out,0.088,0.707,0.205,0.765
ever since i put my biden sign on my lawn i have been an outcast love it got biden signs for my liberal neighbors that really drove them crazy to have 4 signs in a row 1 said i know youre a biden lover i said you got that right,0.054,0.785,0.161,0.7458
funniest thing are the cpusa members who support biden but are also grover furr type stalinists who think beria was innocent,0.0,0.713,0.287,0.7391
good morning friends i was heartened to hear biden tell an interviewer that we are in the time where this generation must defend democracy it is our turn to do what needs done vote,0.0,0.838,0.162,0.7184
for those who insist djt won the 2020 election and biden is an illegitimate president then by the provisions of the 22nd amendment djt is ineligible from seeking a 3rd term cant have it both ways please retweet #ineligible2024,0.0,0.857,0.143,0.7184
we just came back from a neighborhood cocktail party every single woman and their husbands said they were voting they all liked my joe biden shirt,0.0,0.807,0.193,0.6705
biden is making a huge effort to bring back the american middleclasstrying to take the country into the 21st centurysustainable living green energy that will create millions of new jobsit will take a few years a vote for the gop is a vote to take us back to the dark ages,0.0,0.871,0.129,0.6705
ive said it once and ill say it again im still damn proud to have voted for president biden for the shitstorm he was given on purpose hes doing a fantastic job lets do our part and give him the blue majorities in both house and senate he needs to do more good,0.088,0.753,0.159,0.659
todays temporary decision does not stop the biden administrations efforts to provide borrowers the opportunity to apply for debt relief nor does it prevent us from reviewing the millions of applications we have received,0.089,0.718,0.193,0.6386
the elections commissioner for wisconsin republican was asked multiple times by msnbcs alex wagner if joe biden won the 2020 election all three times don millis refused to simply say yes biden wonhe will be overseeing the election this november in ron johnsons state,0.044,0.827,0.129,0.6369
breaking report court to allow missouri ags team to depose dr fauci jen psaki fbi agent elvis chan and multiple other biden administration officials relating to collusion with social media to suppress free speech,0.0,0.86,0.14,0.6369
fun fact trump is the first president since hoover to leave office with less jobs in america than when he started meanwhile president biden created 10 million jobs he did that ,0.035,0.812,0.154,0.6249
dont kid yourself if the red party is back in power they will go after medicare social security gay marriage contraception and roe will be nonexistent oh and they will try and impeach biden just to name a few heinous items on their agenda,0.0,0.889,0.111,0.6249
how does biden hiring 100000 cops and 87000 irs agents help you and your families survive a surging pandemic and the biden great recession,0.095,0.676,0.23,0.6124
biden 15 wont pass arp reconciliation plus dont have votes populists boo you neoliberal hes right biden scotus wont stand eviction moratorium populists boo go cori bush right again biden i cant mass cancel 50k to all populists cancel all todays news,0.0,0.864,0.136,0.6072
so biden and the democrats are considering preventing elon musk from buying twitter for national security concerns in fact the only security theyre worried about is the security of their own power to control the conversation,0.08,0.747,0.173,0.5994
washington post with trump as president trumps denial mismanagement and magical thinking led to pandemics dark winter washington post with biden as president covid was beyond his control amazing,0.0,0.881,0.119,0.5859
everyone remember the gop went to court and got student loan forgiveness blocked by the courts today so when payments start back up in january dont forget joe biden tried to give us a bit of relief,0.051,0.781,0.168,0.5812
why isnt the mainstream media reporting the countless successes that president biden has had especially while only having a razorthin margin in the profilibuster senate,0.0,0.865,0.135,0.5574
will someone please please educate biden as to what maga means,0.0,0.662,0.338,0.5574
the cdc voted to have our kids take the covid vaccine or they cant go to public school brought to you by the communist biden administration thank god my grandkids dont go to public schools,0.0,0.878,0.122,0.5574
who here agrees biden doesnt give two shits about our country,0.0,0.674,0.326,0.5194
this is just another lie notice the white house doesnt confirm that it was a factual statement the wording of this tweet is very important the white house doesnt say the deficit went down they only say biden said it did big difference,0.0,0.902,0.098,0.5189
what has joe biden done to earn our trust,0.0,0.708,0.292,0.5106
gettin fin tired of waiting for this biden wh to address the pardon of reality leigh winner how about you,0.112,0.654,0.235,0.4939
do the people who think a starmer government will save us from fascism also think biden is saving america right now,0.0,0.856,0.144,0.4939
despite the risks ill be the one to come out and say itjoe biden is a thug,0.0,0.772,0.228,0.4847
why would 6 red states bring a lawsuit against the biden administration for student debt relief do they not believe that they have constituents who would benefit this is when gop voters should start questioning their representatives stop voting against your own self interest,0.154,0.672,0.175,0.4767
i talked to my friends high up in the gop yesterday as soon as the new congress opens jan 2023 they will start investigations into big tech investigations into hunter biden investigations into ukraine investigations into fbi corruption and start impeachment process vs biden,0.0,0.931,0.069,0.4767
biden is now calling us the maga force whatever were paying this guy its well worth it,0.0,0.789,0.211,0.4588
under president biden insurrections are down 100 thanks joe,0.0,0.734,0.266,0.4404
my pet goldfish would be a better president than joe biden,0.0,0.756,0.244,0.4404
shout out to the republicans for highlighting each time drugs are seized at the border and for making biden look good in how he is doing his job ,0.0,0.903,0.097,0.4404
good morning america except for those that voted for biden,0.0,0.756,0.244,0.4404
trump was handed the president obama economy and by the midterms he hadnt managed to destroy it all president biden was handed the trump economy and by the midterms he hasnt managed to fix it all mainly because the republicans wont let him,0.0,0.936,0.064,0.431
focus they want to talk about biden when he doesnt legislate our state my opponent acts like he is running against biden the idaho gop supermajority led by my opponent are in control of writing the legislation that governs our lives hold them accountable vote nov 8 #idpol,0.0,0.922,0.078,0.4215
today is october 22 2022 and the biden family is the most corrupt family in the united states of america,0.0,0.872,0.128,0.4215
trump and maga added 400b to the deficit with their 2t tax cut for the rich and corporations president biden reduced the deficit by 14 trillion this year and 350b last year the largestever improvement dems are the real party of fiscal responsibility,0.139,0.688,0.173,0.4215
