,neg,neu,pos,compound
many congrats for being appointed by as head of this is excellent news for not only but also im strongly convinced that thanks to your expertise valuable experience youll be a great asset for the entire team in #kyiv,0.0,0.52,0.48,0.9811
yeah it looks like it was a bolide straight from outer space of all fucking places on this planet it happened to flash over kyiv tonight it was a beautiful natural event tho,0.0,0.667,0.333,0.9001
850 pm in #kyiv thank you tweet for the countries supporting us today minister of defense of ukraine oleksii reznikov showed french amx10s these tanks look impressive the first patriot promised by germany is in ukraine a short notice i write such tweets daily,0.0,0.744,0.256,0.8934
today i see many faces like mine in kyiv not fear anger the kind of anger that takes you completely,0.0,0.574,0.426,0.8786
saved kyiv liberated large swathes of ukraine decimated the russian army rejuvenated western defence industries and learnt innumerable lessons from ukrainian partners not bad for a years work and i say that as someone who does favour rebalance in us defence posture,0.0,0.755,0.245,0.8537
1158 am in #kyiv just read the phrase and absolutely love it it doesnt matter whether your windows are clean till easter just say thank you to ukrainian armed forces that your windows are intact i dont know why but in ukraine its a tradition to clean windows before,0.019,0.769,0.212,0.8504
655 pm in #kyiv yesterday i said that i was going to say thank you to the countries helping us just read on reuters that germany allows poland to export old mig29 fighter jets to ukraine happy to have you all here,0.0,0.783,0.217,0.8402
848 pm in #kyiv thank you tweet for the countries supporting us uk has gifted 14 challenger 2 tanks to the ukrainian armed forces germany delivered the second of the four promised irist antiaircraft missile systems to ukraine patriot air defense systems pledged by the,0.0,0.782,0.218,0.836
643 pm in #kyiv on my way home after a great meeting with paul teaches me photography he is amazing i absolutely in love with his war pictures today paul showed me how to edit photos 13 ladies are with me ill share later,0.117,0.629,0.255,0.835
i am fine on most days then ill dream that im in kyiv and its christmas im carting bags of presents as i used to do my aunts bicker about the laundry the things that annoyed me are revealed as precious the cold air smells like cinnamon i love ukraine so much,0.092,0.679,0.23,0.8194
let me be clear ukraines rightful place is in the euroatlantic family ukraines rightful place is in nato and over time our support will help you to make this possible stoltenberg told in kyiv,0.0,0.795,0.205,0.7906
maybe im not a military expert but maybe not remember when all the military experts predicted that kyiv would fall in days when putins invasion began i do id love to see predictions in usg secret documents from 22022 2,0.0,0.861,0.139,0.7783
725 pm in #kyiv thank you tweet for the countries supporting us ukraine received 13 cargoes of humanitarian aid for energy needs from finland italy plans to transfer a total of 60 m109 selfpropelled artillery howitzers to ukraine in the near future some of them are,0.0,0.848,0.152,0.7579
if its really nasa satellite felt somewhere near kyiv can we have a crashing site coordinates please just a few pieces would make a great auction for the armed forces of ukraine ,0.0,0.808,0.192,0.7506
bakhmut is about to be taken for 10 months and counting brought to you by those with such fantastic hits as kyiv will fall in 3 days and russia is definitely not about to invade ukraine,0.0,0.84,0.16,0.743
well i think that the turks are not very friendly to the russians on the one hand they do not join the sanctions and continue to do business with russia but on the other hand they have supplied drones and armored vehicles to the kyiv regime,0.066,0.779,0.155,0.6792
yelen the usa and western countries have provided ukraine with financial support until the end of 2023 imf approved 156 billion dollars to kyiv for the next four years,0.0,0.831,0.169,0.6705
if there are aliens in kyiv i hope they join ukraines side ,0.0,0.638,0.362,0.6249
nothing special that would surprise ukrainians the glow that the residents of kyiv region saw before the air alert was announced the fall of a nasa space satellite around 1000 pm on april 19 a bright glow of an aerial object was observed in the sky within kyiv,0.044,0.816,0.14,0.6049
 in kiev they said that air defense is working in kyiv they said that a nasa satellite fell in the kyiv region in kiev they said that air defense over kiev is not working what is true ,0.0,0.851,0.149,0.5859
ngl aliens in kyiv sounds like a cool band name,0.0,0.593,0.407,0.5859
quick reminder that on feb 26th 2022 ria novosti aka the kremlins mouthpiece declared that russia had won and completely taken ukraine when the vatniks say russia never said anything about taking kyiv in 3 days remind them that they are full of sht on everything,0.0,0.922,0.078,0.5719
kyiv air defense is so powerful that it can intercept meteorites already whats up iron dome,0.0,0.753,0.247,0.5563
kyiv will ask the west for urgent deliveries of antiaircraft missiles at a meeting of the contact group on military assistance on friday financial times looks like the armed forces of ukraine did not like the highprecision strikes of the fab500 with the umpc,0.052,0.807,0.141,0.5106
one more time the bright flash seen over kyiv has nothing to do with the reentry of nasas rhessi satellite whose orbit doesnt come within thousands of kilometers of ukraine,0.0,0.902,0.098,0.4877
leaking secret us intelligence documents will not affect relations between kyiv and washington budanov according to budanov everyone will see and feel the results of the counteroffensive in the near future,0.0,0.906,0.094,0.4767
after that bright flash in the night sky half of kyiv is jokingly discussing whether we should assemble for that orgy now or wait for instructions from the presidents office ,0.0,0.909,0.091,0.4404
meteor bolide fall in kyiv last eve its a sign good morning,0.0,0.775,0.225,0.4404
they need to invite and pray jesus christ visits kyiv he is their only savior,0.0,0.769,0.231,0.4404
a very bright flash in the sky a few minutes ago in kyiv i personally didnt hear any explosions but saw the flash air raid alert activated weird ,0.071,0.76,0.169,0.4304
quick reminder that the ruzzian language emerged from ukrainian not the other way around when moscow was still a wilderness kyiv was a regional power lol,0.0,0.891,0.109,0.4215
zelenskyy goofing around at local elites congress in kyiv expresses gratitude to the mayor of paris hidalgo for her helping ukraines energy needs i want to award you but protocol says i cant do it here which is odd cause you are here and i am here gold,0.058,0.77,0.172,0.4118
ukraine as every other nation poses a right to self defence providing lacking weaponry when it defended kyiv was basic empathy on the side of neighbouring nations it couldnt give up kharkiv it couldnt just leave kherson all that was good then 15,0.042,0.838,0.12,0.3711
the future of ukraine is in nato all members of the alliance agree on this the secretary general of nato in kyiv,0.0,0.894,0.106,0.3612
this is not a ufo but air defense zelensky published and immediately deleted a message about an outbreak in kyiv the head of the office of the president of ukraine yermak announced the work of air defense over kiev and almost immediately deleted the post,0.0,0.921,0.079,0.3612
the head of the kyiv city military administration serhiy popko said that it was like the nasa satellite that caused the flash over the kyiv sky,0.0,0.909,0.091,0.3612
kyiv will launch a counteroffensive when ready possibly in the summer prime minister of ukraine denys shmyhal stated this in an interview with the hill newspaper,0.0,0.906,0.094,0.3612
hey my own psyho mr look in #kyiv a dog is leading the meeting with japan doesnt it annoy you hes actually a cia bio ,0.0,0.901,0.099,0.3412
 natos stoltenberg in kyiv ukraines rightful place is in the euroatlantic family natos stoltenberg nato membership and security guarantees for #ukraine will be high on agenda of nato summit in july ,0.0,0.926,0.074,0.34
14 months and you still cant take bakhmut oh and as a reminder you never took kyiv and lost kherson so much winning,0.089,0.77,0.142,0.3353
unable to increase production sufficiently to replenish depleting stock france for example sent 18 caesar howitzers to kyiv over the summer a quarter of its total stock which will take at least 18 months,0.0,0.933,0.067,0.3182
us to spend 20 million to strengthen control over use of us funds by authorities in kyiv agency for international development,0.0,0.897,0.103,0.3182
around 1000 pm on april 19 a bright glow of an aerial object was observed in the sky within kyiv according to preliminary information this phenomenon was the result of a nasa space satellite falling to earth the kyiv city military administration reports 13,0.036,0.899,0.065,0.3182
the kgva reported that around 2200 on april 19 a bright glow of an air object was observed in the sky within kyiv according to preliminary information this phenomenon was the result of a nasa space satellite falling to earth,0.04,0.889,0.072,0.3182
breaking according to preliminary information this phenomenon a bright flash above kyiv was the result of a nasa space satellite falling to earth in order to avoid casualties from debris falling to the ground an air alert was announced air defense did not work serhiy,0.11,0.755,0.135,0.296
ok fellas whats that light in kyiv goku superman satellite aliens,0.0,0.82,0.18,0.296
 kyiv city council has started the procedure for creating the national military memorial cemetery in bykivna the mayor of the capital vitalii klitschko announced,0.0,0.913,0.087,0.296
738 pm in #kyiv thank you tweet for the countries supporting us canada recently announced new military aid package for ukraine also it will transfer us the a124 aircraft confiscated from russia which is the second largest aircraft in the world after the mriya destroyed by,0.062,0.833,0.105,0.296
stoltenberg in kyiv ukrainians just give us everything youve got you see we now have to deal with alien invasion as well ,0.0,0.909,0.091,0.2732
nasa decided that the falling satellite would not scare kyiv residents and they were right,0.093,0.755,0.153,0.2565
well before we know more about what just happened in kyiv i can only say one thing if it were the martians they surely chose the wrong landing site ,0.094,0.755,0.151,0.2263
have gotten a lot of messages about omg nuke over kyivbut as weird as it seems most likely it really was something like the chelabynsk meteor exploding in the sky not kidding even,0.086,0.834,0.08,0.1944
