,neg,neu,pos,compound
putins invasion of ukraine and trumps coup attempt are quite different but share something remarkable in that both are exactly what they look like and people have trouble accepting that because the actions are almost cartoonishly villainous but neither hidden nor competent,0.121,0.594,0.285,0.8651
tomorrow putin will hold a video meeting of the security council medvedev will give a special report well i have a feeling something interesting will be happening tomorrow any guesses,0.0,0.648,0.352,0.8555
president biden is going to pledge to codify roe to save womens rights kevin mccarthy is pledging to further the slaughter of ukrainians by withholding further aid if republicans win they are saying they will give putin the territory he invaded please vote blue ,0.0,0.815,0.185,0.8519
we didnt see this personally but we heard a homeless crack dealer say that his 105 yr old great aunt said zexi li saw racist extremist children wearing kkk robes waving swastika flags inside the bouncy castles while chanting we love putin #emergenciesactinquiry #poec,0.097,0.702,0.201,0.7876
if calling for peace is now shilling for putinis supporting a nazi regime in ukraine shilling for hitler,0.0,0.701,0.299,0.7506
the eu has made jeremy hunt pm without an election and brits are still going on as normal wow whoever knew you could stage a coup this easilysomeone tell please tell putin how its done,0.0,0.84,0.16,0.7269
elon musk has clearly swallowed one of the baits favoured by experienced intelligence officers such as putin fiona hill putin plays the egos of big men gives them a sense that they can play a role but in reality theyre just direct transmitters of messages from putin,0.0,0.816,0.184,0.7184
president putin to hold security council meeting on wednesday october 19 kremlin putin meets with the security council on a weekly basis that there is a meeting is normal we might see nothing of itbut it is the forum for the most important decisions on the highest level,0.0,0.862,0.138,0.7089
2 then biden sanctions putins oil to create even more scarcity then putin sells on the black market at joes artificially high prices russia gets rich from joes sanctionsregs which jacked the price of oil through the roof at americans expense,0.0,0.87,0.13,0.6908
so how is the whole trying not to provoke putin thing going so far all good,0.0,0.721,0.279,0.6621
i dont think the longterm solution is to kneel before moscow and putin i found it rather distasteful that hungarian foreign minister szijjártó went to moscow again to beg for the favours of someone who has attacked a peaceful european country 21,0.065,0.756,0.179,0.6486
i wonder how often putin goes on a nice walk and watches some kids play,0.0,0.679,0.321,0.6369
well if hes working who cares trump rolled around his golf clubs for a quarter of his presidencywe have the internetif i was president id be taken zoom calls from the bath tubputin would see my head and thats it background would be an office,0.0,0.889,0.111,0.6249
elon musk the brains behind none of his companies supports the gop who tried to overthrow the us government frequently manipulates the stock market secretly communicating with assisting putin on russias invasion of ukraine tell me why people like this guy,0.0,0.886,0.114,0.6124
its super fun being a leftist proclaiming youre antiwar and denouncing progressives in congress that vote yes to war during a majorly publicized war and getting called a putin puppet bot or my personal fave a trump supporter liberals are no different than conservatives,0.176,0.562,0.262,0.5994
has realized yet how absolutely fucking stupid he is i say this as an american with 18 french blood im always hoping to not be embarrassed by that 18 please dont be the clowns of europe by eliminating ambiguity for putin lets instead be a unified front,0.074,0.744,0.182,0.5912
i find it hard to comprehend americans are allowing this to happen in their country desantis sounds like a mini me version of putin suggest you get rid of him quick smart,0.042,0.804,0.155,0.5859
and finally i ask to do something and stand up against nuclear war and what do i get for that a putin puppet cult member cute so to me leftism is nothing but pure fucking impotence what good are these politicians for if they can do nothing,0.049,0.825,0.126,0.5853
putin is a monster and the gqp loves him as do the evangelicals they are such hypocrites,0.0,0.802,0.198,0.5719
now lets put it all together heres your russian collusion putinrussia is getting rich from joes sanctions which have jacked the price of oil nat gas through the roof at americans expense is that what putin bought from the bidens legit question if this was trump,0.0,0.926,0.074,0.5574
the best thing ever to come out of san francisco aside from sourdough is nancy pelosi the worst thing ever to come out of san francisco is the san francisco dsa democratic socialists they literally held a movie night defaming ukraine and praising putin,0.079,0.772,0.149,0.5574
people on the left who hesitate to support ukraine because it is allied with the west and the united states need to understand a key fact about putins russia it is a rightwing dictatorship that seeks to implant similar rightwing dictatorships in the areas that it conquers 1,0.042,0.847,0.111,0.5267
its not been widely reported but putin has made it clear that in the event of escalation he views the uk as a proxy us he would hit us first to leverage negotiations,0.0,0.901,0.099,0.5267
because to the putin army bombing my country every day right now i have no electricity in the entire region ready for esl thanks,0.08,0.725,0.196,0.4939
popularity among uk public liz truss 70 vladimir putin 74 source yougov,0.0,0.78,0.22,0.4767
russian intelligence cant unduly influence a uk prime minister if they cant work out who it is check and mate putin,0.0,0.86,0.14,0.4767
one of my asuka pfp mutuals is a proud bushite neocon warhawk and the other is an incel nazi putin stan,0.0,0.86,0.14,0.4767
wanna get zelensky to negotiate with putin quit sending him american taxpayer money bet they hammer out a peace deal then their little civil war its not our problem to solve,0.097,0.699,0.203,0.4472
do you think americans are sitting around today going you know what we really need in this country a putintrumprepublican dictatorship surely most americans are not pure eval,0.0,0.9,0.1,0.4404
terrifyingly truth about 557 tufton street many of us know about this place and its part in the disaster of brexit and the fraudulent election of tuftonputin puppet johnson but this brings us up to date with masses of fantastic detail,0.096,0.768,0.136,0.4404
putins aide vladimir medinsky actors sergei bezrukov dmitry pevtsov and vladimir mashkov editorinchief of mk pavel gusev tv presenter nailya askerzade commentator dmitry guberniev in the new list of canadian sanctions only 39 people we dont give a fuck,0.0,0.928,0.072,0.431
i see moscow musk is still at it making tweets favoring russia crimea is ukraine not russia putin illegally seized it theres a different elon,0.0,0.887,0.113,0.4215
