,neg,neu,pos,compound
"easy to install and is very fast to boot and all however the read and write speeds arent exactly to the description they have provided

also with the wd black dashboard with the gaming mode enabled i actually got lower read and write than without the gaming mode strange

but definitely worth the money and was super easy to install",0.041,0.695,0.264,0.9545
fitted to acer nitro gaming laptop after realising that it never came with a mmc as standard after a bit of research i was pleased to know that adding this mmc would boost performance and it certainly did ran a few benchmarks and the improvement was amazing the laptop performs like a different machine and the startups a fast,0.0,0.731,0.269,0.946
freindly warning so theres dont purchase the wrong ssd great little card but you will need the wd black sn850 1tb m2 pcie 40 nvme ssdsolid state drive to work properly in the ps5 as my son found out great ssd for other devices just not playstation,0.029,0.715,0.256,0.9363
excellent speed not as fast as samsung evo series but you wont even notice it during day to day use definitely worth buying and great discounted price for 1tb,0.0,0.612,0.388,0.9349
i bought 2 of these one with a heatsink and one without my msi motherboard already came with one but my asus b550 gaming one didnt so double check its best to have one looks great through the glass window performance is spoton,0.0,0.768,0.232,0.9253
easy to install works as intended and easy to transfer my existing os over using wds drive clone tool everything worked first time and the drive easily reaches the advertised speeds often faster 1010 would buy again for another build recommend to a friend,0.0,0.71,0.29,0.9201
easyish to install a few bios changes to make speed not up to spec yet but think thats down to my config great value at the time i got fit a little over £100 for the size as cheap as an ssd would buy again,0.0,0.765,0.235,0.9186
"gamers buy one its seriously fast
make sure you download the wd dashboard from wd and use the dashboard to set the ssd into gamer mode then it never sleeps its always ready to go",0.039,0.683,0.278,0.8885
"bought this to upgrade the ssd in my ultrabook im not one for benchmark numbers and such but it is noticeably faster
at the time of writing i think this ssd hits the sweet spot in terms of priceperformance very happy with my purchase",0.0,0.812,0.188,0.8883
excellent upgrade over the hdd that was dying installed in a dell latitude e5570 with i7 6820hq the picture speaks for the performance not top speeds but perfect for what i need i would recommend if you cant quite stretch to a samsung,0.028,0.746,0.227,0.8848
so much faster than my wd veloci raptor 1000 rpm drives did not think there would be much difference still needs to be scanned and optimised and maintenance done on your system to get the best out of the drive but this is good board bios then boot up from windows is in your face once you enter your password you want fast this is it,0.0,0.834,0.166,0.8779
great ssd super fast although there are faster drives out there this is all you need certainly for a mid tier gaming rig,0.05,0.602,0.348,0.872
i got it a great price on black friday so it was a fantastic buy as ssds go it is a solid performer,0.0,0.626,0.374,0.8612
perfect for a gaming drive easy to install just popped it in under the thermal plate on my motherboard and moved my games over easy,0.0,0.689,0.311,0.8591
its working perfectly i love it ,0.0,0.263,0.737,0.8555
i bought this product to replace my hard drive i am enjoying how quick it is to load games and programs m2 is an amazing technology and will always recommend it,0.039,0.693,0.269,0.8519
works great but cloning the entire system doesnt seem to work i used macrium had to install a new system on it myself other than that it works great and fast,0.0,0.767,0.233,0.8481
great speed great price,0.0,0.196,0.804,0.8481
this storage is insane pop it into a usb40thunderbolt enclosure and wd 750 and its blisteringly fast im get readwrite speeds of 23002500 on my mac mini m1 its a decent price and im super impressed get 256gb mac and future proof it with this thing,0.051,0.749,0.2,0.8402
great drive very fast and well priced works very well on my z390 motherboard as main boot drive,0.0,0.63,0.37,0.8328
the first ssd delivered was faulty windows would not install reported the drive couldnt be written to the wd diagnostics reported smart faults it was replaced straight away by amazon and the replacement unit is working perfectly,0.109,0.605,0.286,0.8316
"i bought this for my laptop and it is like having a new computer again

games that were slow to load now load instantly and even some performance issues have been solved now

awesome ssd i will buy another for my next pc",0.0,0.81,0.19,0.8271
"i replaced my old ssd with this 1tb ssd
the reading speed more than 3000 mbs it closes to 3430mbs from the product description
wd also provides a dashboard to monitor the ssd performance it can be downloaded from wd website",0.0,0.833,0.167,0.8126
"great product has all of the features listed and performs as expected

the dashboard was pretty useless so you can just overwrite it with a simple format

gets a little warm under load though it remains stable despite this",0.061,0.697,0.242,0.8078
this memory is just great very fast and easy to use loaded windows 10 from start to finish in lest that 8 minutes and that with my slow typing boot up into windows lightingly fast also if your into gaming this is a must have for your storage,0.0,0.858,0.142,0.8055
ordered this and it arrived early well packaged and protected fitting was easy although with my motherboard asrock pro the screw to hold in place was difficult to get at bluetack on the end of a screwdriver worked a treat,0.083,0.662,0.254,0.7906
excellent performance and value recommended,0.0,0.202,0.798,0.7845
"easy to install in my razer laptop great speeds and included wd black software
the only downside is ill fill 1tb up quickly",0.143,0.537,0.319,0.7845
a decent price and easy to install as with all nvme performs very well cant fault it,0.0,0.625,0.375,0.7792
had a solid state drive but this thing is an absolute beast the difference is amazing,0.0,0.667,0.333,0.7579
great drive and the nvme performance has made a world of difference for boot and load times fits very well with the asus rog strix b550f gaming amd b550 ddr4 atx motherboard socket am4 motherboard as it comes with a couple of nvme heatsinks,0.0,0.86,0.14,0.7574
great cant fault,0.0,0.136,0.864,0.7475
installed and shows up immediately no formatting or activation required installed the software which is optional its rubbish luckily the drive itself is great,0.072,0.686,0.242,0.7351
very fast ssd easy to install a good buy,0.0,0.497,0.503,0.7239
"fast well built and amazing performance even after hitting the cache limits this is the major reason to get this over a cheaper nvme drive this will sustain fast writes for far far longer than the cheaper drives that have a tiny cache

the next step up are the samsung evo and pro lines which take the after cache performance up another level",0.0,0.909,0.091,0.7096
got this on discount for £100 and very much worth the money very fast got benchmarks as 3300mbps happy with it,0.0,0.764,0.236,0.7076
one of the best at this price range fast and solid,0.0,0.608,0.392,0.7003
i upgraded my pc with this and i was so happy i bought another for my razer laptop,0.0,0.747,0.253,0.6948
bought to upgrade to bigger capacity it does feel like its bit faster than my older one was i have been using it about a month now so far all good,0.0,0.827,0.173,0.6872
was expecting better boot speeds and launch speeds from this but realistically not much change however it is slick and nice to have compared to a standard ssd,0.0,0.816,0.184,0.6858
"bought this for a new computer i was building
i knew it was something special when it took less than 20 minutes from me inserting the windows disk to completely install windows
gaming is a breeze thanks to a 3gbs readwrite speed likewise for large photoshop files",0.0,0.877,0.123,0.6808
works like a dream very easy to install but it does not come with the screws needed i was lucky i had spares,0.094,0.565,0.341,0.6753
easy to install and set up under the disc management wizard in windows 10 be sure you have a spare nvme ssd slot in your laptop before buying most laptops post 2015 have the required extra m2 slot,0.0,0.871,0.129,0.6369
great ssd does what it meant to,0.0,0.594,0.406,0.6249
great ssd faster than anything i had before made me realise i need to update my home network when the full bandwidth was 1 of drive usage,0.0,0.849,0.151,0.6249
my pc has never been so fast its amazing advertised speeds right out of the box,0.0,0.787,0.213,0.6204
"installed as a secondary ssd in my alienware m15 interestingly although it stated that the 2nd ssd will run as a nvme pcie 2x it still gives readingwriting speeds above 3400 mb does not come with screw to fix it
easy to install without heatsinklaptop temperature stable below 65 degrees on heavy workload",0.034,0.843,0.124,0.6134
fitted great but would help if you included a tint screw i had to pinch one from hard drive case,0.137,0.601,0.262,0.5994
brilliant upgrade for your pc cheap and makes a big difference on load times about 6 times faster than the ssd i was using according to userbenchmark,0.0,0.858,0.142,0.5859
