,neg,neu,pos,compound
i felt the speed difference i had 2400 mhz ram and i upgraded to this one at 3000 mhz boost is about 10 in overall performance i got it for the new pc but just checked how it goes with my current pc hope it goes better in new pc i have ryzen 3 2200g with which i tested the ram but new one is ryzen 5 3400g hope all goes well,0.0,0.786,0.214,0.9437
its not a 3000mhz ram its 2733 with xmp u can boost ur mhz but thats depending on your prosessor speed and how much over clocking urs system does so b careful before buying that kind of stuff the ram is good if u do not do heavy gamming or render it will perfectly works ,0.0,0.768,0.232,0.9346
really great for over clocking works beautifully with ryzen cups at speeds of 3200 make sure to either run 2x 8gb or 2x 16gb on dual channel for better performance,0.0,0.662,0.338,0.923
its ram that works as intended all is good feels great in the hand with its nice design,0.0,0.519,0.481,0.9186
great item great price very simple installation even if the screw for fixing could also put it in the package lets say an oversight even if of little count of the speed of arrival thanks,0.032,0.713,0.255,0.8934
not alot to say about ram other than its fast reliable and easy to install corsair is a brand that i trust always feel that ive got a great product when buying corsair,0.0,0.724,0.276,0.8834
i installed this ram just over a month ago i havent looked back long story short easy to install improved performance greatly sleek design and great heat management 1010,0.0,0.695,0.305,0.8779
it works perfectly fine im really happy with it ,0.0,0.375,0.625,0.8748
wow honestly completely fixed my gaming issues running i3 with only 8gb on 24gb thanks to this and my gaming experience went from 0100,0.0,0.684,0.316,0.8658
"reviews after 3 month
paired with my 16gb now i have 32gb and aftereffects works great
i mainly use for editing and graphics works great",0.0,0.709,0.291,0.8481
the product was excellent for me the truth is very good,0.0,0.465,0.535,0.8479
great quality very happy,0.0,0.198,0.802,0.8439
super easy to install and worked instantly well packaged too,0.0,0.44,0.56,0.836
great product perfect delivery,0.0,0.204,0.796,0.8316
paired with the msi b450 tomahawk and ryzen 2700 without any problems both stock and both profiles all stable and without complaints at the time of purchase it had a better price black module without rgb or other excessive ornaments personal taste,0.0,0.794,0.206,0.8232
i knew the brand and its a guarantee for me i installed the two 16gb ram in their slots and as i turned on the computer this recognized them right away i went from 8gb to 32 and the difference is felt great value for money,0.0,0.817,0.183,0.8176
its a very good ram under this price range if you are searching for a ram to overclock and for gaming then definitely it is the right choice and value for money,0.0,0.765,0.235,0.807
