,neg,neu,pos,compound
#pixel7 pro has a dedicated 5x telephoto lens 30x super res zoom¹ pixel 7s camera has super res zoom thats similar to a dedicated 2x optical zoom² ¹not available for all camera apps or modes ²compared to other smartphones with dedicated 2x telephoto lens 77,0.0,0.693,0.307,0.9501
went to best buy today just to play with tech and this is what i discovered pixel 7 pro definitely has the best haptic motor on android iphone 14 pm island isnt as satisfying in person and gets old fast galaxy s22 is still the most beautiful smartphone of all time,0.039,0.681,0.28,0.9452
dont know about anyone else but i dont really get off on taking photos of things far away that dont actually look that great i get that the tech is impressive but im more interested in using a fairly moderate zoom lens for portrait shots the pixel 7 pros 5x is too much,0.0,0.766,0.234,0.9441
the fingerprint scanner on the pixel 7 pro is soooooooooo much better than last year yes the 6 pro was good but this years version keeps up with ultrasonic scanners ive used definitely an improvement for those curious i have 1 print of my right thumb and left thumb setup,0.0,0.711,0.289,0.9354
anybody have the pixel 7 yet im getting it next month when my pixel 5 plan expires best phones ever and they take the best pictures i cant wait to get the 7 id love to hear from somebody that has one already #pixel7 #pixel,0.0,0.751,0.249,0.9274
well the pixel 7 pro has to go back best buy trade in for my iphone 12 is jacked up kept erroring out for shipping label so i took to local best buy they could not do anything then online said to just re enter address and it says address cannot be verified wtf,0.0,0.78,0.22,0.927
it was the case earlier but now the video quality is also very good on the pixel 7 i would say if iphone is 100 pixel video is a good 95 most users wont notice the difference so overall if we talk for static pics video the pixel is a better camera smartphone,0.0,0.787,0.213,0.925
separating how reviews are done for pixel 7 and pixel 7 pro is an amazing idea and ive noticed some creative reviews from some awesome creators since pixel 7 is the device for everyone and the pixel 7 pro is for enthusiasts and content creators heres some examples,0.0,0.752,0.248,0.9217
from my experience with pixel 7 propersonally think that this is the smartest smartphone on the market google is focused on making the best software device on the market to give them a chance in the samsung vs iphone market speech to text might be my favourite one #teampixel,0.0,0.771,0.229,0.9153
after all these recent camera comparisons its safe to say the iphone 14 pro has the best video quality and the pixel 77 pro is the new king with the best stills around,0.0,0.726,0.274,0.9062
only battery life bro he has the longest os support in android and the best video rec in android the best display and speakers too pixel 7 is new so lets wait till after the pr is down,0.0,0.754,0.246,0.9022
wife talking about phones i think i just want to move away from apple some of the most beautiful words ive heard any good android suggestions she and i were thinking the pixel 7 pro most likely my pixel 4 xl has been wonderful,0.0,0.743,0.257,0.902
just ordered my new google pixel 7 pro got a great deal for my tradein hoping to take some great shots with it in scandinavia,0.0,0.645,0.355,0.9001
honestly samsung has had some of the best biometric system ive used with the reliable fingerprint scanner and face unlock with the pixel 7 pro google has finally caught up to it and its so nice,0.0,0.747,0.253,0.896
my job gave me a free pixel 7 pro and im using it as my work phone ngl i feel so cool having two phones n i love this phone ,0.0,0.677,0.323,0.8883
as authentically nice the pixel 7 series are with the picture game still the best smartphone camera is the one you have in hand at the time,0.0,0.693,0.307,0.8807
we bitch about whats the best camera on a phone right now but you really cant go wrong with any of em the pixel 7 pro galaxy s22 ultra and iphone 14 pro are all amazing ,0.055,0.683,0.262,0.8786
google pixel 7 pro is the best personal assistant you can have i was able to take notes from meetings just by pressing the recorder button on my phone it automatically created a transcript loving it #googlepixel7pro #google #ai,0.0,0.766,0.234,0.8779
the new good pixel phones pixel 7 pixel 7 pro eno level thanks for the 2022 pixel series best android phone you can get on market today,0.0,0.688,0.312,0.875
here go the google store emailing me talking about the pixel 7 nah bro im done with android its been a long time coming but im on the winning team lml thats what my friend calls it now,0.028,0.766,0.206,0.8658
im really enjoying the google android experience on pixel 7 also the lemongrass color is so beautiful you owe me google buds pro now d,0.0,0.707,0.293,0.8652
ha apple makes phenomenal products that work well together but you pay the price for it i went from the 13 pro max to the z fold 3 and honestly dont know if i can go back to a normal slab phone i was going to get the pixel 7 but put the brakes on haha,0.028,0.774,0.198,0.8641
i love how google really stepped up its haptics this year the google pixel 7 pro and the pixel watch have the best haptics i can remember ever experiencing on a pixel device the watch haptics is no joke makes me think a bit more about how apple does it #teampixel,0.04,0.766,0.193,0.8555
does it overheat yes is it the smartest phone yes im about to get the pixel 7 tho ,0.0,0.598,0.402,0.8555
finally retired my old galaxy note10 no joke the best phone i have ever owned google pixel 7 pro please dont fail me big shoes to fill,0.065,0.593,0.342,0.8537
after 48 hours with the pixel 7 pro i can honestly say this is the best android phone out there so smooth who agrees #teampixel,0.0,0.683,0.317,0.8505
on pixel 7 7 pro performance is good and day to day usage is excellent however i would like to see a faster processor on the pixel 7 ultra theres a lot of competition and next year even more ultra phones will be released so google has to do a lot to stand out,0.0,0.829,0.171,0.8442
pixel 7 is awesomeee i also suggest a z flip tbh theyre super compact and just a cool novelty whenever i have someone elses phone when im done with it i keep trying to flip it lol,0.0,0.75,0.25,0.8402
just ordered the new pixel 7 pro and got the new pixel watch for free ive tried all other makes and variants of android but i always go back to the #pixel its just the best end of #pixel7pro #pixelwatch #google,0.0,0.823,0.177,0.8381
in offers we get s22 at 60k that nakes it quite a great offer to buy so should one gl for pixel 7 or should go for s22 just a casual user listens to music and takes a lot of photos,0.0,0.795,0.205,0.8297
even if its not in competition with plus pixel 7 is better in terms of cameras and iphone has better video and better cpu,0.0,0.697,0.303,0.8271
i like the cameras on the pixel 7 pro telephoto not so much but theyre not really much different to last years efforts still think the 6a is the best pixel released this year still prefer the 4 xl in many regards overall,0.0,0.834,0.166,0.8201
got a pixel 7 pro a few days ago and holy hell i freaking love this new phone i missed having a full google environment had a nokia with android one great phone if you dont want to pay flagship prices and i also missed the amazing photos pixels take so happy ,0.199,0.503,0.298,0.8184
enlighten me with best cases for pixel 7 pro #teampixel #pixel7pro #pixel,0.0,0.545,0.455,0.8176
now used both the pixel 7 and 7 pro for a few days as my primary smartphone i will try to share my review in a day or two any specific questions you guys have post them below will try to include in the review but overall these are the best pixels smartphone by google,0.0,0.866,0.134,0.8126
ordered an iphone 14 pro but i was extremely close to buying a pixel 7 the google assistant is trying to pull me back wish ios had better voice to text,0.0,0.778,0.222,0.8126
your pixel 7 pro content has been great so far hoping the more you do the more reason you will be added,0.0,0.726,0.274,0.8008
id like to see pixel 7 pro vs s22 30x i feel like that would be a better comparison since the camera systems are so similar,0.0,0.717,0.283,0.7845
 insert pixel#7 auction ended highest bid new ath 404 sol by the legendary collector wh total bids 11 thanks to and oc for particate and all who liked and share ,0.0,0.774,0.226,0.7845
voice to text dictation has improved on the pixel 7 pro it was already so good on the pixel 6 tensor g2 is putting in work,0.0,0.763,0.237,0.7809
finally saw the hazel pixel 7 pro in person strong meh snow gang for the win #teamsnow #teamcocaine,0.058,0.625,0.317,0.7783
